@RELATION 0000-inventory
@ATTRIBUTE actualWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE predictedWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE posTagsMatch {TRUE, FALSE}
@ATTRIBUTE numTimesPredicted numeric
@ATTRIBUTE numTimesInCorpus numeric
@ATTRIBUTE predictedTokenLength numeric
@ATTRIBUTE actualTokenLength numeric
@ATTRIBUTE ratioOfTokenLengths numeric
@ATTRIBUTE levDistance numeric
@ATTRIBUTE semanticSim numeric
@ATTRIBUTE tfidfAverageRank numeric
@ATTRIBUTE tfidfHighestRank numeric
@ATTRIBUTE predictedProba numeric
@ATTRIBUTE class {TRUE, FALSE}
@DATA
NOUN,NOUN,TRUE,0,1,5,6,0.8333333333333334,0.18181818181818177,-0.003495454788208008,0.04431776559057321,0.04431776559057321,0.30908095836639404,TRUE
NOUN,PRON,FALSE,4,3,2,6,0.3333333333333333,0.25,0.5312111377716064,0.0212729389733605,0.0212729389733605,0.12350022047758102,FALSE
NOUN,PRON,FALSE,3,5,5,6,0.8333333333333334,0.36363636363636365,0.6101627349853516,0.012200142940056809,0.012200142940056809,0.04017035290598869,FALSE
NOUN,PRON,FALSE,5,6,4,6,0.6666666666666666,0.19999999999999996,0.5432611107826233,0.009169164854377352,0.009169164854377352,0.03440891206264496,FALSE
NOUN,PRON,FALSE,2,2,4,6,0.6666666666666666,0.4,0.5452318787574768,0.01913965940934737,0.01913965940934737,0.02635536901652813,FALSE
NOUN,NOUN,TRUE,8,9,6,6,1.0,0.33333333333333337,-0.08187638223171234,0.0017164772294800423,0.0017164772294800423,0.01387648843228817,FALSE
NOUN,NOUN,TRUE,3,3,6,6,1.0,0.33333333333333337,0.4487840235233307,0.03223614518390182,0.03223614518390182,0.013845139183104038,TRUE
NOUN,NOUN,TRUE,6,8,10,6,1.6666666666666667,0.125,0.48496413230895996,0.013033189845096434,0.013033189845096434,0.012855218723416328,FALSE
NOUN,NOUN,TRUE,2,5,4,6,0.6666666666666666,0.4,0.3060985207557678,0.010408035677215679,0.010408035677215679,0.012053514830768108,TRUE
NOUN,NOUN,TRUE,0,2,11,6,1.8333333333333333,0.11764705882352944,0.3756842613220215,0.059353752198343615,0.059353752198343615,0.010393786244094372,TRUE
NOUN,NOUN,TRUE,0,1,5,6,0.8333333333333334,0.18181818181818177,-0.003495454788208008,0.04431776559057321,0.04431776559057321,0.0066535999067127705,TRUE
NOUN,NOUN,TRUE,2,5,5,6,0.8333333333333334,0.0,0.4029806852340698,0.01473386919397609,0.01473386919397609,0.005893588066101074,TRUE
NOUN,NOUN,TRUE,1,2,11,6,1.8333333333333333,0.11764705882352944,0.5098217129707336,0.02670573318496907,0.02670573318496907,0.0057272291742265224,FALSE
VERB,VERB,TRUE,2,5,6,6,1.0,0.16666666666666663,0.3928496241569519,0.016163287052882207,0.016163287052882207,0.0007297570118680596,FALSE
VERB,VERB,TRUE,7,7,7,6,1.1666666666666667,0.3076923076923077,0.47630780935287476,0.010923747935766656,0.010923747935766656,0.0007251021452248096,FALSE
VERB,ADJ,FALSE,9,3,4,6,0.6666666666666666,0.0,0.3346838355064392,0.017812054246791803,0.017812054246791803,0.0006229103892110288,FALSE
VERB,VERB,TRUE,3,4,5,6,0.8333333333333334,0.5454545454545454,0.30986833572387695,0.027300866458640605,0.027300866458640605,0.0005322407814674079,FALSE
NOUN,INTJ,FALSE,5,10,6,4,1.5,0.4,0.4686821699142456,0,0,0.5238096117973328,FALSE
NOUN,PART,FALSE,4,8,2,4,0.5,0.0,0.4955004155635834,0.005693842108637866,0.005693842108637866,0.030373087152838707,FALSE
NOUN,INTJ,FALSE,5,10,6,4,1.5,0.4,0.4686821699142456,0,0,0.029797691851854324,FALSE
NOUN,VERB,FALSE,6,6,2,4,0.5,0.0,0.4339294135570526,0.00850758086700216,0.00850758086700216,0.02857551909983158,TRUE
NOUN,ADV,FALSE,9,10,3,4,0.75,0.0,0.43461158871650696,0,0,0.014201395213603973,FALSE
NOUN,ADV,FALSE,9,9,4,4,1.0,0.25,0.3872899115085602,0.005484408006007137,0.005484408006007137,0.00703573040664196,FALSE
NOUN,PRON,FALSE,8,9,3,4,0.75,0.0,0.50272136926651,0.003685878128022377,0.003685878128022377,0.006287384778261185,FALSE
NOUN,NOUN,TRUE,1,0,4,4,1.0,0.75,1.0,0.15002668797410526,0.15002668797410526,0.006082686595618725,TRUE
NOUN,NOUN,TRUE,2,5,4,4,1.0,0.25,0.7144547700881958,0.0461360774183547,0.0461360774183547,0.005574905779212713,TRUE
NOUN,ADV,FALSE,8,9,6,4,1.5,0.19999999999999996,0.4576324224472046,0.006553814595862748,0.006553814595862748,0.005150170531123877,FALSE
VERB,VERB,TRUE,7,9,3,3,1.0,1.0,0.9999999403953552,0.010783046723325355,0.010783046723325355,0.17005927860736847,FALSE
VERB,VERB,TRUE,7,9,3,3,1.0,1.0,0.9999999403953552,0.010783046723325355,0.010783046723325355,0.13989107310771942,FALSE
VERB,VERB,TRUE,5,6,3,3,1.0,0.0,0.3684350252151489,0.014289110690369674,0.014289110690369674,0.07119342684745789,TRUE
VERB,VERB,TRUE,7,9,3,3,1.0,1.0,0.9999999403953552,0.010783046723325355,0.010783046723325355,0.06237543746829033,FALSE
VERB,VERB,TRUE,6,9,5,3,1.6666666666666667,0.25,0.6086307764053345,0.0184585200137084,0.0184585200137084,0.052314870059490204,TRUE
VERB,VERB,TRUE,7,9,7,3,2.3333333333333335,0.19999999999999996,0.17695389688014984,0.008582386147400211,0.008582386147400211,0.037893496453762054,FALSE
VERB,NOUN,FALSE,7,9,7,3,2.3333333333333335,0.19999999999999996,0.17695389688014984,0.008582386147400211,0.008582386147400211,0.030421633273363113,FALSE
VERB,VERB,TRUE,5,7,4,3,1.3333333333333333,0.2857142857142857,0.33423274755477905,0.00906013797723111,0.00906013797723111,0.01749344915151596,FALSE
VERB,NOUN,FALSE,1,2,11,3,3.6666666666666665,0.1428571428571429,0.40746381878852844,0.02670573318496907,0.02670573318496907,0.016757873818278313,FALSE
VERB,VERB,TRUE,6,9,5,3,1.6666666666666667,0.25,0.6086307764053345,0.0184585200137084,0.0184585200137084,0.011974324472248554,TRUE
VERB,NOUN,FALSE,5,7,4,3,1.3333333333333333,0.2857142857142857,0.33423274755477905,0.00906013797723111,0.00906013797723111,0.011532289907336235,FALSE
VERB,VERB,TRUE,6,9,5,3,1.6666666666666667,0.25,0.6086307764053345,0.0184585200137084,0.0184585200137084,0.011511346325278282,TRUE
VERB,NOUN,FALSE,7,9,4,3,1.3333333333333333,0.2857142857142857,0.3298409581184387,0.009706883581683527,0.009706883581683527,0.0109671950340271,FALSE
VERB,NOUN,FALSE,4,6,6,3,2.0,0.2222222222222222,0.3081148564815521,0.017065053940621196,0.017065053940621196,0.008621854707598686,FALSE
VERB,VERB,TRUE,7,7,4,3,1.3333333333333333,0.2857142857142857,0.31114450097084045,0.010355257089813677,0.010355257089813677,0.008435328491032124,TRUE
NOUN,PROPN,FALSE,10,10,9,11,0.8181818181818182,0.30000000000000004,0.4859829246997833,0,0,0.01464963797479868,FALSE
NOUN,PROPN,FALSE,9,9,8,11,0.7272727272727273,0.3157894736842105,0.5376693606376648,0.007367419646649434,0.007367419646649434,0.008616859093308449,FALSE
NOUN,DET,FALSE,1,0,3,11,0.2727272727272727,0.1428571428571429,0.5453230738639832,0.09021821111914904,0.09021821111914904,0.0045280433259904385,FALSE
NOUN,ADJ,FALSE,3,6,4,11,0.36363636363636365,0.4,0.4760909676551819,0.012334883242449841,0.012334883242449841,0.0037488513626158237,FALSE
NOUN,PROPN,FALSE,10,10,6,11,0.5454545454545454,0.11764705882352944,0.6643079519271851,0,0,0.0033669222611933947,FALSE
NOUN,X,FALSE,0,10,1,4,0.25,0.0,0.5379927158355713,0,0,0.0008251152466982603,FALSE
NOUN,NOUN,TRUE,3,5,7,4,1.75,0.18181818181818177,0.7242876887321472,0.031905451937986516,0.031905451937986516,0.0006841646390967071,FALSE
NOUN,NOUN,TRUE,0,2,7,4,1.75,0.18181818181818177,0.6107341647148132,0.026915421154192144,0.026915421154192144,0.0004585462447721511,FALSE
NOUN,NOUN,TRUE,9,9,6,4,1.5,0.4,0.5024900436401367,0.0034329544589600846,0.0034329544589600846,0.00029792889836244285,FALSE
NOUN,NOUN,TRUE,3,4,7,4,1.75,0.18181818181818177,0.5299739241600037,0.015869923439308518,0.015869923439308518,0.0002639461017679423,FALSE
NOUN,NOUN,TRUE,3,0,8,4,2.0,0.33333333333333337,0.5606631636619568,0.13168518286316183,0.13168518286316183,0.00020149193005636334,FALSE
NOUN,NOUN,TRUE,4,3,4,4,1.0,1.0,1.0000001192092896,0.05417524554934117,0.05417524554934117,0.00017199756985064596,FALSE
NOUN,NOUN,TRUE,3,9,3,4,0.75,0.2857142857142857,0.5213801264762878,0.012680122941369684,0.012680122941369684,0.00016056938329711556,FALSE
NOUN,NOUN,TRUE,0,0,6,4,1.5,0.19999999999999996,0.4240265488624573,0.10370601665784591,0.10370601665784591,0.0001556606439407915,TRUE
NOUN,NOUN,TRUE,3,5,6,4,1.5,0.19999999999999996,0.5246572494506836,0.03586290534139015,0.03586290534139015,0.00011193483078386635,TRUE
VERB,NOUN,FALSE,4,9,9,2,4.5,0.0,-0.033121079206466675,0.004703424844080563,0.004703424844080563,0.33694759011268616,TRUE
VERB,NOUN,FALSE,4,9,5,2,2.5,0.0,0.09280195832252502,0.014406793933860388,0.014406793933860388,0.028013581410050392,TRUE
VERB,NOUN,FALSE,8,9,4,2,2.0,0.0,0.09303128719329834,0.008268862989486073,0.008268862989486073,0.011201463639736176,FALSE
VERB,VERB,TRUE,6,8,8,2,4.0,0.0,0.15130922198295593,0.01090600933439616,0.01090600933439616,0.011137752793729305,FALSE
VERB,NOUN,FALSE,3,9,8,2,4.0,0.0,0.06202489882707596,0.005613860894711914,0.005613860894711914,0.008239136077463627,TRUE
VERB,NOUN,FALSE,8,5,7,2,3.5,0.0,-0.027402177453041077,0.0607663410728323,0.0607663410728323,0.008047796785831451,FALSE
VERB,ADJ,FALSE,3,7,10,2,5.0,0.0,-0.05555354431271553,0.01017038779364922,0.01017038779364922,0.007436428684741259,FALSE
