Iteration 0
=== Summary ===

Correctly Classified Instances        1703               64.9009 %
Incorrectly Classified Instances       921               35.0991 %
Kappa statistic                          0.3303
Mean absolute error                      0.351 
Root mean squared error                  0.5924
Total Number of Instances             2624     

=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.950    0.432    0.372      0.950    0.535      0.425    0.759     0.364     TRUE
                 0.568    0.050    0.977      0.568    0.718      0.425    0.759     0.895     FALSE
Weighted Avg.    0.649    0.131    0.848      0.649    0.679      0.425    0.759     0.782     

=== Confusion Matrix ===

    a    b   <-- classified as
  529   28 |    a = TRUE
  893 1174 |    b = FALSE




----

Iteration 1


=== Model information ===

Filename:     PURE_P1_TrainSet.model
Scheme:       weka.classifiers.meta.CostSensitiveClassifier -cost-matrix "[0.0 2.0; 1.0 0.0]" -S 1 -W weka.classifiers.functions.LibSVM -- -S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model /Users/dipeekaluitel -seed 1
Relation:     train-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1
Attributes:   14
              actualWordPOS
              predictedWordPOS
              posTagsMatch
              numTimesPredicted
              numTimesInCorpus
              predictedTokenLength
              actualTokenLength
              ratioOfTokenLengths
              levDistance
              semanticSim
              tfidfAverageRank
              tfidfHighestRank
              predictedProba
              class

=== Classifier model ===

CostSensitiveClassifier using reweighted training instances

weka.classifiers.functions.LibSVM -S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model /Users/dipeekaluitel -seed 1

Classifier Model
LibSVM wrapper, original code by Yasser EL-Manzalawy (= WLSVM)

Cost Matrix
 0 2
 1 0


=== Re-evaluation on test set ===

User supplied test set
Relation:     1998-themas
Instances:     unknown (yet). Reading incrementally
Attributes:   14

=== Predictions on user test set ===

inst#,actual,predicted,error,prediction
1,2:FALSE,1:TRUE,+,1
2,2:FALSE,1:TRUE,+,1
3,1:TRUE,1:TRUE,,1
4,2:FALSE,2:FALSE,,1
5,2:FALSE,1:TRUE,+,1
6,1:TRUE,1:TRUE,,1
7,2:FALSE,1:TRUE,+,1
8,2:FALSE,2:FALSE,,1
9,2:FALSE,2:FALSE,,1
10,2:FALSE,1:TRUE,+,1
11,2:FALSE,1:TRUE,+,1
12,1:TRUE,1:TRUE,,1
13,2:FALSE,2:FALSE,,1
14,2:FALSE,1:TRUE,+,1
15,1:TRUE,1:TRUE,,1
16,1:TRUE,1:TRUE,,1
17,1:TRUE,1:TRUE,,1
18,1:TRUE,1:TRUE,,1
19,2:FALSE,2:FALSE,,1
20,1:TRUE,1:TRUE,,1
21,1:TRUE,1:TRUE,,1
22,1:TRUE,1:TRUE,,1
23,2:FALSE,1:TRUE,+,1
24,2:FALSE,1:TRUE,+,1
25,1:TRUE,1:TRUE,,1
26,1:TRUE,1:TRUE,,1
27,2:FALSE,1:TRUE,+,1
28,2:FALSE,2:FALSE,,1
29,1:TRUE,1:TRUE,,1
30,2:FALSE,1:TRUE,+,1
31,1:TRUE,1:TRUE,,1
32,2:FALSE,1:TRUE,+,1
33,2:FALSE,1:TRUE,+,1
34,1:TRUE,1:TRUE,,1
35,2:FALSE,1:TRUE,+,1
36,1:TRUE,1:TRUE,,1
37,2:FALSE,2:FALSE,,1
38,2:FALSE,1:TRUE,+,1
39,1:TRUE,1:TRUE,,1
40,1:TRUE,1:TRUE,,1
41,1:TRUE,1:TRUE,,1
42,2:FALSE,2:FALSE,,1
43,2:FALSE,2:FALSE,,1
44,2:FALSE,1:TRUE,+,1
45,2:FALSE,1:TRUE,+,1
46,1:TRUE,1:TRUE,,1
47,2:FALSE,1:TRUE,+,1
48,1:TRUE,1:TRUE,,1
49,2:FALSE,2:FALSE,,1
50,1:TRUE,1:TRUE,,1
51,1:TRUE,1:TRUE,,1
52,1:TRUE,1:TRUE,,1
53,2:FALSE,1:TRUE,+,1
54,2:FALSE,1:TRUE,+,1
55,2:FALSE,1:TRUE,+,1
56,2:FALSE,1:TRUE,+,1
57,2:FALSE,1:TRUE,+,1
58,1:TRUE,1:TRUE,,1
59,2:FALSE,1:TRUE,+,1
60,2:FALSE,1:TRUE,+,1
61,1:TRUE,1:TRUE,,1
62,2:FALSE,1:TRUE,+,1
63,1:TRUE,1:TRUE,,1
64,1:TRUE,1:TRUE,,1
65,1:TRUE,1:TRUE,,1
66,1:TRUE,1:TRUE,,1
67,2:FALSE,1:TRUE,+,1
68,2:FALSE,1:TRUE,+,1
69,2:FALSE,1:TRUE,+,1
70,2:FALSE,1:TRUE,+,1
71,2:FALSE,1:TRUE,+,1
72,2:FALSE,2:FALSE,,1
73,2:FALSE,1:TRUE,+,1
74,2:FALSE,2:FALSE,,1
75,1:TRUE,1:TRUE,,1
76,2:FALSE,2:FALSE,,1
77,1:TRUE,1:TRUE,,1
78,2:FALSE,2:FALSE,,1
79,1:TRUE,1:TRUE,,1
80,2:FALSE,1:TRUE,+,1
81,2:FALSE,2:FALSE,,1
82,1:TRUE,1:TRUE,,1
83,2:FALSE,2:FALSE,,1
84,1:TRUE,1:TRUE,,1
85,2:FALSE,2:FALSE,,1
86,2:FALSE,2:FALSE,,1
87,2:FALSE,2:FALSE,,1
88,2:FALSE,2:FALSE,,1
89,2:FALSE,2:FALSE,,1
90,2:FALSE,1:TRUE,+,1
91,2:FALSE,2:FALSE,,1
92,2:FALSE,2:FALSE,,1
93,1:TRUE,1:TRUE,,1
94,2:FALSE,2:FALSE,,1
