@RELATION 1998-themas
@ATTRIBUTE actualWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE predictedWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE posTagsMatch {TRUE, FALSE}
@ATTRIBUTE numTimesPredicted numeric
@ATTRIBUTE numTimesInCorpus numeric
@ATTRIBUTE predictedTokenLength numeric
@ATTRIBUTE actualTokenLength numeric
@ATTRIBUTE ratioOfTokenLengths numeric
@ATTRIBUTE levDistance numeric
@ATTRIBUTE semanticSim numeric
@ATTRIBUTE tfidfAverageRank numeric
@ATTRIBUTE tfidfHighestRank numeric
@ATTRIBUTE predictedProba numeric
@ATTRIBUTE class {TRUE, FALSE}
@DATA
VERB,DET,FALSE,8,2,1,10,0.1,0.18181818181818177,0.4457129240036011,0,0,0.14318251609802246,FALSE
VERB,DET,FALSE,6,0,3,10,0.3,0.3076923076923077,0.5498512983322144,0.07408353081305775,0.07408353081305775,0.0693589523434639,FALSE
VERB,ADJ,FALSE,7,8,10,10,1.0,0.30000000000000004,0.45563027262687683,0.006008168036535162,0.006008168036535162,0.02319103293120861,FALSE
VERB,ADJ,FALSE,6,7,10,10,1.0,0.19999999999999996,0.4060109853744507,0.02020061999422406,0.02020061999422406,0.013290508650243282,FALSE
VERB,ADJ,FALSE,7,3,3,10,0.3,0.15384615384615385,0.5139462947845459,0.027366862684487608,0.027366862684487608,0.011424141936004162,FALSE
VERB,NOUN,FALSE,2,0,8,10,0.8,0.4444444444444444,0.334030419588089,0.15088143832741505,0.15088143832741505,0.009545519016683102,TRUE
VERB,ADJ,FALSE,8,6,5,10,0.5,0.4,0.41458621621131897,0.0118010763001478,0.0118010763001478,0.008916119113564491,FALSE
VERB,ADJ,FALSE,8,7,5,10,0.5,0.4,0.6919466853141785,0.011857868744155032,0.011857868744155032,0.008748899213969707,FALSE
VERB,PROPN,FALSE,8,9,8,10,0.8,0.33333333333333337,0.06805276870727539,0.011052233620326672,0.011052233620326672,0.008359686471521854,FALSE
VERB,VERB,TRUE,2,2,7,10,0.7,0.23529411764705888,0.6962913870811462,0.03286737618443297,0.03286737618443297,0.0074261813424527645,TRUE
