@RELATION 1999-dii
@ATTRIBUTE actualWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE predictedWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE posTagsMatch {TRUE, FALSE}
@ATTRIBUTE numTimesPredicted numeric
@ATTRIBUTE numTimesInCorpus numeric
@ATTRIBUTE predictedTokenLength numeric
@ATTRIBUTE actualTokenLength numeric
@ATTRIBUTE ratioOfTokenLengths numeric
@ATTRIBUTE levDistance numeric
@ATTRIBUTE semanticSim numeric
@ATTRIBUTE tfidfAverageRank numeric
@ATTRIBUTE tfidfHighestRank numeric
@ATTRIBUTE predictedProba numeric
@ATTRIBUTE class {TRUE, FALSE}
@DATA
NOUN,ADP,FALSE,7,8,5,4,1.25,0.2222222222222222,0.42340198159217834,0.01234325430254269,0.01234325430254269,0.00031331798527389765,FALSE
NOUN,ADP,FALSE,7,8,5,4,1.25,0.2222222222222222,0.42340198159217834,0.01234325430254269,0.01234325430254269,0.00020649693033192307,FALSE
NOUN,VERB,FALSE,6,7,9,4,2.25,0.3076923076923077,0.2671603858470917,0.019941729673205698,0.019941729673205698,0.00012871966464444995,TRUE
NOUN,VERB,FALSE,7,6,7,4,1.75,0.0,0.3728138506412506,0.012874851369861497,0.012874851369861497,7.880580960772932e-05,FALSE
NOUN,ADV,FALSE,7,9,8,4,2.0,0.16666666666666663,0.3893437683582306,0.020218452698752627,0.020218452698752627,6.68384600430727e-05,FALSE
NOUN,ADV,FALSE,7,9,8,4,2.0,0.16666666666666663,0.3893437683582306,0.020218452698752627,0.020218452698752627,6.49892826913856e-05,FALSE
NOUN,VERB,FALSE,7,6,7,4,1.75,0.0,0.3728138506412506,0.012874851369861497,0.012874851369861497,6.11987488809973e-05,FALSE
VERB,NOUN,FALSE,5,6,14,10,1.4,0.25,0.5876310467720032,0.041028530832498446,0.041028530832498446,0.05584357678890228,TRUE
VERB,NOUN,FALSE,5,6,14,10,1.4,0.25,0.5876310467720032,0.041028530832498446,0.041028530832498446,0.030218666419386864,TRUE
VERB,NOUN,FALSE,2,1,5,10,0.5,0.1333333333333333,0.4820939898490906,0.05087923027981324,0.05087923027981324,0.018969403579831123,TRUE
VERB,NOUN,FALSE,5,3,3,10,0.3,0.15384615384615385,0.34257638454437256,0.27986392488957357,0.27986392488957357,0.017442049458622932,FALSE
VERB,NOUN,FALSE,3,5,9,10,0.9,0.3157894736842105,0.4647015333175659,0.029603195294109444,0.029603195294109444,0.01573839969933033,TRUE
VERB,NOUN,FALSE,6,5,5,10,0.5,0.2666666666666667,0.2613193392753601,0.038261198695476284,0.038261198695476284,0.013024494051933289,FALSE
VERB,NOUN,FALSE,5,3,3,10,0.3,0.15384615384615385,0.34257638454437256,0.27986392488957357,0.27986392488957357,0.012700669467449188,FALSE
VERB,NOUN,FALSE,2,6,5,10,0.5,0.2666666666666667,0.5544793009757996,0.024682314816463307,0.024682314816463307,0.01231696829199791,FALSE
VERB,NOUN,FALSE,1,6,7,10,0.7,0.11764705882352944,0.613319993019104,0.03350451167440441,0.03350451167440441,0.012091241776943207,TRUE
VERB,NOUN,FALSE,0,1,11,10,1.1,0.2857142857142857,0.5001349449157715,0.053364689148802436,0.053364689148802436,0.011949519626796246,TRUE
VERB,NOUN,FALSE,2,7,4,10,0.4,0.1428571428571429,0.3556233048439026,0.011838901503519642,0.011838901503519642,0.011804561130702496,TRUE
VERB,NOUN,FALSE,3,5,4,10,0.4,0.2857142857142857,0.45813989639282227,0.03255122800767805,0.03255122800767805,0.011407320387661457,TRUE
VERB,NOUN,FALSE,8,9,8,10,0.8,0.33333333333333337,0.4870062470436096,0.019842253267810306,0.019842253267810306,0.011099611409008503,FALSE
VERB,NOUN,FALSE,2,1,5,10,0.5,0.1333333333333333,0.4820939898490906,0.05087923027981324,0.05087923027981324,0.009830208495259285,TRUE
NOUN,NOUN,TRUE,3,3,4,5,0.8,0.8888888888888888,0.8771381378173828,0.04005597484501659,0.04005597484501659,0.6652988791465759,TRUE
NOUN,NOUN,TRUE,7,5,5,5,1.0,0.4,0.7155532836914062,0.01975278158019104,0.01975278158019104,0.21092574298381805,FALSE
NOUN,X,FALSE,0,10,1,5,0.2,0.0,0.23453474044799805,0,0,0.07856413722038269,FALSE
NOUN,NOUN,TRUE,4,5,4,5,0.8,0.2222222222222222,0.47975194454193115,0.01844420672815991,0.01844420672815991,0.0036292504519224167,FALSE
NOUN,NOUN,TRUE,7,5,5,5,1.0,0.4,0.7155532836914062,0.01975278158019104,0.01975278158019104,0.002013095421716571,FALSE
NOUN,NOUN,TRUE,2,8,8,5,1.6,0.46153846153846156,0.5158885717391968,0.01332728881201825,0.01332728881201825,0.001827205647714436,FALSE
NOUN,NOUN,TRUE,6,5,5,5,1.0,0.19999999999999996,0.4544570744037628,0.02232361454473377,0.02232361454473377,0.001622718875296414,TRUE
NOUN,NOUN,TRUE,4,4,4,5,0.8,0.2222222222222222,0.4521913528442383,0.027513928409994462,0.027513928409994462,0.0012833152431994677,TRUE
NOUN,NOUN,TRUE,4,2,6,5,1.2,0.18181818181818177,0.4817744195461273,0.0660932962642781,0.0660932962642781,0.0012118684826418757,TRUE
NOUN,NOUN,TRUE,6,3,8,5,1.6,0.15384615384615385,0.7831344604492188,0.0627493323857248,0.0627493323857248,0.0011076201917603612,FALSE
NOUN,NOUN,TRUE,6,8,11,5,2.2,0.125,0.6638397574424744,0.013532438228971308,0.013532438228971308,0.0007937113987281919,FALSE
NOUN,NOUN,TRUE,6,3,4,5,0.8,0.2222222222222222,0.663779079914093,0.02114987556121974,0.02114987556121974,0.0006649077986367047,FALSE
NOUN,NOUN,TRUE,6,8,11,5,2.2,0.125,0.6638397574424744,0.013532438228971308,0.013532438228971308,0.0006337035447359085,FALSE
NOUN,NOUN,TRUE,6,9,9,5,1.8,0.2857142857142857,0.49946457147598267,0.014369021660877293,0.014369021660877293,0.0005626963684335351,FALSE
NOUN,NOUN,TRUE,3,5,5,5,1.0,0.19999999999999996,0.47223812341690063,0.018830244335038316,0.018830244335038316,0.0005473661003634334,TRUE
NOUN,NOUN,TRUE,4,6,4,4,1.0,0.25,0.7083249092102051,0.016942688094755964,0.016942688094755964,0.18709821999073029,TRUE
NOUN,NOUN,TRUE,8,10,6,4,1.5,0.19999999999999996,0.5865331292152405,0,0,0.051087744534015656,FALSE
NOUN,NOUN,TRUE,1,0,4,4,1.0,1.0,1.0,0.06952578274509745,0.06952578274509745,0.050597306340932846,TRUE
NOUN,NOUN,TRUE,3,3,8,4,2.0,0.16666666666666663,0.5914596319198608,0.1400538987909221,0.1400538987909221,0.038109272718429565,FALSE
NOUN,NOUN,TRUE,7,7,6,4,1.5,0.19999999999999996,0.5886818766593933,0.030207600124087,0.030207600124087,0.03775263950228691,FALSE
NOUN,NOUN,TRUE,6,9,6,4,1.5,0.19999999999999996,0.5300332307815552,0.01742339010785292,0.01742339010785292,0.02826455794274807,FALSE
NOUN,NOUN,TRUE,8,9,5,4,1.25,0.4444444444444444,0.6885375380516052,0.01332685356617017,0.01332685356617017,0.02672731503844261,FALSE
NOUN,NOUN,TRUE,3,2,4,4,1.0,0.5,0.5501089096069336,0.022976008991051358,0.022976008991051358,0.025859929621219635,TRUE
NOUN,NOUN,TRUE,6,9,9,4,2.25,0.15384615384615385,0.5384351015090942,0.014369021660877293,0.014369021660877293,0.02365805208683014,FALSE
NOUN,NOUN,TRUE,4,4,4,4,1.0,0.25,0.4221661388874054,0.027513928409994462,0.027513928409994462,0.01990215666592121,TRUE
NOUN,NOUN,TRUE,3,3,4,4,1.0,0.0,0.7408642768859863,0.01875742009156968,0.01875742009156968,0.017914682626724243,TRUE
NOUN,NOUN,TRUE,7,7,5,4,1.25,0.0,0.5829365253448486,0.01564830086667487,0.01564830086667487,0.016218682751059532,FALSE
NOUN,NOUN,TRUE,8,9,9,4,2.25,0.3076923076923077,0.347299188375473,0.0046610073992545895,0.0046610073992545895,0.012306501157581806,FALSE
NOUN,NOUN,TRUE,7,8,5,4,1.25,0.2222222222222222,0.5416590571403503,0.01600593013838578,0.01600593013838578,0.011433501727879047,TRUE
NOUN,NOUN,TRUE,2,4,8,5,1.6,0.15384615384615385,0.48006945848464966,0.03056170030104298,0.03056170030104298,0.022016217932105064,TRUE
NOUN,NOUN,TRUE,5,6,5,5,1.0,0.4,0.38462430238723755,0.019024701078679502,0.019024701078679502,0.020971931517124176,FALSE
NOUN,NOUN,TRUE,8,8,6,5,1.2,0.18181818181818177,0.6245365142822266,0.03998056069851051,0.03998056069851051,0.020554043352603912,TRUE
NOUN,NOUN,TRUE,1,4,9,5,1.8,0.4285714285714286,0.5997190475463867,0.03298762978078559,0.03298762978078559,0.017239626497030258,TRUE
NOUN,NOUN,TRUE,8,9,9,5,1.8,0.1428571428571429,0.4959801137447357,0.03405258197071934,0.03405258197071934,0.013118831440806389,FALSE
NOUN,NOUN,TRUE,8,9,4,5,0.8,0.2222222222222222,0.2575288414955139,0.03011203898046088,0.03011203898046088,0.012630968354642391,FALSE
NOUN,NOUN,TRUE,8,9,11,6,1.8333333333333333,0.23529411764705888,0.4526114761829376,0.008389761358024075,0.008389761358024075,0.01596011035144329,FALSE
NOUN,NOUN,TRUE,8,9,5,6,0.8333333333333334,0.36363636363636365,0.5837457776069641,0.025584425818724908,0.025584425818724908,0.011511433869600296,FALSE
NOUN,NOUN,TRUE,9,9,7,8,0.875,0.2666666666666667,0.3354109227657318,0.004442284522056723,0.004442284522056723,0.020923223346471786,FALSE
NOUN,NOUN,TRUE,9,8,8,8,1.0,0.25,0.7618356943130493,0.025101024111447382,0.025101024111447382,0.016222890466451645,FALSE
NOUN,NOUN,TRUE,0,0,5,8,0.625,0.15384615384615385,0.2619829475879669,0.14388993354468071,0.14388993354468071,0.0009148729150183499,TRUE
NOUN,NOUN,TRUE,2,4,6,8,0.75,0.1428571428571429,0.5805917978286743,0.02375658866009073,0.02375658866009073,0.0004547919670585543,TRUE
NOUN,NOUN,TRUE,5,5,5,8,0.625,0.46153846153846156,0.2460557073354721,0.01698038363862972,0.01698038363862972,0.00041595305083319545,TRUE
NOUN,NOUN,TRUE,5,8,7,4,1.75,0.0,0.5281851887702942,0.019051531984937798,0.019051531984937798,0.0966481864452362,FALSE
NOUN,NOUN,TRUE,3,8,7,4,1.75,0.0,0.24332748353481293,0.027566704547690356,0.027566704547690356,0.09548704326152802,TRUE
NOUN,NOUN,TRUE,6,9,5,4,1.25,0.0,0.3605859875679016,0.4184188638536618,0.4184188638536618,0.04353592172265053,TRUE
NOUN,NOUN,TRUE,5,9,5,4,1.25,0.0,0.3749486207962036,0.015729131582314936,0.015729131582314936,0.03849036246538162,FALSE
NOUN,NOUN,TRUE,3,3,5,4,1.25,0.0,0.23465591669082642,0.02717858234914274,0.02717858234914274,0.03537592664361,TRUE
NOUN,NOUN,TRUE,2,5,4,4,1.0,0.0,0.48251602053642273,0.013614821007902494,0.013614821007902494,0.025639081373810768,TRUE
NOUN,NOUN,TRUE,0,0,6,4,1.5,0.0,0.261570006608963,0.06437782445189572,0.06437782445189572,0.014084178023040295,TRUE
NOUN,PROPN,FALSE,8,10,5,4,1.25,0.0,0.20668548345565796,0,0,0.01348191313445568,FALSE
NOUN,NOUN,TRUE,7,9,6,4,1.5,0.0,0.19362589716911316,0.01615136587337628,0.01615136587337628,0.011266665533185005,FALSE
NOUN,PROPN,FALSE,5,9,4,4,1.0,0.0,0.20042560994625092,0.012090139887955015,0.012090139887955015,0.01010342501103878,FALSE
NOUN,NOUN,TRUE,4,9,4,4,1.0,0.0,0.3508845269680023,0.012995141315737833,0.012995141315737833,0.009383158758282661,TRUE
