@RELATION 2002-evlacorr
@ATTRIBUTE actualWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE predictedWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE posTagsMatch {TRUE, FALSE}
@ATTRIBUTE numTimesPredicted numeric
@ATTRIBUTE numTimesInCorpus numeric
@ATTRIBUTE predictedTokenLength numeric
@ATTRIBUTE actualTokenLength numeric
@ATTRIBUTE ratioOfTokenLengths numeric
@ATTRIBUTE levDistance numeric
@ATTRIBUTE semanticSim numeric
@ATTRIBUTE tfidfAverageRank numeric
@ATTRIBUTE tfidfHighestRank numeric
@ATTRIBUTE predictedProba numeric
@ATTRIBUTE class {TRUE, FALSE}
@DATA
VERB,VERB,TRUE,6,8,6,7,0.8571428571428571,0.15384615384615385,0.4576587975025177,0.0203519369337449,0.0203519369337449,0.47395649552345276,TRUE
VERB,VERB,TRUE,8,10,4,7,0.5714285714285714,0.18181818181818177,0.45767804980278015,0,0,0.11521075665950775,TRUE
VERB,VERB,TRUE,9,10,10,7,1.4285714285714286,0.23529411764705888,0.28029003739356995,0,0,0.08815471827983856,TRUE
VERB,ADJ,FALSE,8,9,6,7,0.8571428571428571,0.15384615384615385,0.6226662993431091,0.015503653905755402,0.015503653905755402,0.0459815077483654,FALSE
VERB,VERB,TRUE,7,9,6,7,0.8571428571428571,0.9230769230769231,0.7845935225486755,0.00973857944263238,0.00973857944263238,0.027649525552988052,TRUE
VERB,VERB,TRUE,9,9,8,7,1.1428571428571428,0.4,0.4351910650730133,0.018326996846401763,0.018326996846401763,0.02505255490541458,FALSE
VERB,VERB,TRUE,8,8,7,7,1.0,0.2857142857142857,0.3429289162158966,0.022283902119167087,0.022283902119167087,0.024997185915708542,FALSE
VERB,VERB,TRUE,9,9,7,7,1.0,0.1428571428571429,0.5897752046585083,0.006027156114204434,0.006027156114204434,0.01856728084385395,TRUE
VERB,ADJ,FALSE,5,6,8,7,1.1428571428571428,0.4,0.5740697383880615,0.015142056505246602,0.015142056505246602,0.016451973468065262,FALSE
VERB,VERB,TRUE,4,8,4,7,0.5714285714285714,0.18181818181818177,0.49920588731765747,0.02057610548167069,0.02057610548167069,0.015070897527039051,FALSE
VERB,VERB,TRUE,8,9,5,7,0.7142857142857143,0.0,0.47459137439727783,0.011141869784088312,0.011141869784088312,0.008052028715610504,TRUE
VERB,VERB,TRUE,9,9,7,7,1.0,0.2857142857142857,0.3673040270805359,0.03791918604865396,0.03791918604865396,0.007719464134424925,FALSE
VERB,VERB,TRUE,6,8,6,7,0.8571428571428571,0.3076923076923077,0.38418471813201904,0.013842365217813301,0.013842365217813301,0.0075705386698246,TRUE
VERB,VERB,TRUE,3,6,7,7,1.0,0.1428571428571429,0.3968382477760315,0.024958576414846428,0.024958576414846428,0.006792059633880854,TRUE
VERB,VERB,TRUE,2,8,6,7,0.8571428571428571,0.15384615384615385,0.43285393714904785,0.013623612398570517,0.013623612398570517,0.006636303383857012,FALSE
NOUN,NOUN,TRUE,0,2,5,4,1.25,0.6666666666666667,0.301605224609375,0.042008631632343245,0.042008631632343245,0.32911401987075806,TRUE
NOUN,NOUN,TRUE,3,6,6,4,1.5,0.19999999999999996,0.6718151569366455,0.01918926748700781,0.01918926748700781,0.1071077361702919,TRUE
NOUN,NOUN,TRUE,6,9,5,4,1.25,0.2222222222222222,0.543734073638916,0.016418727303927554,0.016418727303927554,0.046561188995838165,FALSE
NOUN,NOUN,TRUE,7,7,4,4,1.0,0.25,0.4908508062362671,0.018995284653574102,0.018995284653574102,0.030590923503041267,FALSE
NOUN,NOUN,TRUE,1,2,11,4,2.75,0.2666666666666667,0.8329989314079285,0.07017532785655083,0.07017532785655083,0.02702094241976738,TRUE
NOUN,NOUN,TRUE,8,9,5,4,1.25,0.4444444444444444,0.5372563004493713,0.02330663201439992,0.02330663201439992,0.014132053591310978,FALSE
NOUN,NOUN,TRUE,6,9,11,4,2.75,0.2666666666666667,0.5722925066947937,0.005246128764304877,0.005246128764304877,0.013190158642828465,FALSE
NOUN,NOUN,TRUE,8,8,5,4,1.25,0.2222222222222222,0.5776168704032898,0.013652693777958939,0.013652693777958939,0.012817393988370895,FALSE
NOUN,ADJ,FALSE,6,5,7,4,1.75,0.5454545454545454,0.7326624393463135,0.02278754499026396,0.02278754499026396,0.008033692836761475,FALSE
NOUN,NOUN,TRUE,8,9,6,4,1.5,0.19999999999999996,0.4358235001564026,0.020997302175628323,0.020997302175628323,0.007751820608973503,FALSE
NOUN,NOUN,TRUE,7,7,7,4,1.75,0.18181818181818177,0.5370609164237976,0.03263049066102349,0.03263049066102349,0.007315510418266058,FALSE
NOUN,NOUN,TRUE,6,9,4,4,1.0,0.25,0.5597100257873535,0.016245742911896573,0.016245742911896573,0.006647017784416676,TRUE
NOUN,NOUN,TRUE,2,6,10,10,1.0,0.19999999999999996,0.5332833528518677,0.02958557861216403,0.02958557861216403,0.0402296781539917,FALSE
NOUN,NOUN,TRUE,8,9,4,10,0.4,0.1428571428571429,0.32279396057128906,0.04865414006296161,0.04865414006296161,0.026042815297842026,FALSE
NOUN,NOUN,TRUE,3,6,7,10,0.7,0.23529411764705888,0.725212574005127,0.03177511902463879,0.03177511902463879,0.025801263749599457,TRUE
NOUN,NOUN,TRUE,6,7,4,10,0.4,0.2857142857142857,0.42125728726387024,0.03367577363116344,0.03367577363116344,0.022822974249720573,TRUE
NOUN,NOUN,TRUE,9,10,8,10,0.8,0.33333333333333337,0.29062554240226746,0,0,0.022252902388572693,FALSE
NOUN,NOUN,TRUE,6,7,4,10,0.4,0.2857142857142857,0.42125728726387024,0.03367577363116344,0.03367577363116344,0.021944578737020493,TRUE
NOUN,NOUN,TRUE,5,8,6,10,0.6,0.375,0.408185750246048,0.019544991365543142,0.019544991365543142,0.02163848467171192,FALSE
NOUN,PROPN,FALSE,8,9,4,10,0.4,0.1428571428571429,0.32279396057128906,0.04865414006296161,0.04865414006296161,0.019595611840486526,FALSE
NOUN,X,FALSE,0,10,1,10,0.1,0.0,0.08053696155548096,0,0,0.019259823486208916,FALSE
NOUN,NOUN,TRUE,5,8,6,10,0.6,0.375,0.408185750246048,0.019544991365543142,0.019544991365543142,0.01830781064927578,FALSE
NOUN,NOUN,TRUE,3,6,10,10,1.0,1.0,0.9999999403953552,0.025728086434865693,0.025728086434865693,0.016493497416377068,TRUE
NOUN,NOUN,TRUE,3,6,8,10,0.8,0.2222222222222222,0.6240297555923462,0.029259124112235184,0.029259124112235184,0.016371717676520348,TRUE
NOUN,NOUN,TRUE,6,4,4,10,0.4,0.1428571428571429,0.6024826169013977,0.03171744569818228,0.03171744569818228,0.012376736849546432,FALSE
NOUN,NOUN,TRUE,7,7,8,10,0.8,0.33333333333333337,0.5424838066101074,0.02071467144992529,0.02071467144992529,0.012138066813349724,FALSE
NOUN,NOUN,TRUE,5,7,6,10,0.6,0.125,0.38374295830726624,0.041846087060881,0.041846087060881,0.010178254917263985,TRUE
NOUN,NOUN,TRUE,0,1,8,7,1.1428571428571428,0.4,0.8081181049346924,0.12536017787507145,0.12536017787507145,0.07090974599123001,TRUE
NOUN,NOUN,TRUE,0,0,6,7,0.8571428571428571,0.9230769230769231,0.9018658399581909,0.1260878334952442,0.1260878334952442,0.03987414389848709,TRUE
NOUN,NOUN,TRUE,0,0,6,7,0.8571428571428571,0.9230769230769231,0.9018658399581909,0.1260878334952442,0.1260878334952442,0.03894778713583946,TRUE
NOUN,NOUN,TRUE,3,5,4,7,0.5714285714285714,0.18181818181818177,0.7070949077606201,0.06804987909369628,0.06804987909369628,0.034429170191287994,TRUE
NOUN,NOUN,TRUE,0,2,11,7,1.5714285714285714,0.11111111111111116,0.7158520221710205,0.051256496775773715,0.051256496775773715,0.028746027499437332,FALSE
NOUN,NOUN,TRUE,0,3,7,7,1.0,0.2857142857142857,0.6735155582427979,0.048674062131245324,0.048674062131245324,0.02668963000178337,TRUE
NOUN,X,FALSE,0,10,1,7,0.14285714285714285,0.0,0.2063220739364624,0,0,0.02069718763232231,FALSE
NOUN,NOUN,TRUE,3,5,9,7,1.2857142857142858,0.25,0.8025966286659241,0.021933120859973232,0.021933120859973232,0.017453713342547417,FALSE
NOUN,NOUN,TRUE,2,4,4,7,0.5714285714285714,0.18181818181818177,0.6729182600975037,0.04173998070241856,0.04173998070241856,0.016511328518390656,TRUE
NOUN,NOUN,TRUE,2,3,8,7,1.1428571428571428,0.1333333333333333,0.6031197309494019,0.03694853994386927,0.03694853994386927,0.014814864844083786,TRUE
NOUN,NOUN,TRUE,2,8,6,7,0.8571428571428571,0.15384615384615385,0.5695476531982422,0.03610030116916501,0.03610030116916501,0.013700282201170921,TRUE
NOUN,NOUN,TRUE,3,8,10,7,1.4285714285714286,0.11764705882352944,0.6809055209159851,0.011710395116189645,0.011710395116189645,0.012767314910888672,FALSE
NOUN,NOUN,TRUE,3,5,10,7,1.4285714285714286,0.23529411764705888,0.8289326429367065,0.02425178830240905,0.02425178830240905,0.012676926329731941,TRUE
NOUN,NOUN,TRUE,4,9,8,7,1.1428571428571428,0.1333333333333333,0.608799159526825,0.011031343622966275,0.011031343622966275,0.012629755772650242,TRUE
NOUN,NOUN,TRUE,1,0,7,7,1.0,0.1428571428571429,0.617211639881134,0.07715809866428631,0.07715809866428631,0.012026517651975155,FALSE
VERB,VERB,TRUE,6,7,8,9,0.8888888888888888,0.23529411764705888,0.4027044177055359,0.018754041465260638,0.018754041465260638,0.10991408675909042,FALSE
VERB,VERB,TRUE,4,8,6,9,0.6666666666666666,0.2666666666666667,0.4846230149269104,0.01962875355427006,0.01962875355427006,0.055131979286670685,TRUE
VERB,VERB,TRUE,6,5,7,9,0.7777777777777778,0.25,0.3944459855556488,0.018468211294164136,0.018468211294164136,0.044070225208997726,FALSE
VERB,VERB,TRUE,7,9,5,9,0.5555555555555556,0.2857142857142857,0.29764628410339355,0.04243230227774285,0.04243230227774285,0.030443985015153885,TRUE
VERB,VERB,TRUE,5,7,7,9,0.7777777777777778,0.375,0.7288646697998047,0.009530382301302511,0.009530382301302511,0.029443513602018356,TRUE
VERB,VERB,TRUE,9,8,9,9,1.0,0.33333333333333337,0.25858017802238464,0.026004091812524412,0.026004091812524412,0.027751410380005836,FALSE
VERB,VERB,TRUE,5,9,6,9,0.6666666666666666,0.1333333333333333,0.3383384943008423,0.017260078355001877,0.017260078355001877,0.024802744388580322,FALSE
VERB,VERB,TRUE,1,0,3,9,0.3333333333333333,0.16666666666666663,0.5169358849525452,0.05947557922624935,0.05947557922624935,0.024632927030324936,TRUE
VERB,VERB,TRUE,2,7,6,9,0.6666666666666666,0.4,0.38868165016174316,0.025397329931322772,0.025397329931322772,0.022878991439938545,FALSE
VERB,VERB,TRUE,5,7,7,9,0.7777777777777778,0.25,0.4798677861690521,0.03594646460387151,0.03594646460387151,0.021440966054797173,FALSE
VERB,VERB,TRUE,6,8,7,9,0.7777777777777778,0.375,0.00804642029106617,0.015810054517843904,0.015810054517843904,0.021052364259958267,FALSE
VERB,VERB,TRUE,6,9,6,9,0.6666666666666666,0.8,0.8046746253967285,0.02309214116465391,0.02309214116465391,0.018736686557531357,TRUE
VERB,VERB,TRUE,6,8,7,9,0.7777777777777778,0.25,0.534945547580719,0.007853050022478299,0.007853050022478299,0.017460880801081657,TRUE
NOUN,ADJ,FALSE,6,4,9,6,1.5,0.1333333333333333,0.4199266731739044,0.01644698009295776,0.01644698009295776,0.03689521178603172,FALSE
NOUN,ADJ,FALSE,6,4,4,6,0.6666666666666666,0.0,0.48846498131752014,0.024476713875450442,0.024476713875450442,0.02054133079946041,FALSE
