@RELATION 2005-grid3D
@ATTRIBUTE actualWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE predictedWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE posTagsMatch {TRUE, FALSE}
@ATTRIBUTE numTimesPredicted numeric
@ATTRIBUTE numTimesInCorpus numeric
@ATTRIBUTE predictedTokenLength numeric
@ATTRIBUTE actualTokenLength numeric
@ATTRIBUTE ratioOfTokenLengths numeric
@ATTRIBUTE levDistance numeric
@ATTRIBUTE semanticSim numeric
@ATTRIBUTE tfidfAverageRank numeric
@ATTRIBUTE tfidfHighestRank numeric
@ATTRIBUTE predictedProba numeric
@ATTRIBUTE class {TRUE, FALSE}
@DATA
NOUN,NOUN,TRUE,7,6,5,11,0.45454545454545453,0.25,0.32272058725357056,0.04071690903264623,0.04071690903264623,0.10934851318597794,FALSE
NOUN,NOUN,TRUE,8,7,3,11,0.2727272727272727,0.1428571428571429,0.28628993034362793,0.06587399988608521,0.06587399988608521,0.05476769432425499,FALSE
NOUN,NOUN,TRUE,3,6,6,11,0.5454545454545454,0.23529411764705888,0.09670782089233398,0.02065936924718109,0.02065936924718109,0.029790939763188362,FALSE
NOUN,NOUN,TRUE,8,10,5,11,0.45454545454545453,0.0,0.3021079897880554,0,0,0.02200082316994667,FALSE
NOUN,NOUN,TRUE,0,0,3,11,0.2727272727272727,0.1428571428571429,0.47940605878829956,0.0603624959062886,0.0603624959062886,0.021402234211564064,TRUE
NOUN,NOUN,TRUE,8,9,6,11,0.5454545454545454,0.23529411764705888,0.21056075394153595,0.013174799977217043,0.013174799977217043,0.02048114314675331,FALSE
NOUN,NOUN,TRUE,7,5,7,11,0.6363636363636364,0.2222222222222222,0.2517930269241333,0.022886657443474095,0.022886657443474095,0.020175673067569733,FALSE
NOUN,NOUN,TRUE,4,8,6,11,0.5454545454545454,0.23529411764705888,0.41826844215393066,0.01812644715296633,0.01812644715296633,0.020153116434812546,TRUE
NOUN,NOUN,TRUE,7,10,5,11,0.45454545454545453,0.25,0.36891379952430725,0,0,0.01975591480731964,FALSE
NOUN,NOUN,TRUE,8,10,4,11,0.36363636363636365,0.1333333333333333,0.223593071103096,0,0,0.017354344949126244,FALSE
NOUN,NOUN,TRUE,8,8,6,11,0.5454545454545454,0.23529411764705888,0.37977927923202515,0.012562624248068295,0.012562624248068295,0.01127698551863432,FALSE
