inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,0.992
2,2:FALSE,2:FALSE,,0.999
3,1:TRUE,1:TRUE,,0.87
4,1:TRUE,1:TRUE,,1
5,1:TRUE,2:FALSE,+,0.58
6,2:FALSE,2:FALSE,,0.76
7,1:TRUE,1:TRUE,,0.88
8,2:FALSE,2:FALSE,,0.994
9,1:TRUE,1:TRUE,,0.88
10,1:TRUE,1:TRUE,,0.59
11,2:FALSE,2:FALSE,,0.99
12,1:TRUE,1:TRUE,,0.75
13,2:FALSE,2:FALSE,,0.66
14,1:TRUE,1:TRUE,,0.51
15,1:TRUE,1:TRUE,,0.94
16,1:TRUE,1:TRUE,,0.99
17,2:FALSE,2:FALSE,,0.67
18,2:FALSE,1:TRUE,+,0.54
19,1:TRUE,1:TRUE,,0.72
20,2:FALSE,1:TRUE,+,0.52
21,2:FALSE,1:TRUE,+,0.89
22,2:FALSE,1:TRUE,+,0.74
23,2:FALSE,1:TRUE,+,0.83
24,1:TRUE,2:FALSE,+,0.84
25,1:TRUE,2:FALSE,+,0.85
26,1:TRUE,1:TRUE,,0.67
27,2:FALSE,1:TRUE,+,0.71
28,2:FALSE,2:FALSE,,0.81
29,1:TRUE,1:TRUE,,1
30,2:FALSE,1:TRUE,+,0.59
31,2:FALSE,1:TRUE,+,0.51
32,2:FALSE,2:FALSE,,0.64
33,2:FALSE,1:TRUE,+,0.75
34,2:FALSE,2:FALSE,,0.57
35,2:FALSE,1:TRUE,+,0.55
36,2:FALSE,2:FALSE,,0.75
37,2:FALSE,1:TRUE,+,0.67
38,2:FALSE,2:FALSE,,0.63
39,1:TRUE,1:TRUE,,0.58
40,2:FALSE,2:FALSE,,0.66
41,2:FALSE,2:FALSE,,0.99
42,2:FALSE,1:TRUE,+,0.83
43,1:TRUE,1:TRUE,,0.72
44,2:FALSE,2:FALSE,,0.76
45,2:FALSE,2:FALSE,,0.7
46,1:TRUE,2:FALSE,+,0.58
47,2:FALSE,2:FALSE,,0.86
48,1:TRUE,2:FALSE,+,0.52
49,2:FALSE,1:TRUE,+,0.93
50,1:TRUE,1:TRUE,,0.71
51,2:FALSE,1:TRUE,+,0.8
52,2:FALSE,2:FALSE,,0.84
53,2:FALSE,1:TRUE,+,0.54
54,2:FALSE,2:FALSE,,0.72
55,2:FALSE,2:FALSE,,0.72
56,2:FALSE,2:FALSE,,1
57,2:FALSE,2:FALSE,,1
58,1:TRUE,1:TRUE,,0.88
59,2:FALSE,2:FALSE,,1
60,1:TRUE,2:FALSE,+,0.66
61,2:FALSE,2:FALSE,,0.61
62,2:FALSE,2:FALSE,,1
63,1:TRUE,1:TRUE,,0.97
64,2:FALSE,2:FALSE,,1
65,2:FALSE,2:FALSE,,1
66,2:FALSE,1:TRUE,+,0.79
67,2:FALSE,1:TRUE,+,0.88
68,1:TRUE,1:TRUE,,0.94
69,2:FALSE,1:TRUE,+,0.7
70,1:TRUE,1:TRUE,,0.93
71,1:TRUE,1:TRUE,,0.93
72,2:FALSE,1:TRUE,+,0.52
73,1:TRUE,1:TRUE,,0.51
74,1:TRUE,1:TRUE,,0.59
75,2:FALSE,1:TRUE,+,0.77
76,1:TRUE,1:TRUE,,0.87
77,1:TRUE,1:TRUE,,0.97
78,1:TRUE,1:TRUE,,0.89
79,2:FALSE,2:FALSE,,0.67
80,1:TRUE,1:TRUE,,0.83
81,1:TRUE,1:TRUE,,0.95
82,1:TRUE,1:TRUE,,0.52
83,2:FALSE,1:TRUE,+,0.59
84,1:TRUE,2:FALSE,+,0.56
85,1:TRUE,1:TRUE,,0.97
86,1:TRUE,2:FALSE,+,0.54
87,1:TRUE,1:TRUE,,0.96
88,1:TRUE,1:TRUE,,0.74
89,1:TRUE,1:TRUE,,0.97
90,1:TRUE,1:TRUE,,0.79
91,1:TRUE,1:TRUE,,0.98
92,1:TRUE,1:TRUE,,0.94
93,1:TRUE,1:TRUE,,0.89
94,1:TRUE,1:TRUE,,0.97
95,2:FALSE,1:TRUE,+,0.78
96,1:TRUE,2:FALSE,+,0.64
97,1:TRUE,1:TRUE,,0.73
98,1:TRUE,2:FALSE,+,0.57
99,1:TRUE,1:TRUE,,0.81
100,1:TRUE,1:TRUE,,0.92
101,1:TRUE,1:TRUE,,0.77
102,1:TRUE,1:TRUE,,0.98
103,1:TRUE,1:TRUE,,0.85
104,1:TRUE,1:TRUE,,0.98
105,1:TRUE,2:FALSE,+,0.53
106,2:FALSE,2:FALSE,,0.66
107,1:TRUE,1:TRUE,,0.81
108,1:TRUE,1:TRUE,,0.94
109,1:TRUE,1:TRUE,,0.83
110,1:TRUE,1:TRUE,,0.91
111,2:FALSE,2:FALSE,,0.63
112,1:TRUE,1:TRUE,,0.89
113,2:FALSE,2:FALSE,,0.87
114,2:FALSE,2:FALSE,,1
115,2:FALSE,2:FALSE,,0.78
116,2:FALSE,2:FALSE,,0.99
117,2:FALSE,2:FALSE,,0.58
118,2:FALSE,2:FALSE,,0.77
119,2:FALSE,2:FALSE,,1
120,2:FALSE,2:FALSE,,0.83
121,2:FALSE,2:FALSE,,0.99
122,2:FALSE,2:FALSE,,1
123,1:TRUE,2:FALSE,+,0.52
124,1:TRUE,1:TRUE,,0.68
125,1:TRUE,2:FALSE,+,0.76
126,1:TRUE,1:TRUE,,0.88
127,1:TRUE,1:TRUE,,0.93
128,1:TRUE,1:TRUE,,0.86
129,2:FALSE,2:FALSE,,0.59
130,1:TRUE,1:TRUE,,0.77
131,1:TRUE,1:TRUE,,0.89
132,1:TRUE,2:FALSE,+,0.7
133,1:TRUE,1:TRUE,,0.77
134,1:TRUE,1:TRUE,,0.79
135,1:TRUE,1:TRUE,,0.77
136,2:FALSE,2:FALSE,,0.79
137,2:FALSE,2:FALSE,,0.58
138,1:TRUE,1:TRUE,,0.98
139,1:TRUE,2:FALSE,+,0.61
140,2:FALSE,2:FALSE,,0.84
141,2:FALSE,2:FALSE,,1
142,1:TRUE,2:FALSE,+,0.82
143,2:FALSE,2:FALSE,,0.74
144,2:FALSE,2:FALSE,,0.71
145,2:FALSE,1:TRUE,+,0.64
146,2:FALSE,2:FALSE,,0.71
147,2:FALSE,1:TRUE,+,0.67
148,2:FALSE,2:FALSE,,0.94
149,2:FALSE,1:TRUE,+,0.66
150,2:FALSE,2:FALSE,,0.8
151,2:FALSE,2:FALSE,,0.75
152,1:TRUE,1:TRUE,,0.97
153,1:TRUE,1:TRUE,,0.86
154,1:TRUE,1:TRUE,,0.78
155,2:FALSE,1:TRUE,+,0.59
156,1:TRUE,1:TRUE,,0.77
