inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,0.959
2,2:FALSE,2:FALSE,,1
3,1:TRUE,1:TRUE,,0.96
4,1:TRUE,1:TRUE,,0.99
5,1:TRUE,1:TRUE,,0.74
6,2:FALSE,2:FALSE,,0.63
7,1:TRUE,1:TRUE,,0.97
8,2:FALSE,2:FALSE,,0.96
9,1:TRUE,1:TRUE,,0.93
10,1:TRUE,1:TRUE,,0.75
11,2:FALSE,2:FALSE,,0.997
12,1:TRUE,1:TRUE,,0.91
13,2:FALSE,1:TRUE,+,0.55
14,1:TRUE,1:TRUE,,0.74
15,1:TRUE,1:TRUE,,0.97
16,1:TRUE,1:TRUE,,0.96
17,2:FALSE,1:TRUE,+,0.56
18,2:FALSE,1:TRUE,+,0.83
19,1:TRUE,1:TRUE,,0.9
20,2:FALSE,1:TRUE,+,0.94
21,2:FALSE,1:TRUE,+,0.9
22,2:FALSE,1:TRUE,+,0.92
23,2:FALSE,1:TRUE,+,0.87
24,1:TRUE,2:FALSE,+,0.64
25,1:TRUE,2:FALSE,+,0.63
26,1:TRUE,1:TRUE,,0.87
27,2:FALSE,1:TRUE,+,0.87
28,2:FALSE,2:FALSE,,0.59
29,1:TRUE,1:TRUE,,1
30,2:FALSE,1:TRUE,+,0.67
31,2:FALSE,1:TRUE,+,0.85
32,2:FALSE,1:TRUE,+,0.68
33,2:FALSE,1:TRUE,+,0.83
34,2:FALSE,1:TRUE,+,0.6
35,2:FALSE,1:TRUE,+,0.63
36,2:FALSE,1:TRUE,+,0.56
37,2:FALSE,1:TRUE,+,0.69
38,2:FALSE,2:FALSE,,0.59
39,1:TRUE,1:TRUE,,0.81
40,2:FALSE,1:TRUE,+,0.61
41,2:FALSE,2:FALSE,,0.98
42,2:FALSE,1:TRUE,+,0.82
43,1:TRUE,1:TRUE,,0.84
44,2:FALSE,2:FALSE,,0.59
45,2:FALSE,1:TRUE,+,0.62
46,1:TRUE,1:TRUE,,0.57
47,2:FALSE,2:FALSE,,0.61
48,1:TRUE,1:TRUE,,0.76
49,2:FALSE,1:TRUE,+,0.93
50,1:TRUE,1:TRUE,,0.82
51,2:FALSE,1:TRUE,+,0.84
52,2:FALSE,1:TRUE,+,0.53
53,2:FALSE,1:TRUE,+,0.69
54,2:FALSE,2:FALSE,,0.68
55,2:FALSE,2:FALSE,,0.71
56,2:FALSE,2:FALSE,,1
57,2:FALSE,2:FALSE,,0.99
58,1:TRUE,1:TRUE,,0.91
