inst#,actual,predicted,error,prediction
1,1:TRUE,1:TRUE,,0.94
2,2:FALSE,2:FALSE,,1
3,2:FALSE,2:FALSE,,0.994
4,2:FALSE,2:FALSE,,0.991
5,2:FALSE,2:FALSE,,1
6,2:FALSE,2:FALSE,,0.944
7,1:TRUE,1:TRUE,,0.72
8,2:FALSE,2:FALSE,,0.76
9,1:TRUE,1:TRUE,,0.88
10,1:TRUE,1:TRUE,,0.89
11,1:TRUE,1:TRUE,,0.92
12,1:TRUE,1:TRUE,,0.62
13,2:FALSE,1:TRUE,+,0.85
14,2:FALSE,1:TRUE,+,0.82
15,2:FALSE,2:FALSE,,0.62
16,2:FALSE,2:FALSE,,1
17,2:FALSE,1:TRUE,+,0.83
18,2:FALSE,2:FALSE,,0.985
19,2:FALSE,2:FALSE,,0.942
20,2:FALSE,2:FALSE,,0.975
21,1:TRUE,1:TRUE,,0.92
22,2:FALSE,2:FALSE,,1
23,2:FALSE,2:FALSE,,1
24,2:FALSE,2:FALSE,,1
25,1:TRUE,1:TRUE,,0.99
26,1:TRUE,1:TRUE,,0.56
27,2:FALSE,2:FALSE,,1
28,2:FALSE,1:TRUE,+,0.88
29,2:FALSE,1:TRUE,+,0.84
30,1:TRUE,1:TRUE,,0.77
31,2:FALSE,1:TRUE,+,0.81
32,1:TRUE,2:FALSE,+,0.62
33,2:FALSE,2:FALSE,,0.6
34,2:FALSE,2:FALSE,,0.96
35,2:FALSE,1:TRUE,+,0.8
36,2:FALSE,1:TRUE,+,0.92
37,1:TRUE,2:FALSE,+,0.64
38,2:FALSE,1:TRUE,+,0.68
39,1:TRUE,2:FALSE,+,0.65
40,2:FALSE,2:FALSE,,0.68
41,2:FALSE,1:TRUE,+,0.55
42,1:TRUE,2:FALSE,+,0.76
43,2:FALSE,2:FALSE,,1
44,2:FALSE,2:FALSE,,1
45,2:FALSE,2:FALSE,,0.979
46,2:FALSE,2:FALSE,,1
47,2:FALSE,2:FALSE,,1
48,2:FALSE,2:FALSE,,1
49,2:FALSE,1:TRUE,+,0.76
50,2:FALSE,1:TRUE,+,0.69
51,2:FALSE,2:FALSE,,0.78
52,2:FALSE,1:TRUE,+,0.91
53,2:FALSE,1:TRUE,+,0.79
54,2:FALSE,1:TRUE,+,0.92
55,2:FALSE,2:FALSE,,0.56
56,1:TRUE,1:TRUE,,0.8
57,1:TRUE,1:TRUE,,0.62
58,1:TRUE,2:FALSE,+,0.823
59,1:TRUE,2:FALSE,+,0.61
60,2:FALSE,2:FALSE,,0.83
61,2:FALSE,2:FALSE,,0.8
62,1:TRUE,2:FALSE,+,0.83
63,2:FALSE,2:FALSE,,0.642
64,2:FALSE,2:FALSE,,0.985
65,2:FALSE,2:FALSE,,0.918
66,2:FALSE,2:FALSE,,0.68
67,2:FALSE,2:FALSE,,0.87
68,2:FALSE,2:FALSE,,1
69,2:FALSE,2:FALSE,,1
70,2:FALSE,1:TRUE,+,0.64
71,2:FALSE,2:FALSE,,1
72,2:FALSE,2:FALSE,,1
73,2:FALSE,2:FALSE,,1
74,2:FALSE,2:FALSE,,1
75,2:FALSE,2:FALSE,,1
76,2:FALSE,2:FALSE,,1
77,2:FALSE,2:FALSE,,1
78,2:FALSE,2:FALSE,,1
79,2:FALSE,2:FALSE,,1
80,2:FALSE,2:FALSE,,1
81,2:FALSE,2:FALSE,,1
82,2:FALSE,2:FALSE,,1
83,1:TRUE,1:TRUE,,0.92
84,2:FALSE,2:FALSE,,1
85,1:TRUE,1:TRUE,,0.87
86,1:TRUE,2:FALSE,+,0.9
87,2:FALSE,1:TRUE,+,0.59
88,2:FALSE,2:FALSE,,0.6
89,2:FALSE,2:FALSE,,0.95
90,2:FALSE,2:FALSE,,0.52
91,2:FALSE,2:FALSE,,0.59
92,2:FALSE,1:TRUE,+,0.71
93,2:FALSE,2:FALSE,,0.76
94,1:TRUE,2:FALSE,+,0.81
95,2:FALSE,2:FALSE,,0.982
96,2:FALSE,2:FALSE,,0.8
97,2:FALSE,2:FALSE,,0.99
98,2:FALSE,2:FALSE,,1
99,2:FALSE,2:FALSE,,0.99
100,2:FALSE,2:FALSE,,1
101,2:FALSE,2:FALSE,,1
102,2:FALSE,2:FALSE,,1
103,2:FALSE,2:FALSE,,1
104,2:FALSE,2:FALSE,,0.88
105,2:FALSE,2:FALSE,,1
106,1:TRUE,1:TRUE,,0.62
107,2:FALSE,2:FALSE,,1
108,2:FALSE,2:FALSE,,1
109,2:FALSE,2:FALSE,,1
110,2:FALSE,2:FALSE,,1
111,2:FALSE,2:FALSE,,1
112,1:TRUE,1:TRUE,,0.54
113,2:FALSE,1:TRUE,+,0.7
