inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,1
2,2:FALSE,2:FALSE,,0.99
3,1:TRUE,1:TRUE,,0.93
4,1:TRUE,1:TRUE,,0.94
5,2:FALSE,2:FALSE,,0.64
6,1:TRUE,1:TRUE,,0.83
7,2:FALSE,1:TRUE,+,0.69
8,2:FALSE,2:FALSE,,0.82
9,1:TRUE,1:TRUE,,0.57
10,1:TRUE,1:TRUE,,0.59
11,2:FALSE,2:FALSE,,1
12,2:FALSE,2:FALSE,,0.84
13,1:TRUE,1:TRUE,,0.88
14,2:FALSE,2:FALSE,,1
15,2:FALSE,1:TRUE,+,0.61
16,1:TRUE,1:TRUE,,0.64
17,1:TRUE,1:TRUE,,1
18,2:FALSE,1:TRUE,+,0.78
19,2:FALSE,2:FALSE,,0.55
20,2:FALSE,1:TRUE,+,0.74
21,1:TRUE,1:TRUE,,0.99
22,1:TRUE,1:TRUE,,0.78
23,1:TRUE,1:TRUE,,0.92
24,2:FALSE,1:TRUE,+,0.83
25,2:FALSE,1:TRUE,+,0.95
26,1:TRUE,1:TRUE,,1
27,1:TRUE,1:TRUE,,0.89
28,1:TRUE,1:TRUE,,0.81
29,2:FALSE,1:TRUE,+,0.61
30,2:FALSE,1:TRUE,+,0.61
31,2:FALSE,2:FALSE,,1
32,2:FALSE,1:TRUE,+,0.813
33,2:FALSE,2:FALSE,,0.96
34,2:FALSE,2:FALSE,,1
35,2:FALSE,2:FALSE,,1
36,2:FALSE,2:FALSE,,0.99
37,2:FALSE,2:FALSE,,1
38,2:FALSE,2:FALSE,,1
39,2:FALSE,2:FALSE,,0.99
40,2:FALSE,2:FALSE,,0.99
41,2:FALSE,2:FALSE,,0.99
42,2:FALSE,2:FALSE,,0.98
43,2:FALSE,2:FALSE,,1
44,2:FALSE,2:FALSE,,1
45,2:FALSE,2:FALSE,,0.99
46,2:FALSE,2:FALSE,,0.99
47,2:FALSE,2:FALSE,,0.99
48,2:FALSE,2:FALSE,,0.61
49,2:FALSE,2:FALSE,,0.57
50,2:FALSE,2:FALSE,,1
51,1:TRUE,1:TRUE,,0.95
52,2:FALSE,2:FALSE,,1
53,2:FALSE,2:FALSE,,0.56
54,2:FALSE,2:FALSE,,0.961
55,1:TRUE,1:TRUE,,0.95
56,2:FALSE,2:FALSE,,1
57,2:FALSE,1:TRUE,+,0.63
58,1:TRUE,1:TRUE,,0.71
59,1:TRUE,1:TRUE,,0.87
60,2:FALSE,2:FALSE,,0.68
61,1:TRUE,1:TRUE,,0.83
62,1:TRUE,1:TRUE,,1
63,2:FALSE,2:FALSE,,0.96
64,2:FALSE,2:FALSE,,0.98
65,2:FALSE,2:FALSE,,0.79
66,2:FALSE,2:FALSE,,0.64
67,1:TRUE,2:FALSE,+,0.77
68,2:FALSE,2:FALSE,,0.87
69,2:FALSE,2:FALSE,,0.6
70,2:FALSE,2:FALSE,,0.6
71,2:FALSE,2:FALSE,,1
72,1:TRUE,1:TRUE,,0.75
73,2:FALSE,2:FALSE,,0.56
74,2:FALSE,2:FALSE,,1
75,2:FALSE,2:FALSE,,0.99
76,2:FALSE,1:TRUE,+,0.63
77,2:FALSE,2:FALSE,,0.971
78,2:FALSE,2:FALSE,,1
79,2:FALSE,2:FALSE,,1
80,2:FALSE,2:FALSE,,1
81,2:FALSE,2:FALSE,,1
82,2:FALSE,2:FALSE,,0.99
83,2:FALSE,2:FALSE,,1
84,2:FALSE,1:TRUE,+,0.53
85,2:FALSE,1:TRUE,+,0.82
86,1:TRUE,1:TRUE,,0.75
87,2:FALSE,1:TRUE,+,0.84
88,2:FALSE,1:TRUE,+,0.56
89,2:FALSE,1:TRUE,+,0.86
90,1:TRUE,1:TRUE,,0.98
91,2:FALSE,1:TRUE,+,0.51
92,2:FALSE,1:TRUE,+,0.8
93,2:FALSE,2:FALSE,,0.65
94,2:FALSE,2:FALSE,,1
95,2:FALSE,2:FALSE,,0.65
96,2:FALSE,1:TRUE,+,0.86
97,2:FALSE,1:TRUE,+,0.89
98,2:FALSE,1:TRUE,+,0.71
99,2:FALSE,1:TRUE,+,0.75
100,1:TRUE,1:TRUE,,0.92
101,2:FALSE,2:FALSE,,0.68
102,2:FALSE,1:TRUE,+,0.97
103,1:TRUE,1:TRUE,,0.97
104,1:TRUE,1:TRUE,,0.84
105,2:FALSE,1:TRUE,+,0.75
106,2:FALSE,2:FALSE,,0.69
107,1:TRUE,1:TRUE,,0.89
108,1:TRUE,1:TRUE,,0.91
109,1:TRUE,1:TRUE,,0.55
110,1:TRUE,1:TRUE,,0.71
111,2:FALSE,1:TRUE,+,0.7
112,1:TRUE,1:TRUE,,0.87
113,1:TRUE,1:TRUE,,0.82
114,2:FALSE,1:TRUE,+,0.58
115,2:FALSE,1:TRUE,+,0.95
116,1:TRUE,1:TRUE,,0.91
117,2:FALSE,1:TRUE,+,0.6
118,1:TRUE,1:TRUE,,0.88
119,2:FALSE,1:TRUE,+,0.71
120,1:TRUE,1:TRUE,,0.81
121,2:FALSE,2:FALSE,,1
122,2:FALSE,1:TRUE,+,0.87
123,1:TRUE,1:TRUE,,1
124,1:TRUE,1:TRUE,,0.84
125,2:FALSE,1:TRUE,+,0.86
126,1:TRUE,1:TRUE,,0.98
127,2:FALSE,1:TRUE,+,0.83
128,1:TRUE,2:FALSE,+,0.69
129,1:TRUE,1:TRUE,,0.88
130,2:FALSE,1:TRUE,+,0.68
131,2:FALSE,1:TRUE,+,0.71
132,1:TRUE,1:TRUE,,0.91
133,1:TRUE,1:TRUE,,0.93
134,1:TRUE,1:TRUE,,1
135,2:FALSE,1:TRUE,+,0.84
136,1:TRUE,1:TRUE,,0.92
137,2:FALSE,2:FALSE,,1
138,2:FALSE,1:TRUE,+,0.54
139,2:FALSE,2:FALSE,,0.55
140,2:FALSE,1:TRUE,+,0.59
141,2:FALSE,2:FALSE,,0.95
142,2:FALSE,2:FALSE,,0.74
143,2:FALSE,1:TRUE,+,0.59
144,1:TRUE,1:TRUE,,0.97
145,1:TRUE,1:TRUE,,0.96
146,2:FALSE,2:FALSE,,1
147,2:FALSE,2:FALSE,,1
148,2:FALSE,2:FALSE,,1
149,2:FALSE,2:FALSE,,1
150,2:FALSE,2:FALSE,,1
151,2:FALSE,2:FALSE,,0.99
152,2:FALSE,2:FALSE,,1
153,2:FALSE,2:FALSE,,0.981
154,2:FALSE,2:FALSE,,1
155,2:FALSE,2:FALSE,,1
156,1:TRUE,1:TRUE,,0.99
157,2:FALSE,2:FALSE,,0.52
158,1:TRUE,1:TRUE,,0.93
159,2:FALSE,2:FALSE,,0.951
160,2:FALSE,2:FALSE,,0.84
161,2:FALSE,2:FALSE,,0.58
162,2:FALSE,1:TRUE,+,0.6
163,1:TRUE,1:TRUE,,0.8
164,2:FALSE,1:TRUE,+,0.92
165,1:TRUE,1:TRUE,,0.883
166,1:TRUE,2:FALSE,+,0.69
167,2:FALSE,2:FALSE,,0.97
168,2:FALSE,2:FALSE,,0.969
169,2:FALSE,2:FALSE,,0.986
170,2:FALSE,2:FALSE,,0.98
171,2:FALSE,2:FALSE,,0.962
172,2:FALSE,2:FALSE,,0.98
173,2:FALSE,2:FALSE,,1
174,2:FALSE,1:TRUE,+,0.7
175,2:FALSE,2:FALSE,,0.884
176,2:FALSE,2:FALSE,,0.9
177,2:FALSE,2:FALSE,,0.99
178,2:FALSE,2:FALSE,,0.974
179,2:FALSE,2:FALSE,,1
180,2:FALSE,2:FALSE,,1
181,2:FALSE,2:FALSE,,1
182,1:TRUE,1:TRUE,,0.95
183,2:FALSE,2:FALSE,,1
184,2:FALSE,2:FALSE,,1
185,2:FALSE,2:FALSE,,1
186,2:FALSE,2:FALSE,,1
187,1:TRUE,1:TRUE,,0.83
188,2:FALSE,2:FALSE,,1
189,2:FALSE,2:FALSE,,1
190,2:FALSE,2:FALSE,,1
191,1:TRUE,1:TRUE,,0.85
192,1:TRUE,1:TRUE,,0.72
193,1:TRUE,1:TRUE,,0.98
194,1:TRUE,1:TRUE,,0.84
195,1:TRUE,1:TRUE,,0.58
196,1:TRUE,1:TRUE,,0.66
197,1:TRUE,1:TRUE,,0.98
198,1:TRUE,1:TRUE,,0.9
199,2:FALSE,2:FALSE,,0.99
200,2:FALSE,2:FALSE,,0.74
201,2:FALSE,1:TRUE,+,0.63
202,2:FALSE,1:TRUE,+,0.63
203,2:FALSE,1:TRUE,+,0.93
204,2:FALSE,2:FALSE,,0.967
205,2:FALSE,2:FALSE,,0.99
206,2:FALSE,2:FALSE,,0.934
207,2:FALSE,2:FALSE,,0.941
208,2:FALSE,2:FALSE,,0.955
209,2:FALSE,2:FALSE,,0.952
210,2:FALSE,2:FALSE,,0.996
211,2:FALSE,2:FALSE,,0.962
212,2:FALSE,2:FALSE,,0.997
213,1:TRUE,1:TRUE,,0.96
214,2:FALSE,2:FALSE,,0.97
215,1:TRUE,1:TRUE,,0.89
216,2:FALSE,1:TRUE,+,0.58
217,1:TRUE,1:TRUE,,0.97
218,2:FALSE,2:FALSE,,1
219,2:FALSE,1:TRUE,+,0.83
220,2:FALSE,2:FALSE,,0.61
221,2:FALSE,2:FALSE,,0.58
222,2:FALSE,1:TRUE,+,0.5
223,2:FALSE,2:FALSE,,0.957
224,2:FALSE,2:FALSE,,1
225,2:FALSE,2:FALSE,,0.99
226,2:FALSE,2:FALSE,,1
227,1:TRUE,1:TRUE,,0.6
228,2:FALSE,1:TRUE,+,0.99
229,1:TRUE,1:TRUE,,0.7
230,2:FALSE,2:FALSE,,0.54
231,2:FALSE,1:TRUE,+,0.62
232,1:TRUE,1:TRUE,,0.87
233,1:TRUE,1:TRUE,,0.53
234,2:FALSE,1:TRUE,+,0.5
235,2:FALSE,2:FALSE,,0.91
236,2:FALSE,1:TRUE,+,0.58
237,2:FALSE,1:TRUE,+,0.8
238,2:FALSE,1:TRUE,+,0.91
239,2:FALSE,2:FALSE,,0.59
240,1:TRUE,1:TRUE,,0.81
241,2:FALSE,2:FALSE,,0.77
242,2:FALSE,2:FALSE,,0.54
243,2:FALSE,2:FALSE,,0.57
244,2:FALSE,2:FALSE,,0.83
245,1:TRUE,1:TRUE,,0.79
246,1:TRUE,2:FALSE,+,0.83
247,2:FALSE,2:FALSE,,1
248,2:FALSE,2:FALSE,,1
249,1:TRUE,1:TRUE,,0.56
250,2:FALSE,2:FALSE,,0.99
251,2:FALSE,1:TRUE,+,0.74
252,2:FALSE,2:FALSE,,0.65
253,2:FALSE,1:TRUE,+,0.73
254,2:FALSE,2:FALSE,,0.74
255,2:FALSE,2:FALSE,,1
256,2:FALSE,2:FALSE,,0.66
257,2:FALSE,2:FALSE,,0.83
258,2:FALSE,1:TRUE,+,0.62
259,1:TRUE,1:TRUE,,0.5
260,1:TRUE,2:FALSE,+,0.75
261,2:FALSE,1:TRUE,+,0.55
262,2:FALSE,1:TRUE,+,0.76
263,2:FALSE,2:FALSE,,0.69
264,2:FALSE,1:TRUE,+,0.88
265,2:FALSE,1:TRUE,+,0.78
266,2:FALSE,2:FALSE,,0.65
267,2:FALSE,2:FALSE,,0.68
268,2:FALSE,1:TRUE,+,0.68
269,2:FALSE,1:TRUE,+,0.74
270,2:FALSE,1:TRUE,+,0.58
271,2:FALSE,1:TRUE,+,0.86
272,1:TRUE,2:FALSE,+,0.51
273,1:TRUE,1:TRUE,,0.95
274,2:FALSE,1:TRUE,+,0.67
275,2:FALSE,1:TRUE,+,0.5
276,1:TRUE,1:TRUE,,0.71
277,2:FALSE,2:FALSE,,0.73
278,2:FALSE,1:TRUE,+,0.71
279,2:FALSE,1:TRUE,+,0.64
280,2:FALSE,1:TRUE,+,0.81
281,2:FALSE,2:FALSE,,0.72
282,2:FALSE,1:TRUE,+,0.73
283,2:FALSE,1:TRUE,+,0.75
284,2:FALSE,1:TRUE,+,0.76
285,2:FALSE,1:TRUE,+,0.53
286,1:TRUE,1:TRUE,,0.92
287,2:FALSE,1:TRUE,+,0.89
288,1:TRUE,1:TRUE,,0.89
289,2:FALSE,2:FALSE,,0.7
290,1:TRUE,1:TRUE,,0.89
291,2:FALSE,1:TRUE,+,0.87
292,2:FALSE,1:TRUE,+,0.92
293,2:FALSE,1:TRUE,+,0.88
294,2:FALSE,2:FALSE,,0.55
295,2:FALSE,1:TRUE,+,0.61
296,1:TRUE,1:TRUE,,0.72
297,2:FALSE,1:TRUE,+,0.516
298,2:FALSE,1:TRUE,+,0.521
299,2:FALSE,2:FALSE,,0.833
300,1:TRUE,1:TRUE,,0.938
301,2:FALSE,1:TRUE,+,0.616
302,2:FALSE,2:FALSE,,0.607
303,2:FALSE,1:TRUE,+,0.741
304,1:TRUE,1:TRUE,,0.81
305,1:TRUE,1:TRUE,,0.92
306,1:TRUE,1:TRUE,,0.89
307,1:TRUE,1:TRUE,,0.77
308,1:TRUE,1:TRUE,,0.86
309,1:TRUE,1:TRUE,,0.92
310,2:FALSE,2:FALSE,,1
311,2:FALSE,1:TRUE,+,0.74
