inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,1
2,2:FALSE,2:FALSE,,1
3,1:TRUE,1:TRUE,,1
4,1:TRUE,1:TRUE,,1
5,2:FALSE,1:TRUE,+,1
6,1:TRUE,1:TRUE,,1
7,2:FALSE,1:TRUE,+,1
8,2:FALSE,1:TRUE,+,1
9,1:TRUE,1:TRUE,,1
10,1:TRUE,1:TRUE,,1
11,2:FALSE,2:FALSE,,1
12,2:FALSE,2:FALSE,,1
13,1:TRUE,1:TRUE,,1
14,2:FALSE,2:FALSE,,1
15,2:FALSE,1:TRUE,+,1
16,1:TRUE,1:TRUE,,1
17,1:TRUE,1:TRUE,,1
18,2:FALSE,1:TRUE,+,1
19,2:FALSE,1:TRUE,+,1
20,2:FALSE,1:TRUE,+,1
21,1:TRUE,1:TRUE,,1
22,1:TRUE,1:TRUE,,1
23,1:TRUE,1:TRUE,,1
24,2:FALSE,1:TRUE,+,1
25,2:FALSE,1:TRUE,+,1
26,1:TRUE,1:TRUE,,1
27,1:TRUE,1:TRUE,,1
28,1:TRUE,1:TRUE,,1
29,2:FALSE,1:TRUE,+,1
30,2:FALSE,1:TRUE,+,1
31,2:FALSE,2:FALSE,,1
32,2:FALSE,1:TRUE,+,1
33,2:FALSE,2:FALSE,,1
34,2:FALSE,2:FALSE,,1
35,2:FALSE,2:FALSE,,1
36,2:FALSE,2:FALSE,,1
37,2:FALSE,2:FALSE,,1
38,2:FALSE,2:FALSE,,1
39,2:FALSE,2:FALSE,,1
40,2:FALSE,2:FALSE,,1
41,2:FALSE,2:FALSE,,1
42,2:FALSE,2:FALSE,,1
43,2:FALSE,2:FALSE,,1
44,2:FALSE,2:FALSE,,1
45,2:FALSE,2:FALSE,,1
46,2:FALSE,2:FALSE,,1
47,2:FALSE,2:FALSE,,1
48,2:FALSE,1:TRUE,+,1
49,2:FALSE,1:TRUE,+,1
50,2:FALSE,2:FALSE,,1
51,1:TRUE,1:TRUE,,1
52,2:FALSE,2:FALSE,,1
53,2:FALSE,1:TRUE,+,1
54,2:FALSE,2:FALSE,,1
55,1:TRUE,1:TRUE,,1
56,2:FALSE,2:FALSE,,1
57,2:FALSE,1:TRUE,+,1
58,1:TRUE,1:TRUE,,1
59,1:TRUE,1:TRUE,,1
60,2:FALSE,1:TRUE,+,1
61,1:TRUE,1:TRUE,,1
62,1:TRUE,1:TRUE,,1
63,2:FALSE,2:FALSE,,1
64,2:FALSE,2:FALSE,,1
65,2:FALSE,2:FALSE,,1
66,2:FALSE,1:TRUE,+,1
67,1:TRUE,1:TRUE,,1
68,2:FALSE,2:FALSE,,1
69,2:FALSE,1:TRUE,+,1
70,2:FALSE,1:TRUE,+,1
71,2:FALSE,2:FALSE,,1
72,1:TRUE,1:TRUE,,1
73,2:FALSE,1:TRUE,+,1
74,2:FALSE,2:FALSE,,1
75,2:FALSE,2:FALSE,,1
76,2:FALSE,1:TRUE,+,1
77,2:FALSE,2:FALSE,,1
78,2:FALSE,2:FALSE,,1
79,2:FALSE,2:FALSE,,1
80,2:FALSE,2:FALSE,,1
81,2:FALSE,2:FALSE,,1
82,2:FALSE,2:FALSE,,1
83,2:FALSE,2:FALSE,,1
84,2:FALSE,1:TRUE,+,1
85,2:FALSE,1:TRUE,+,1
86,1:TRUE,1:TRUE,,1
87,2:FALSE,1:TRUE,+,1
88,2:FALSE,1:TRUE,+,1
89,2:FALSE,1:TRUE,+,1
90,1:TRUE,1:TRUE,,1
91,2:FALSE,1:TRUE,+,1
92,2:FALSE,1:TRUE,+,1
93,2:FALSE,1:TRUE,+,1
94,2:FALSE,2:FALSE,,1
95,2:FALSE,1:TRUE,+,1
96,2:FALSE,1:TRUE,+,1
97,2:FALSE,1:TRUE,+,1
98,2:FALSE,1:TRUE,+,1
99,2:FALSE,1:TRUE,+,1
100,1:TRUE,1:TRUE,,1
101,2:FALSE,1:TRUE,+,1
102,2:FALSE,1:TRUE,+,1
103,1:TRUE,1:TRUE,,1
104,1:TRUE,1:TRUE,,1
105,2:FALSE,1:TRUE,+,1
106,2:FALSE,1:TRUE,+,1
107,1:TRUE,1:TRUE,,1
108,1:TRUE,1:TRUE,,1
109,1:TRUE,1:TRUE,,1
110,1:TRUE,1:TRUE,,1
111,2:FALSE,1:TRUE,+,1
112,1:TRUE,1:TRUE,,1
113,1:TRUE,1:TRUE,,1
114,2:FALSE,1:TRUE,+,1
115,2:FALSE,1:TRUE,+,1
116,1:TRUE,1:TRUE,,1
117,2:FALSE,1:TRUE,+,1
118,1:TRUE,1:TRUE,,1
119,2:FALSE,1:TRUE,+,1
120,1:TRUE,1:TRUE,,1
