inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,0.996
2,2:FALSE,2:FALSE,,0.98
3,2:FALSE,2:FALSE,,1
4,2:FALSE,2:FALSE,,1
5,2:FALSE,2:FALSE,,1
6,1:TRUE,1:TRUE,,0.94
7,2:FALSE,2:FALSE,,1
8,2:FALSE,2:FALSE,,1
9,2:FALSE,2:FALSE,,1
10,1:TRUE,1:TRUE,,0.86
11,2:FALSE,2:FALSE,,1
12,1:TRUE,1:TRUE,,0.95
13,1:TRUE,1:TRUE,,1
14,1:TRUE,1:TRUE,,0.95
15,2:FALSE,2:FALSE,,1
16,2:FALSE,1:TRUE,+,1
17,2:FALSE,1:TRUE,+,0.58
18,1:TRUE,1:TRUE,,0.72
19,1:TRUE,1:TRUE,,0.96
20,2:FALSE,2:FALSE,,0.99
21,2:FALSE,2:FALSE,,0.62
22,2:FALSE,1:TRUE,+,0.51
23,2:FALSE,1:TRUE,+,0.56
24,1:TRUE,1:TRUE,,0.82
25,2:FALSE,1:TRUE,+,0.78
26,1:TRUE,1:TRUE,,0.93
27,2:FALSE,1:TRUE,+,0.73
28,2:FALSE,2:FALSE,,0.55
29,2:FALSE,2:FALSE,,0.82
30,2:FALSE,2:FALSE,,0.8
31,2:FALSE,2:FALSE,,1
32,2:FALSE,1:TRUE,+,0.58
33,2:FALSE,2:FALSE,,1
34,2:FALSE,1:TRUE,+,0.54
35,2:FALSE,1:TRUE,+,0.82
36,1:TRUE,1:TRUE,,0.75
37,2:FALSE,2:FALSE,,0.64
38,2:FALSE,1:TRUE,+,0.55
39,1:TRUE,1:TRUE,,0.7
40,1:TRUE,2:FALSE,+,0.67
41,2:FALSE,1:TRUE,+,0.9
42,2:FALSE,2:FALSE,,0.9
43,1:TRUE,1:TRUE,,0.53
44,2:FALSE,1:TRUE,+,0.85
45,1:TRUE,1:TRUE,,0.9
46,2:FALSE,2:FALSE,,0.9
47,1:TRUE,1:TRUE,,0.91
48,2:FALSE,2:FALSE,,0.77
49,2:FALSE,1:TRUE,+,0.74
50,2:FALSE,1:TRUE,+,0.74
51,2:FALSE,2:FALSE,,0.54
52,1:TRUE,1:TRUE,,0.62
53,2:FALSE,2:FALSE,,0.6
54,1:TRUE,1:TRUE,,1
55,2:FALSE,2:FALSE,,0.54
56,2:FALSE,2:FALSE,,0.51
57,2:FALSE,2:FALSE,,0.83
58,2:FALSE,2:FALSE,,0.56
59,2:FALSE,1:TRUE,+,0.64
60,1:TRUE,1:TRUE,,0.74
61,1:TRUE,1:TRUE,,0.96
62,1:TRUE,1:TRUE,,0.8
63,2:FALSE,1:TRUE,+,0.93
64,1:TRUE,1:TRUE,,0.78
65,2:FALSE,2:FALSE,,0.7
66,2:FALSE,1:TRUE,+,0.55
67,2:FALSE,2:FALSE,,0.77
68,1:TRUE,2:FALSE,+,0.53
69,2:FALSE,2:FALSE,,0.87
70,2:FALSE,2:FALSE,,1
71,2:FALSE,2:FALSE,,0.98
72,2:FALSE,1:TRUE,+,0.56
73,2:FALSE,2:FALSE,,0.72
74,2:FALSE,2:FALSE,,0.59
75,2:FALSE,1:TRUE,+,0.58
76,2:FALSE,2:FALSE,,0.61
77,2:FALSE,1:TRUE,+,0.5
78,2:FALSE,1:TRUE,+,0.57
79,2:FALSE,2:FALSE,,0.77
80,2:FALSE,2:FALSE,,0.64
81,2:FALSE,2:FALSE,,0.77
82,1:TRUE,1:TRUE,,0.93
83,1:TRUE,1:TRUE,,0.84
84,2:FALSE,2:FALSE,,0.84
85,2:FALSE,2:FALSE,,0.57
86,2:FALSE,2:FALSE,,0.74
87,2:FALSE,1:TRUE,+,0.69
88,2:FALSE,2:FALSE,,0.66
89,2:FALSE,1:TRUE,+,0.96
90,1:TRUE,1:TRUE,,0.9
91,2:FALSE,1:TRUE,+,0.54
92,2:FALSE,2:FALSE,,0.81
93,2:FALSE,1:TRUE,+,0.72
94,2:FALSE,1:TRUE,+,0.6
95,1:TRUE,1:TRUE,,0.72
96,2:FALSE,2:FALSE,,0.935
97,2:FALSE,2:FALSE,,0.946
98,2:FALSE,2:FALSE,,1
99,2:FALSE,2:FALSE,,0.991
100,2:FALSE,2:FALSE,,0.996
101,2:FALSE,2:FALSE,,0.968
102,1:TRUE,1:TRUE,,0.95
103,2:FALSE,2:FALSE,,0.955
104,1:TRUE,1:TRUE,,0.9
105,1:TRUE,1:TRUE,,1
106,2:FALSE,1:TRUE,+,0.58
107,2:FALSE,1:TRUE,+,0.52
108,2:FALSE,2:FALSE,,0.59
109,1:TRUE,1:TRUE,,0.65
110,2:FALSE,2:FALSE,,0.9
111,2:FALSE,2:FALSE,,0.95
112,2:FALSE,2:FALSE,,0.61
113,1:TRUE,2:FALSE,+,0.59
114,2:FALSE,2:FALSE,,0.97
115,1:TRUE,1:TRUE,,0.98
116,1:TRUE,1:TRUE,,0.99
117,2:FALSE,1:TRUE,+,0.51
118,2:FALSE,2:FALSE,,0.51
119,2:FALSE,1:TRUE,+,0.86
120,2:FALSE,1:TRUE,+,0.98
121,2:FALSE,1:TRUE,+,0.98
122,1:TRUE,1:TRUE,,0.96
123,2:FALSE,1:TRUE,+,0.74
124,1:TRUE,1:TRUE,,0.94
125,1:TRUE,1:TRUE,,0.97
126,2:FALSE,2:FALSE,,0.72
127,2:FALSE,2:FALSE,,0.65
128,1:TRUE,1:TRUE,,0.79
129,1:TRUE,1:TRUE,,0.69
130,2:FALSE,1:TRUE,+,0.69
131,1:TRUE,1:TRUE,,0.82
132,1:TRUE,1:TRUE,,0.78
133,2:FALSE,1:TRUE,+,0.75
134,1:TRUE,1:TRUE,,0.62
135,1:TRUE,1:TRUE,,0.99
136,2:FALSE,1:TRUE,+,0.7
137,2:FALSE,1:TRUE,+,0.73
138,2:FALSE,2:FALSE,,0.82
139,2:FALSE,1:TRUE,+,0.62
140,2:FALSE,2:FALSE,,0.57
141,1:TRUE,1:TRUE,,0.81
142,1:TRUE,1:TRUE,,0.99
143,1:TRUE,1:TRUE,,0.77
144,1:TRUE,1:TRUE,,0.53
145,1:TRUE,1:TRUE,,0.81
146,1:TRUE,1:TRUE,,0.96
147,1:TRUE,1:TRUE,,0.94
148,1:TRUE,1:TRUE,,0.74
149,1:TRUE,1:TRUE,,0.91
150,1:TRUE,1:TRUE,,0.9
151,1:TRUE,1:TRUE,,0.84
152,1:TRUE,1:TRUE,,0.65
153,1:TRUE,1:TRUE,,0.8
154,1:TRUE,1:TRUE,,0.91
155,2:FALSE,2:FALSE,,0.73
156,2:FALSE,2:FALSE,,0.54
157,2:FALSE,2:FALSE,,0.88
158,2:FALSE,1:TRUE,+,0.53
159,1:TRUE,1:TRUE,,0.77
