inst#,actual,predicted,error,prediction
1,1:TRUE,1:TRUE,,1
2,1:TRUE,1:TRUE,,1
3,1:TRUE,1:TRUE,,1
4,1:TRUE,1:TRUE,,1
5,1:TRUE,1:TRUE,,1
6,1:TRUE,1:TRUE,,1
7,2:FALSE,1:TRUE,+,1
8,1:TRUE,1:TRUE,,1
9,1:TRUE,1:TRUE,,1
10,1:TRUE,1:TRUE,,1
11,2:FALSE,1:TRUE,+,1
12,1:TRUE,1:TRUE,,1
13,1:TRUE,1:TRUE,,1
14,1:TRUE,1:TRUE,,1
15,1:TRUE,1:TRUE,,1
16,2:FALSE,1:TRUE,+,1
17,1:TRUE,1:TRUE,,1
18,2:FALSE,1:TRUE,+,1
19,1:TRUE,1:TRUE,,1
20,1:TRUE,1:TRUE,,1
21,1:TRUE,1:TRUE,,1
22,2:FALSE,1:TRUE,+,1
23,1:TRUE,2:FALSE,+,1
24,2:FALSE,1:TRUE,+,1
25,2:FALSE,2:FALSE,,1
26,2:FALSE,1:TRUE,+,1
27,1:TRUE,1:TRUE,,1
28,2:FALSE,1:TRUE,+,1
29,2:FALSE,2:FALSE,,1
30,2:FALSE,1:TRUE,+,1
31,2:FALSE,2:FALSE,,1
32,2:FALSE,1:TRUE,+,1
33,2:FALSE,1:TRUE,+,1
34,2:FALSE,1:TRUE,+,1
35,2:FALSE,2:FALSE,,1
36,2:FALSE,2:FALSE,,1
37,1:TRUE,1:TRUE,,1
38,2:FALSE,1:TRUE,+,1
39,2:FALSE,2:FALSE,,1
40,2:FALSE,1:TRUE,+,1
41,2:FALSE,2:FALSE,,1
42,2:FALSE,2:FALSE,,1
43,2:FALSE,1:TRUE,+,1
44,2:FALSE,1:TRUE,+,1
45,2:FALSE,1:TRUE,+,1
46,2:FALSE,2:FALSE,,1
47,2:FALSE,1:TRUE,+,1
48,1:TRUE,1:TRUE,,1
49,2:FALSE,2:FALSE,,1
50,2:FALSE,1:TRUE,+,1
51,1:TRUE,1:TRUE,,1
52,2:FALSE,2:FALSE,,1
53,1:TRUE,1:TRUE,,1
54,2:FALSE,1:TRUE,+,1
55,2:FALSE,1:TRUE,+,1
56,2:FALSE,2:FALSE,,1
57,2:FALSE,2:FALSE,,1
58,1:TRUE,1:TRUE,,1
59,1:TRUE,1:TRUE,,1
60,1:TRUE,1:TRUE,,1
