inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,1
2,2:FALSE,2:FALSE,,1
3,2:FALSE,2:FALSE,,1
4,2:FALSE,2:FALSE,,0.96
5,2:FALSE,2:FALSE,,1
6,2:FALSE,2:FALSE,,1
7,2:FALSE,2:FALSE,,1
8,2:FALSE,2:FALSE,,1
9,2:FALSE,2:FALSE,,0.953
10,2:FALSE,2:FALSE,,0.943
11,1:TRUE,1:TRUE,,0.91
12,2:FALSE,2:FALSE,,1
13,1:TRUE,2:FALSE,+,0.72
14,2:FALSE,2:FALSE,,0.95
15,2:FALSE,2:FALSE,,0.98
16,2:FALSE,2:FALSE,,1
17,1:TRUE,1:TRUE,,0.61
18,2:FALSE,2:FALSE,,0.995
19,2:FALSE,2:FALSE,,1
20,2:FALSE,2:FALSE,,1
21,2:FALSE,2:FALSE,,0.996
22,2:FALSE,2:FALSE,,1
23,2:FALSE,2:FALSE,,1
24,2:FALSE,2:FALSE,,1
25,2:FALSE,2:FALSE,,0.986
26,2:FALSE,2:FALSE,,1
27,1:TRUE,1:TRUE,,0.824
28,1:TRUE,1:TRUE,,0.87
29,1:TRUE,1:TRUE,,0.824
30,1:TRUE,1:TRUE,,0.95
31,2:FALSE,1:TRUE,+,0.73
32,2:FALSE,2:FALSE,,1
33,1:TRUE,1:TRUE,,0.83
34,2:FALSE,2:FALSE,,0.65
35,1:TRUE,1:TRUE,,0.99
36,1:TRUE,1:TRUE,,0.89
37,2:FALSE,1:TRUE,+,0.65
38,2:FALSE,2:FALSE,,1
39,2:FALSE,1:TRUE,+,0.89
40,1:TRUE,2:FALSE,+,0.57
41,1:TRUE,2:FALSE,+,0.71
42,2:FALSE,2:FALSE,,0.87
43,2:FALSE,1:TRUE,+,0.82
44,1:TRUE,1:TRUE,,0.56
45,2:FALSE,2:FALSE,,0.9
46,2:FALSE,2:FALSE,,0.69
47,2:FALSE,2:FALSE,,0.77
48,1:TRUE,1:TRUE,,0.61
49,2:FALSE,1:TRUE,+,0.52
50,2:FALSE,1:TRUE,+,0.94
51,2:FALSE,2:FALSE,,0.83
52,2:FALSE,2:FALSE,,0.98
53,1:TRUE,1:TRUE,,0.93
54,1:TRUE,1:TRUE,,0.64
55,1:TRUE,1:TRUE,,0.79
56,1:TRUE,1:TRUE,,0.55
57,1:TRUE,1:TRUE,,0.93
58,1:TRUE,1:TRUE,,0.9
59,2:FALSE,2:FALSE,,1
60,1:TRUE,1:TRUE,,0.95
61,1:TRUE,2:FALSE,+,0.58
62,2:FALSE,2:FALSE,,0.96
63,2:FALSE,2:FALSE,,0.93
64,2:FALSE,2:FALSE,,0.79
65,2:FALSE,2:FALSE,,1
66,1:TRUE,1:TRUE,,0.6
67,2:FALSE,1:TRUE,+,0.56
68,2:FALSE,2:FALSE,,0.74
69,1:TRUE,1:TRUE,,0.87
70,1:TRUE,1:TRUE,,0.77
71,1:TRUE,1:TRUE,,0.66
72,1:TRUE,1:TRUE,,0.69
73,2:FALSE,2:FALSE,,0.55
74,2:FALSE,1:TRUE,+,0.9
75,2:FALSE,2:FALSE,,0.8
76,2:FALSE,2:FALSE,,0.69
77,1:TRUE,1:TRUE,,0.54
78,1:TRUE,1:TRUE,,0.68
79,1:TRUE,1:TRUE,,0.92
80,2:FALSE,2:FALSE,,1
81,2:FALSE,2:FALSE,,1
82,2:FALSE,2:FALSE,,1
83,2:FALSE,2:FALSE,,1
84,2:FALSE,2:FALSE,,1
85,2:FALSE,2:FALSE,,1
86,2:FALSE,2:FALSE,,1
87,2:FALSE,2:FALSE,,1
88,2:FALSE,2:FALSE,,1
89,2:FALSE,2:FALSE,,1
90,2:FALSE,2:FALSE,,1
91,2:FALSE,2:FALSE,,0.82
92,2:FALSE,2:FALSE,,1
93,2:FALSE,2:FALSE,,1
94,2:FALSE,2:FALSE,,0.52
95,2:FALSE,2:FALSE,,0.76
96,2:FALSE,2:FALSE,,0.93
97,2:FALSE,2:FALSE,,0.7
98,2:FALSE,2:FALSE,,0.91
99,1:TRUE,1:TRUE,,0.81
100,2:FALSE,2:FALSE,,0.92
101,1:TRUE,2:FALSE,+,0.65
102,2:FALSE,2:FALSE,,0.83
103,1:TRUE,2:FALSE,+,0.55
104,2:FALSE,2:FALSE,,0.52
105,1:TRUE,1:TRUE,,0.84
106,1:TRUE,1:TRUE,,1
107,2:FALSE,1:TRUE,+,0.7
108,2:FALSE,2:FALSE,,0.8
109,2:FALSE,2:FALSE,,1
110,2:FALSE,2:FALSE,,0.52
111,1:TRUE,1:TRUE,,0.92
112,2:FALSE,2:FALSE,,1
113,1:TRUE,1:TRUE,,0.99
