inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,1
2,2:FALSE,2:FALSE,,1
3,2:FALSE,2:FALSE,,1
4,2:FALSE,2:FALSE,,1
5,2:FALSE,2:FALSE,,1
6,2:FALSE,2:FALSE,,1
7,2:FALSE,2:FALSE,,1
8,2:FALSE,2:FALSE,,1
9,2:FALSE,2:FALSE,,1
10,2:FALSE,2:FALSE,,1
11,2:FALSE,2:FALSE,,1
12,2:FALSE,2:FALSE,,1
13,2:FALSE,2:FALSE,,1
14,2:FALSE,2:FALSE,,1
15,2:FALSE,2:FALSE,,1
16,2:FALSE,1:TRUE,+,0.6
17,2:FALSE,1:TRUE,+,0.53
18,1:TRUE,2:FALSE,+,0.64
19,1:TRUE,1:TRUE,,0.93
20,2:FALSE,2:FALSE,,0.88
21,1:TRUE,1:TRUE,,0.88
22,1:TRUE,1:TRUE,,0.98
23,2:FALSE,2:FALSE,,0.81
24,2:FALSE,2:FALSE,,0.81
25,1:TRUE,1:TRUE,,0.87
26,1:TRUE,1:TRUE,,0.71
27,2:FALSE,2:FALSE,,0.83
28,2:FALSE,1:TRUE,+,0.57
29,1:TRUE,1:TRUE,,0.97
30,2:FALSE,2:FALSE,,0.76
31,1:TRUE,1:TRUE,,1
32,1:TRUE,1:TRUE,,0.84
33,2:FALSE,1:TRUE,+,0.92
34,2:FALSE,1:TRUE,+,0.86
35,2:FALSE,1:TRUE,+,0.68
36,2:FALSE,2:FALSE,,0.72
37,2:FALSE,2:FALSE,,0.67
38,1:TRUE,1:TRUE,,0.98
39,2:FALSE,2:FALSE,,0.51
40,2:FALSE,1:TRUE,+,0.68
41,2:FALSE,1:TRUE,+,0.73
42,2:FALSE,1:TRUE,+,0.83
43,2:FALSE,1:TRUE,+,0.65
44,1:TRUE,1:TRUE,,0.7
45,1:TRUE,1:TRUE,,1
46,1:TRUE,1:TRUE,,1
47,1:TRUE,1:TRUE,,0.68
48,1:TRUE,1:TRUE,,0.86
49,1:TRUE,1:TRUE,,0.84
50,1:TRUE,1:TRUE,,0.98
51,2:FALSE,2:FALSE,,1
52,2:FALSE,2:FALSE,,0.99
53,2:FALSE,2:FALSE,,1
54,1:TRUE,1:TRUE,,0.69
55,2:FALSE,1:TRUE,+,0.53
56,1:TRUE,1:TRUE,,0.97
57,1:TRUE,1:TRUE,,0.85
58,1:TRUE,1:TRUE,,0.98
59,1:TRUE,1:TRUE,,0.95
60,2:FALSE,1:TRUE,+,0.59
61,2:FALSE,1:TRUE,+,0.84
62,2:FALSE,1:TRUE,+,0.91
63,2:FALSE,1:TRUE,+,0.81
64,2:FALSE,1:TRUE,+,0.63
65,1:TRUE,1:TRUE,,0.91
66,2:FALSE,1:TRUE,+,0.59
67,1:TRUE,1:TRUE,,1
68,2:FALSE,2:FALSE,,0.61
69,1:TRUE,1:TRUE,,0.51
70,2:FALSE,2:FALSE,,0.7
71,2:FALSE,2:FALSE,,0.998
72,1:TRUE,1:TRUE,,0.89
73,2:FALSE,2:FALSE,,0.76
74,2:FALSE,2:FALSE,,1
75,2:FALSE,1:TRUE,+,0.76
76,1:TRUE,1:TRUE,,0.78
77,2:FALSE,1:TRUE,+,0.73
78,1:TRUE,1:TRUE,,0.74
79,2:FALSE,1:TRUE,+,0.62
80,1:TRUE,1:TRUE,,0.82
81,2:FALSE,1:TRUE,+,0.91
82,2:FALSE,2:FALSE,,0.69
83,1:TRUE,1:TRUE,,1
84,2:FALSE,1:TRUE,+,0.78
85,2:FALSE,1:TRUE,+,0.91
86,2:FALSE,1:TRUE,+,0.58
87,2:FALSE,1:TRUE,+,0.57
88,2:FALSE,1:TRUE,+,0.71
89,2:FALSE,2:FALSE,,0.64
90,1:TRUE,1:TRUE,,0.81
91,2:FALSE,2:FALSE,,0.78
92,1:TRUE,1:TRUE,,0.91
93,2:FALSE,2:FALSE,,0.64
94,1:TRUE,2:FALSE,+,0.59
95,1:TRUE,2:FALSE,+,0.75
96,1:TRUE,1:TRUE,,0.65
97,2:FALSE,2:FALSE,,0.81
98,1:TRUE,1:TRUE,,0.78
99,1:TRUE,1:TRUE,,0.79
100,2:FALSE,1:TRUE,+,0.74
101,2:FALSE,2:FALSE,,0.61
102,2:FALSE,1:TRUE,+,0.96
103,2:FALSE,1:TRUE,+,0.9
104,2:FALSE,1:TRUE,+,0.6
105,2:FALSE,2:FALSE,,0.8
106,2:FALSE,2:FALSE,,0.988
107,2:FALSE,2:FALSE,,0.69
108,1:TRUE,1:TRUE,,0.8
109,1:TRUE,1:TRUE,,0.89
110,1:TRUE,1:TRUE,,0.94
111,2:FALSE,1:TRUE,+,0.56
