inst#,actual,predicted,error,prediction
1,1:TRUE,1:TRUE,,1
2,1:TRUE,1:TRUE,,1
3,1:TRUE,1:TRUE,,0.99
4,1:TRUE,1:TRUE,,0.98
5,1:TRUE,1:TRUE,,1
6,1:TRUE,1:TRUE,,0.95
7,1:TRUE,1:TRUE,,0.91
8,2:FALSE,2:FALSE,,0.8
9,1:TRUE,1:TRUE,,0.96
10,2:FALSE,1:TRUE,+,0.78
11,1:TRUE,1:TRUE,,1
12,1:TRUE,1:TRUE,,0.98
13,1:TRUE,1:TRUE,,0.99
14,1:TRUE,1:TRUE,,0.92
15,1:TRUE,1:TRUE,,0.88
16,2:FALSE,1:TRUE,+,0.73
17,2:FALSE,2:FALSE,,0.51
18,1:TRUE,1:TRUE,,0.98
19,1:TRUE,1:TRUE,,0.8
20,1:TRUE,1:TRUE,,0.74
21,1:TRUE,1:TRUE,,0.85
22,1:TRUE,1:TRUE,,0.93
23,2:FALSE,1:TRUE,+,0.83
24,1:TRUE,1:TRUE,,0.81
25,1:TRUE,1:TRUE,,0.88
26,1:TRUE,1:TRUE,,0.69
27,1:TRUE,2:FALSE,+,0.61
28,1:TRUE,1:TRUE,,0.73
29,1:TRUE,1:TRUE,,0.93
30,1:TRUE,1:TRUE,,1
31,1:TRUE,1:TRUE,,0.94
32,1:TRUE,1:TRUE,,0.95
33,1:TRUE,1:TRUE,,0.92
34,1:TRUE,1:TRUE,,0.99
35,1:TRUE,1:TRUE,,0.95
36,1:TRUE,1:TRUE,,0.99
37,1:TRUE,1:TRUE,,0.99
38,2:FALSE,1:TRUE,+,0.67
39,1:TRUE,1:TRUE,,0.96
40,1:TRUE,1:TRUE,,0.92
41,1:TRUE,1:TRUE,,0.99
42,1:TRUE,1:TRUE,,0.99
43,2:FALSE,1:TRUE,+,0.64
44,1:TRUE,1:TRUE,,0.79
45,1:TRUE,1:TRUE,,0.53
46,1:TRUE,1:TRUE,,0.74
47,1:TRUE,1:TRUE,,0.96
48,1:TRUE,1:TRUE,,0.78
49,1:TRUE,1:TRUE,,0.68
50,1:TRUE,1:TRUE,,0.86
51,1:TRUE,1:TRUE,,0.94
52,1:TRUE,1:TRUE,,0.9
53,1:TRUE,1:TRUE,,0.99
54,1:TRUE,1:TRUE,,0.99
55,1:TRUE,1:TRUE,,0.89
56,2:FALSE,1:TRUE,+,0.81
