inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,0.926
2,2:FALSE,2:FALSE,,0.962
3,2:FALSE,2:FALSE,,0.589
4,2:FALSE,2:FALSE,,0.616
5,2:FALSE,2:FALSE,,0.987
6,1:TRUE,1:TRUE,,0.86
7,1:TRUE,1:TRUE,,0.79
8,2:FALSE,2:FALSE,,0.56
9,2:FALSE,1:TRUE,+,0.75
10,2:FALSE,2:FALSE,,0.54
11,1:TRUE,1:TRUE,,0.77
12,2:FALSE,1:TRUE,+,0.78
13,1:TRUE,1:TRUE,,0.53
14,1:TRUE,1:TRUE,,0.98
15,1:TRUE,2:FALSE,+,0.53
16,1:TRUE,1:TRUE,,0.71
17,2:FALSE,1:TRUE,+,0.53
18,2:FALSE,1:TRUE,+,0.59
19,2:FALSE,1:TRUE,+,0.77
20,2:FALSE,1:TRUE,+,0.68
21,2:FALSE,1:TRUE,+,0.85
22,2:FALSE,1:TRUE,+,0.8
23,2:FALSE,2:FALSE,,0.983
24,2:FALSE,2:FALSE,,0.943
25,2:FALSE,2:FALSE,,0.943
26,2:FALSE,2:FALSE,,0.997
27,2:FALSE,2:FALSE,,0.55
28,2:FALSE,2:FALSE,,0.62
29,2:FALSE,1:TRUE,+,0.68
30,2:FALSE,1:TRUE,+,0.51
31,2:FALSE,2:FALSE,,0.66
32,2:FALSE,1:TRUE,+,0.82
33,2:FALSE,2:FALSE,,0.7
34,2:FALSE,1:TRUE,+,0.71
35,2:FALSE,1:TRUE,+,0.84
36,2:FALSE,1:TRUE,+,0.76
37,1:TRUE,1:TRUE,,0.86
38,2:FALSE,2:FALSE,,0.74
39,2:FALSE,1:TRUE,+,0.68
40,2:FALSE,2:FALSE,,0.65
41,2:FALSE,1:TRUE,+,0.97
42,1:TRUE,1:TRUE,,0.91
43,2:FALSE,1:TRUE,+,0.5
44,1:TRUE,1:TRUE,,0.9
45,2:FALSE,1:TRUE,+,0.86
46,2:FALSE,2:FALSE,,0.77
47,1:TRUE,1:TRUE,,0.91
48,2:FALSE,1:TRUE,+,0.65
49,2:FALSE,2:FALSE,,0.56
50,1:TRUE,2:FALSE,+,0.83
51,2:FALSE,1:TRUE,+,0.69
52,2:FALSE,1:TRUE,+,0.774
53,1:TRUE,1:TRUE,,0.66
54,2:FALSE,2:FALSE,,0.545
55,2:FALSE,1:TRUE,+,0.676
56,2:FALSE,2:FALSE,,0.692
57,2:FALSE,1:TRUE,+,0.878
58,2:FALSE,1:TRUE,+,0.584
59,1:TRUE,1:TRUE,,0.745
60,2:FALSE,1:TRUE,+,0.601
61,2:FALSE,1:TRUE,+,0.837
62,1:TRUE,1:TRUE,,0.965
63,1:TRUE,1:TRUE,,0.78
64,2:FALSE,1:TRUE,+,0.56
65,2:FALSE,1:TRUE,+,0.59
66,2:FALSE,2:FALSE,,0.94
67,2:FALSE,2:FALSE,,0.98
68,2:FALSE,2:FALSE,,0.87
69,2:FALSE,1:TRUE,+,0.5
70,2:FALSE,1:TRUE,+,0.66
71,2:FALSE,2:FALSE,,0.9
72,2:FALSE,2:FALSE,,0.72
73,1:TRUE,2:FALSE,+,0.81
74,2:FALSE,2:FALSE,,0.84
75,2:FALSE,2:FALSE,,0.97
76,2:FALSE,2:FALSE,,0.86
77,1:TRUE,1:TRUE,,0.82
78,1:TRUE,1:TRUE,,0.83
79,1:TRUE,1:TRUE,,0.61
80,1:TRUE,1:TRUE,,0.83
81,1:TRUE,1:TRUE,,0.71
82,2:FALSE,2:FALSE,,0.53
83,1:TRUE,1:TRUE,,0.61
84,2:FALSE,1:TRUE,+,0.79
85,1:TRUE,1:TRUE,,0.89
