inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,0.53
2,2:FALSE,1:TRUE,+,0.72
3,1:TRUE,1:TRUE,,0.95
4,1:TRUE,1:TRUE,,0.78
5,1:TRUE,1:TRUE,,0.8
6,1:TRUE,1:TRUE,,0.65
7,2:FALSE,1:TRUE,+,0.85
8,1:TRUE,1:TRUE,,0.91
9,2:FALSE,2:FALSE,,0.64
10,2:FALSE,1:TRUE,+,0.93
11,2:FALSE,2:FALSE,,0.53
12,2:FALSE,2:FALSE,,0.79
13,2:FALSE,2:FALSE,,0.81
14,2:FALSE,2:FALSE,,0.66
15,2:FALSE,1:TRUE,+,0.56
16,1:TRUE,1:TRUE,,0.99
17,2:FALSE,1:TRUE,+,0.76
18,2:FALSE,1:TRUE,+,0.94
19,2:FALSE,1:TRUE,+,0.7
20,2:FALSE,1:TRUE,+,0.72
21,2:FALSE,1:TRUE,+,0.81
22,1:TRUE,1:TRUE,,0.69
23,1:TRUE,1:TRUE,,0.74
24,1:TRUE,1:TRUE,,0.92
25,2:FALSE,1:TRUE,+,0.66
26,1:TRUE,1:TRUE,,1
27,1:TRUE,1:TRUE,,0.85
28,1:TRUE,1:TRUE,,0.71
29,1:TRUE,1:TRUE,,0.92
30,2:FALSE,2:FALSE,,0.78
31,1:TRUE,1:TRUE,,0.88
32,1:TRUE,1:TRUE,,0.69
33,2:FALSE,2:FALSE,,0.51
34,1:TRUE,1:TRUE,,0.84
35,2:FALSE,2:FALSE,,0.74
36,2:FALSE,1:TRUE,+,0.61
37,2:FALSE,1:TRUE,+,0.97
38,2:FALSE,2:FALSE,,0.89
39,1:TRUE,1:TRUE,,0.77
40,2:FALSE,1:TRUE,+,0.63
41,2:FALSE,1:TRUE,+,0.73
42,1:TRUE,1:TRUE,,0.7
43,2:FALSE,1:TRUE,+,0.6
44,2:FALSE,2:FALSE,,0.72
45,2:FALSE,2:FALSE,,0.65
46,2:FALSE,1:TRUE,+,0.85
47,2:FALSE,1:TRUE,+,0.88
48,1:TRUE,1:TRUE,,0.79
49,2:FALSE,1:TRUE,+,0.67
50,1:TRUE,1:TRUE,,0.81
51,2:FALSE,1:TRUE,+,0.58
52,2:FALSE,2:FALSE,,0.84
53,2:FALSE,1:TRUE,+,0.78
54,2:FALSE,2:FALSE,,0.81
55,2:FALSE,2:FALSE,,0.85
56,2:FALSE,1:TRUE,+,0.52
57,1:TRUE,1:TRUE,,1
58,2:FALSE,1:TRUE,+,0.82
59,1:TRUE,1:TRUE,,0.87
60,2:FALSE,1:TRUE,+,0.59
61,2:FALSE,2:FALSE,,0.52
62,2:FALSE,1:TRUE,+,0.79
63,2:FALSE,2:FALSE,,0.74
64,1:TRUE,1:TRUE,,0.67
65,1:TRUE,1:TRUE,,0.82
66,2:FALSE,1:TRUE,+,0.83
67,2:FALSE,2:FALSE,,0.83
68,2:FALSE,1:TRUE,+,0.64
69,2:FALSE,1:TRUE,+,0.58
70,2:FALSE,1:TRUE,+,0.63
71,2:FALSE,2:FALSE,,0.84
72,2:FALSE,1:TRUE,+,0.88
73,1:TRUE,2:FALSE,+,0.64
74,2:FALSE,2:FALSE,,0.9
75,2:FALSE,2:FALSE,,0.69
76,1:TRUE,1:TRUE,,0.91
77,2:FALSE,2:FALSE,,0.77
78,2:FALSE,2:FALSE,,0.713
79,2:FALSE,1:TRUE,+,0.51
80,2:FALSE,2:FALSE,,0.52
81,2:FALSE,2:FALSE,,0.65
82,2:FALSE,2:FALSE,,0.75
83,2:FALSE,2:FALSE,,0.69
84,2:FALSE,2:FALSE,,0.81
85,2:FALSE,2:FALSE,,0.83
86,1:TRUE,1:TRUE,,0.71
87,1:TRUE,1:TRUE,,0.94
88,1:TRUE,1:TRUE,,0.83
89,2:FALSE,2:FALSE,,1
90,2:FALSE,1:TRUE,+,0.77
91,1:TRUE,1:TRUE,,0.65
92,2:FALSE,1:TRUE,+,0.76
93,1:TRUE,1:TRUE,,0.99
94,2:FALSE,1:TRUE,+,0.57
95,2:FALSE,1:TRUE,+,0.59
96,2:FALSE,2:FALSE,,0.67
97,2:FALSE,2:FALSE,,0.63
98,2:FALSE,1:TRUE,+,0.66
99,2:FALSE,1:TRUE,+,0.72
100,1:TRUE,1:TRUE,,0.85
101,1:TRUE,1:TRUE,,0.99
102,1:TRUE,1:TRUE,,0.85
103,2:FALSE,2:FALSE,,0.61
104,1:TRUE,1:TRUE,,0.58
105,2:FALSE,2:FALSE,,0.92
106,2:FALSE,1:TRUE,+,0.78
107,2:FALSE,2:FALSE,,0.768
108,1:TRUE,1:TRUE,,0.6
109,2:FALSE,2:FALSE,,0.53
110,2:FALSE,2:FALSE,,0.662
111,2:FALSE,2:FALSE,,0.578
112,2:FALSE,1:TRUE,+,0.81
113,2:FALSE,1:TRUE,+,0.86
114,2:FALSE,1:TRUE,+,0.8
115,1:TRUE,1:TRUE,,0.99
116,1:TRUE,1:TRUE,,0.92
117,2:FALSE,2:FALSE,,0.99
118,1:TRUE,1:TRUE,,0.81
119,2:FALSE,1:TRUE,+,0.79
120,2:FALSE,1:TRUE,+,0.72
121,2:FALSE,1:TRUE,+,0.71
122,2:FALSE,1:TRUE,+,0.95
123,2:FALSE,2:FALSE,,0.992
124,1:TRUE,1:TRUE,,0.89
125,2:FALSE,1:TRUE,+,0.59
126,2:FALSE,2:FALSE,,0.77
127,2:FALSE,1:TRUE,+,0.91
128,1:TRUE,1:TRUE,,0.84
129,2:FALSE,1:TRUE,+,0.57
130,1:TRUE,1:TRUE,,0.92
