inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,0.63
2,2:FALSE,2:FALSE,,0.85
3,2:FALSE,2:FALSE,,1
4,2:FALSE,2:FALSE,,0.66
5,2:FALSE,2:FALSE,,1
6,2:FALSE,2:FALSE,,0.9
7,2:FALSE,2:FALSE,,0.94
8,2:FALSE,2:FALSE,,1
9,1:TRUE,2:FALSE,+,0.93
10,2:FALSE,2:FALSE,,1
11,2:FALSE,1:TRUE,+,0.7
12,1:TRUE,2:FALSE,+,0.81
13,2:FALSE,2:FALSE,,0.93
14,2:FALSE,2:FALSE,,0.94
15,2:FALSE,2:FALSE,,1
16,1:TRUE,1:TRUE,,0.774
17,1:TRUE,1:TRUE,,0.75
18,2:FALSE,2:FALSE,,0.66
19,2:FALSE,2:FALSE,,0.57
20,1:TRUE,1:TRUE,,0.88
21,2:FALSE,2:FALSE,,0.616
22,2:FALSE,2:FALSE,,0.851
23,1:TRUE,1:TRUE,,0.561
24,2:FALSE,2:FALSE,,0.792
25,2:FALSE,2:FALSE,,0.787
26,2:FALSE,2:FALSE,,0.965
27,2:FALSE,2:FALSE,,0.905
28,2:FALSE,2:FALSE,,0.655
29,2:FALSE,2:FALSE,,0.886
30,1:TRUE,1:TRUE,,0.643
31,2:FALSE,2:FALSE,,0.866
32,2:FALSE,2:FALSE,,0.541
33,2:FALSE,2:FALSE,,0.66
34,1:TRUE,2:FALSE,+,0.74
35,2:FALSE,2:FALSE,,0.84
36,1:TRUE,1:TRUE,,0.98
37,2:FALSE,1:TRUE,+,0.826
38,1:TRUE,2:FALSE,+,0.776
39,2:FALSE,2:FALSE,,1
40,2:FALSE,2:FALSE,,0.68
41,2:FALSE,1:TRUE,+,0.54
42,2:FALSE,1:TRUE,+,0.52
43,2:FALSE,2:FALSE,,0.97
44,2:FALSE,2:FALSE,,0.73
45,2:FALSE,2:FALSE,,0.84
46,2:FALSE,1:TRUE,+,0.68
47,1:TRUE,1:TRUE,,0.57
48,2:FALSE,2:FALSE,,0.78
49,1:TRUE,1:TRUE,,0.9
50,2:FALSE,2:FALSE,,1
51,2:FALSE,1:TRUE,+,0.59
52,2:FALSE,2:FALSE,,0.9
53,1:TRUE,1:TRUE,,0.64
54,2:FALSE,1:TRUE,+,0.57
55,2:FALSE,1:TRUE,+,0.53
56,2:FALSE,2:FALSE,,1
57,2:FALSE,2:FALSE,,0.56
58,2:FALSE,1:TRUE,+,0.52
59,2:FALSE,2:FALSE,,1
60,2:FALSE,2:FALSE,,1
61,2:FALSE,2:FALSE,,1
62,2:FALSE,2:FALSE,,1
63,2:FALSE,2:FALSE,,1
64,1:TRUE,1:TRUE,,0.93
65,2:FALSE,2:FALSE,,1
66,2:FALSE,1:TRUE,+,0.76
67,2:FALSE,2:FALSE,,1
68,2:FALSE,2:FALSE,,1
69,1:TRUE,1:TRUE,,0.78
70,2:FALSE,1:TRUE,+,0.59
71,2:FALSE,2:FALSE,,1
72,2:FALSE,1:TRUE,+,0.62
73,2:FALSE,1:TRUE,+,0.54
74,2:FALSE,1:TRUE,+,0.5
75,2:FALSE,2:FALSE,,0.6
76,2:FALSE,1:TRUE,+,0.5
77,1:TRUE,1:TRUE,,0.68
78,1:TRUE,2:FALSE,+,0.65
79,2:FALSE,2:FALSE,,0.79
80,1:TRUE,2:FALSE,+,0.77
81,2:FALSE,1:TRUE,+,0.55
82,1:TRUE,2:FALSE,+,0.65
83,2:FALSE,2:FALSE,,0.51
84,1:TRUE,2:FALSE,+,0.51
85,2:FALSE,1:TRUE,+,0.5
86,2:FALSE,2:FALSE,,0.75
87,1:TRUE,1:TRUE,,0.74
88,2:FALSE,2:FALSE,,0.77
89,2:FALSE,2:FALSE,,0.87
90,2:FALSE,2:FALSE,,0.75
91,2:FALSE,1:TRUE,+,0.67
92,2:FALSE,1:TRUE,+,0.56
93,1:TRUE,1:TRUE,,0.93
94,1:TRUE,1:TRUE,,0.94
95,2:FALSE,2:FALSE,,0.51
96,2:FALSE,2:FALSE,,0.92
97,2:FALSE,1:TRUE,+,0.59
98,2:FALSE,2:FALSE,,0.68
99,2:FALSE,1:TRUE,+,0.63
100,2:FALSE,2:FALSE,,0.82
101,2:FALSE,2:FALSE,,0.76
102,2:FALSE,2:FALSE,,1
103,2:FALSE,2:FALSE,,1
104,2:FALSE,2:FALSE,,1
105,2:FALSE,2:FALSE,,1
106,2:FALSE,2:FALSE,,1
107,2:FALSE,2:FALSE,,1
108,2:FALSE,2:FALSE,,1
109,2:FALSE,2:FALSE,,1
110,2:FALSE,2:FALSE,,0.997
111,2:FALSE,2:FALSE,,1
112,2:FALSE,2:FALSE,,1
113,2:FALSE,2:FALSE,,1
114,1:TRUE,1:TRUE,,0.88
115,1:TRUE,1:TRUE,,0.86
116,2:FALSE,1:TRUE,+,0.53
117,1:TRUE,1:TRUE,,0.72
118,1:TRUE,1:TRUE,,0.9
119,2:FALSE,2:FALSE,,0.99
120,2:FALSE,2:FALSE,,1
121,2:FALSE,1:TRUE,+,0.5
122,1:TRUE,1:TRUE,,0.92
123,2:FALSE,2:FALSE,,0.58
124,2:FALSE,1:TRUE,+,0.62
125,2:FALSE,1:TRUE,+,0.59
126,2:FALSE,2:FALSE,,0.75
127,1:TRUE,2:FALSE,+,0.79
128,2:FALSE,2:FALSE,,0.62
129,2:FALSE,2:FALSE,,0.96
130,1:TRUE,2:FALSE,+,0.78
131,1:TRUE,1:TRUE,,0.72
132,2:FALSE,2:FALSE,,0.93
133,2:FALSE,1:TRUE,+,0.69
134,2:FALSE,2:FALSE,,0.87
135,2:FALSE,2:FALSE,,1
136,2:FALSE,2:FALSE,,0.999
137,2:FALSE,2:FALSE,,1
138,2:FALSE,2:FALSE,,0.99
139,2:FALSE,2:FALSE,,0.93
140,2:FALSE,1:TRUE,+,0.57
141,2:FALSE,2:FALSE,,0.69
142,2:FALSE,2:FALSE,,0.75
