inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,0.98
2,2:FALSE,2:FALSE,,0.99
3,2:FALSE,1:TRUE,+,0.93
4,2:FALSE,2:FALSE,,1
5,2:FALSE,2:FALSE,,1
6,1:TRUE,1:TRUE,,0.97
7,2:FALSE,1:TRUE,+,0.78
8,2:FALSE,1:TRUE,+,0.8
9,2:FALSE,1:TRUE,+,0.78
10,2:FALSE,2:FALSE,,0.89
11,2:FALSE,2:FALSE,,0.53
12,1:TRUE,1:TRUE,,0.99
13,1:TRUE,1:TRUE,,0.97
14,1:TRUE,1:TRUE,,0.65
15,2:FALSE,1:TRUE,+,0.8
16,2:FALSE,1:TRUE,+,0.72
17,2:FALSE,1:TRUE,+,0.76
18,1:TRUE,1:TRUE,,0.79
19,2:FALSE,2:FALSE,,0.52
20,2:FALSE,2:FALSE,,1
21,2:FALSE,2:FALSE,,0.993
22,2:FALSE,2:FALSE,,1
23,2:FALSE,2:FALSE,,0.99
24,2:FALSE,2:FALSE,,0.7
25,2:FALSE,2:FALSE,,1
26,2:FALSE,2:FALSE,,0.66
27,2:FALSE,2:FALSE,,1
28,1:TRUE,1:TRUE,,0.85
29,2:FALSE,2:FALSE,,1
30,1:TRUE,1:TRUE,,0.71
31,1:TRUE,1:TRUE,,0.94
32,2:FALSE,2:FALSE,,0.91
33,2:FALSE,2:FALSE,,1
34,2:FALSE,2:FALSE,,0.59
35,1:TRUE,1:TRUE,,0.82
36,1:TRUE,1:TRUE,,0.78
37,1:TRUE,1:TRUE,,0.83
38,2:FALSE,2:FALSE,,0.83
39,2:FALSE,1:TRUE,+,0.73
40,2:FALSE,1:TRUE,+,0.59
41,2:FALSE,2:FALSE,,0.65
42,2:FALSE,2:FALSE,,1
43,2:FALSE,2:FALSE,,0.68
44,1:TRUE,1:TRUE,,0.96
45,2:FALSE,2:FALSE,,0.81
46,2:FALSE,2:FALSE,,0.94
47,2:FALSE,2:FALSE,,1
48,2:FALSE,2:FALSE,,0.66
49,2:FALSE,2:FALSE,,0.98
50,2:FALSE,2:FALSE,,0.987
51,1:TRUE,1:TRUE,,0.9
52,2:FALSE,2:FALSE,,1
53,2:FALSE,2:FALSE,,1
54,2:FALSE,2:FALSE,,0.993
55,1:TRUE,1:TRUE,,0.93
56,2:FALSE,1:TRUE,+,0.9
57,2:FALSE,2:FALSE,,0.74
58,2:FALSE,2:FALSE,,0.51
59,2:FALSE,1:TRUE,+,0.57
60,2:FALSE,2:FALSE,,0.56
61,2:FALSE,2:FALSE,,0.53
