inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,0.6
2,1:TRUE,1:TRUE,,0.51
3,1:TRUE,1:TRUE,,0.64
4,1:TRUE,1:TRUE,,0.54
5,1:TRUE,1:TRUE,,0.97
6,2:FALSE,2:FALSE,,1
7,1:TRUE,1:TRUE,,0.78
8,1:TRUE,1:TRUE,,0.63
9,2:FALSE,2:FALSE,,1
10,1:TRUE,1:TRUE,,0.56
11,2:FALSE,2:FALSE,,1
12,2:FALSE,2:FALSE,,1
13,2:FALSE,2:FALSE,,1
14,2:FALSE,2:FALSE,,0.99
15,2:FALSE,2:FALSE,,1
16,2:FALSE,2:FALSE,,1
17,1:TRUE,2:FALSE,+,0.73
18,2:FALSE,2:FALSE,,0.55
19,2:FALSE,2:FALSE,,0.98
20,2:FALSE,2:FALSE,,0.83
21,1:TRUE,1:TRUE,,0.99
22,2:FALSE,2:FALSE,,0.56
23,2:FALSE,1:TRUE,+,0.52
24,2:FALSE,2:FALSE,,0.83
25,2:FALSE,1:TRUE,+,0.55
26,1:TRUE,1:TRUE,,0.88
27,2:FALSE,1:TRUE,+,0.66
28,1:TRUE,1:TRUE,,0.95
29,2:FALSE,2:FALSE,,1
30,2:FALSE,2:FALSE,,1
31,1:TRUE,1:TRUE,,0.79
32,1:TRUE,2:FALSE,+,0.57
33,2:FALSE,2:FALSE,,1
34,1:TRUE,1:TRUE,,0.8
35,2:FALSE,2:FALSE,,0.6
36,1:TRUE,1:TRUE,,0.95
37,1:TRUE,1:TRUE,,0.81
38,2:FALSE,2:FALSE,,1
39,1:TRUE,2:FALSE,+,0.62
40,1:TRUE,1:TRUE,,0.92
41,1:TRUE,1:TRUE,,0.91
42,1:TRUE,1:TRUE,,0.65
43,1:TRUE,1:TRUE,,0.92
44,1:TRUE,1:TRUE,,0.96
45,2:FALSE,2:FALSE,,0.57
46,1:TRUE,1:TRUE,,0.7
47,1:TRUE,1:TRUE,,1
48,1:TRUE,1:TRUE,,0.81
49,2:FALSE,2:FALSE,,0.51
50,2:FALSE,2:FALSE,,0.66
51,1:TRUE,1:TRUE,,0.74
52,2:FALSE,2:FALSE,,1
53,2:FALSE,2:FALSE,,1
54,2:FALSE,2:FALSE,,1
