inst#,actual,predicted,error,prediction
1,1:TRUE,1:TRUE,,0.77
2,2:FALSE,1:TRUE,+,0.89
3,2:FALSE,1:TRUE,+,0.51
4,2:FALSE,2:FALSE,,0.92
5,2:FALSE,2:FALSE,,0.94
6,2:FALSE,2:FALSE,,0.94
7,2:FALSE,2:FALSE,,0.59
8,2:FALSE,1:TRUE,+,0.65
9,2:FALSE,2:FALSE,,0.91
10,1:TRUE,1:TRUE,,0.99
11,2:FALSE,2:FALSE,,0.9
12,2:FALSE,2:FALSE,,0.9
13,2:FALSE,2:FALSE,,0.94
14,1:TRUE,2:FALSE,+,0.57
15,2:FALSE,2:FALSE,,0.77
16,1:TRUE,1:TRUE,,0.98
17,2:FALSE,2:FALSE,,0.934
18,1:TRUE,1:TRUE,,1
19,1:TRUE,1:TRUE,,1
20,2:FALSE,2:FALSE,,1
21,2:FALSE,2:FALSE,,0.997
22,1:TRUE,1:TRUE,,1
23,2:FALSE,2:FALSE,,0.998
24,2:FALSE,2:FALSE,,0.988
25,2:FALSE,1:TRUE,+,0.64
26,2:FALSE,1:TRUE,+,0.64
27,2:FALSE,1:TRUE,+,0.64
28,2:FALSE,2:FALSE,,1
29,1:TRUE,1:TRUE,,0.95
30,2:FALSE,2:FALSE,,1
31,2:FALSE,2:FALSE,,1
32,1:TRUE,2:FALSE,+,0.68
33,2:FALSE,2:FALSE,,1
34,2:FALSE,2:FALSE,,0.88
35,2:FALSE,2:FALSE,,1
36,2:FALSE,2:FALSE,,1
37,2:FALSE,2:FALSE,,0.95
38,2:FALSE,2:FALSE,,0.999
39,2:FALSE,2:FALSE,,0.88
40,2:FALSE,2:FALSE,,0.53
41,1:TRUE,1:TRUE,,0.65
42,2:FALSE,1:TRUE,+,0.75
43,2:FALSE,2:FALSE,,0.98
44,2:FALSE,2:FALSE,,0.61
45,1:TRUE,1:TRUE,,0.689
46,2:FALSE,2:FALSE,,0.56
47,2:FALSE,1:TRUE,+,0.726
48,1:TRUE,1:TRUE,,0.929
49,2:FALSE,2:FALSE,,0.751
50,1:TRUE,1:TRUE,,0.726
51,2:FALSE,2:FALSE,,0.758
52,2:FALSE,1:TRUE,+,0.644
53,2:FALSE,2:FALSE,,0.928
54,1:TRUE,1:TRUE,,0.817
55,1:TRUE,1:TRUE,,0.696
56,2:FALSE,2:FALSE,,0.683
57,1:TRUE,1:TRUE,,0.89
58,1:TRUE,1:TRUE,,0.99
59,2:FALSE,2:FALSE,,1
60,1:TRUE,1:TRUE,,0.93
61,2:FALSE,1:TRUE,+,0.875
62,2:FALSE,2:FALSE,,0.997
63,2:FALSE,2:FALSE,,1
64,2:FALSE,2:FALSE,,1
65,2:FALSE,2:FALSE,,0.99
66,2:FALSE,2:FALSE,,1
67,2:FALSE,2:FALSE,,0.57
68,1:TRUE,1:TRUE,,0.96
69,2:FALSE,2:FALSE,,1
70,2:FALSE,1:TRUE,+,0.83
71,1:TRUE,1:TRUE,,0.84
72,1:TRUE,1:TRUE,,0.98
73,1:TRUE,1:TRUE,,0.9
74,2:FALSE,1:TRUE,+,0.65
75,2:FALSE,1:TRUE,+,0.66
76,2:FALSE,2:FALSE,,0.94
77,2:FALSE,1:TRUE,+,0.51
78,2:FALSE,2:FALSE,,0.59
79,2:FALSE,1:TRUE,+,0.63
80,1:TRUE,1:TRUE,,0.86
81,2:FALSE,1:TRUE,+,0.9
82,1:TRUE,1:TRUE,,0.59
83,2:FALSE,2:FALSE,,0.99
84,1:TRUE,1:TRUE,,0.98
85,1:TRUE,1:TRUE,,0.99
86,1:TRUE,1:TRUE,,0.97
87,1:TRUE,1:TRUE,,0.97
88,2:FALSE,2:FALSE,,0.55
89,1:TRUE,1:TRUE,,0.86
90,2:FALSE,1:TRUE,+,0.84
91,2:FALSE,1:TRUE,+,0.83
92,1:TRUE,1:TRUE,,0.78
93,1:TRUE,2:FALSE,+,0.57
94,1:TRUE,1:TRUE,,0.84
95,1:TRUE,2:FALSE,+,0.52
96,2:FALSE,2:FALSE,,0.72
97,1:TRUE,1:TRUE,,0.98
98,1:TRUE,1:TRUE,,0.99
99,1:TRUE,1:TRUE,,1
100,2:FALSE,1:TRUE,+,0.61
101,2:FALSE,2:FALSE,,0.52
102,1:TRUE,1:TRUE,,0.87
103,1:TRUE,1:TRUE,,0.89
104,1:TRUE,2:FALSE,+,0.59
105,1:TRUE,2:FALSE,+,0.59
106,2:FALSE,1:TRUE,+,0.84
107,2:FALSE,1:TRUE,+,0.68
108,1:TRUE,1:TRUE,,0.66
109,1:TRUE,2:FALSE,+,0.55
110,1:TRUE,2:FALSE,+,0.55
111,2:FALSE,1:TRUE,+,0.59
112,2:FALSE,2:FALSE,,0.64
113,1:TRUE,1:TRUE,,0.89
114,2:FALSE,1:TRUE,+,0.75
115,2:FALSE,2:FALSE,,0.68
116,2:FALSE,2:FALSE,,0.63
117,1:TRUE,1:TRUE,,0.81
118,1:TRUE,1:TRUE,,0.92
119,1:TRUE,1:TRUE,,0.93
120,2:FALSE,1:TRUE,+,0.66
121,1:TRUE,1:TRUE,,0.73
122,2:FALSE,1:TRUE,+,0.63
123,1:TRUE,1:TRUE,,0.61
124,2:FALSE,1:TRUE,+,0.74
125,1:TRUE,1:TRUE,,0.75
126,1:TRUE,1:TRUE,,0.95
127,2:FALSE,1:TRUE,+,0.81
128,1:TRUE,1:TRUE,,0.87
129,1:TRUE,1:TRUE,,0.89
130,2:FALSE,1:TRUE,+,0.87
131,2:FALSE,1:TRUE,+,0.65
132,1:TRUE,1:TRUE,,0.94
133,2:FALSE,1:TRUE,+,0.7
134,1:TRUE,1:TRUE,,0.96
135,2:FALSE,2:FALSE,,0.75
136,2:FALSE,1:TRUE,+,0.62
137,1:TRUE,1:TRUE,,0.86
138,1:TRUE,1:TRUE,,0.85
139,1:TRUE,1:TRUE,,0.86
140,1:TRUE,1:TRUE,,0.97
141,1:TRUE,2:FALSE,+,0.73
142,2:FALSE,2:FALSE,,0.63
143,1:TRUE,1:TRUE,,0.93
144,1:TRUE,2:FALSE,+,0.52
145,2:FALSE,1:TRUE,+,0.56
146,2:FALSE,2:FALSE,,0.71
147,1:TRUE,1:TRUE,,0.97
148,2:FALSE,1:TRUE,+,0.6
149,1:TRUE,2:FALSE,+,0.64
