inst#,actual,predicted,error,prediction
1,2:FALSE,1:TRUE,+,1
2,2:FALSE,1:TRUE,+,1
3,2:FALSE,2:FALSE,,1
4,2:FALSE,1:TRUE,+,1
5,2:FALSE,1:TRUE,+,1
6,2:FALSE,1:TRUE,+,1
7,2:FALSE,1:TRUE,+,1
8,1:TRUE,1:TRUE,,1
9,2:FALSE,1:TRUE,+,1
10,1:TRUE,1:TRUE,,1
11,2:FALSE,1:TRUE,+,1
12,2:FALSE,1:TRUE,+,1
13,2:FALSE,2:FALSE,,1
14,2:FALSE,2:FALSE,,1
15,2:FALSE,1:TRUE,+,1
16,1:TRUE,1:TRUE,,1
17,1:TRUE,1:TRUE,,1
18,2:FALSE,1:TRUE,+,1
19,1:TRUE,1:TRUE,,1
20,1:TRUE,1:TRUE,,1
21,1:TRUE,1:TRUE,,1
22,1:TRUE,1:TRUE,,1
23,1:TRUE,1:TRUE,,1
24,1:TRUE,1:TRUE,,1
25,1:TRUE,1:TRUE,,1
26,1:TRUE,1:TRUE,,1
27,1:TRUE,1:TRUE,,1
28,2:FALSE,1:TRUE,+,1
29,1:TRUE,1:TRUE,,1
30,1:TRUE,1:TRUE,,1
31,1:TRUE,1:TRUE,,1
32,2:FALSE,1:TRUE,+,1
33,2:FALSE,1:TRUE,+,1
34,2:FALSE,1:TRUE,+,1
35,1:TRUE,1:TRUE,,1
36,1:TRUE,1:TRUE,,1
37,2:FALSE,2:FALSE,,1
38,2:FALSE,1:TRUE,+,1
39,1:TRUE,2:FALSE,+,1
40,2:FALSE,1:TRUE,+,1
41,1:TRUE,1:TRUE,,1
42,2:FALSE,2:FALSE,,1
43,1:TRUE,1:TRUE,,1
44,2:FALSE,2:FALSE,,1
45,2:FALSE,1:TRUE,+,1
46,1:TRUE,1:TRUE,,1
47,1:TRUE,1:TRUE,,1
48,1:TRUE,1:TRUE,,1
49,1:TRUE,1:TRUE,,1
50,1:TRUE,1:TRUE,,1
51,1:TRUE,1:TRUE,,1
52,2:FALSE,1:TRUE,+,1
53,1:TRUE,1:TRUE,,1
54,1:TRUE,1:TRUE,,1
55,2:FALSE,2:FALSE,,1
56,1:TRUE,1:TRUE,,1
57,2:FALSE,1:TRUE,+,1
58,1:TRUE,1:TRUE,,1
59,2:FALSE,2:FALSE,,1
60,2:FALSE,2:FALSE,,1
61,1:TRUE,1:TRUE,,1
62,1:TRUE,1:TRUE,,1
63,1:TRUE,1:TRUE,,1
64,1:TRUE,1:TRUE,,1
65,2:FALSE,1:TRUE,+,1
66,1:TRUE,1:TRUE,,1
67,1:TRUE,1:TRUE,,1
68,2:FALSE,1:TRUE,+,1
69,2:FALSE,1:TRUE,+,1
70,2:FALSE,1:TRUE,+,1
71,2:FALSE,1:TRUE,+,1
72,2:FALSE,1:TRUE,+,1
73,1:TRUE,1:TRUE,,1
74,2:FALSE,2:FALSE,,1
75,2:FALSE,1:TRUE,+,1
76,2:FALSE,1:TRUE,+,1
77,2:FALSE,1:TRUE,+,1
78,2:FALSE,1:TRUE,+,1
79,2:FALSE,1:TRUE,+,1
80,2:FALSE,1:TRUE,+,1
81,2:FALSE,2:FALSE,,1
82,2:FALSE,1:TRUE,+,1
83,2:FALSE,2:FALSE,,1
84,2:FALSE,2:FALSE,,1
85,2:FALSE,2:FALSE,,1
86,2:FALSE,2:FALSE,,1
87,2:FALSE,2:FALSE,,1
88,2:FALSE,1:TRUE,+,1
89,2:FALSE,1:TRUE,+,1
90,2:FALSE,2:FALSE,,1
91,1:TRUE,1:TRUE,,1
92,2:FALSE,1:TRUE,+,1
93,2:FALSE,1:TRUE,+,1
94,2:FALSE,1:TRUE,+,1
95,2:FALSE,2:FALSE,,1
96,1:TRUE,1:TRUE,,1
97,2:FALSE,2:FALSE,,1
98,1:TRUE,1:TRUE,,1
99,2:FALSE,1:TRUE,+,1
100,1:TRUE,2:FALSE,+,1
101,1:TRUE,1:TRUE,,1
102,1:TRUE,1:TRUE,,1
103,2:FALSE,1:TRUE,+,1
104,2:FALSE,1:TRUE,+,1
105,1:TRUE,1:TRUE,,1
106,2:FALSE,1:TRUE,+,1
107,2:FALSE,1:TRUE,+,1
108,2:FALSE,1:TRUE,+,1
109,2:FALSE,1:TRUE,+,1
110,2:FALSE,2:FALSE,,1
111,2:FALSE,2:FALSE,,1
112,2:FALSE,1:TRUE,+,1
113,2:FALSE,1:TRUE,+,1
114,1:TRUE,1:TRUE,,1
115,2:FALSE,2:FALSE,,1
116,2:FALSE,1:TRUE,+,1
117,2:FALSE,1:TRUE,+,1
118,1:TRUE,1:TRUE,,1
119,1:TRUE,1:TRUE,,1
120,1:TRUE,1:TRUE,,1
121,2:FALSE,1:TRUE,+,1
122,1:TRUE,1:TRUE,,1
123,2:FALSE,1:TRUE,+,1
124,2:FALSE,1:TRUE,+,1
125,2:FALSE,1:TRUE,+,1
126,2:FALSE,1:TRUE,+,1
127,2:FALSE,2:FALSE,,1
128,2:FALSE,1:TRUE,+,1
129,2:FALSE,1:TRUE,+,1
130,1:TRUE,1:TRUE,,1
131,2:FALSE,1:TRUE,+,1
132,2:FALSE,1:TRUE,+,1
133,2:FALSE,1:TRUE,+,1
134,2:FALSE,1:TRUE,+,1
135,1:TRUE,1:TRUE,,1
136,1:TRUE,2:FALSE,+,1
137,1:TRUE,1:TRUE,,1
138,2:FALSE,1:TRUE,+,1
139,2:FALSE,2:FALSE,,1
140,2:FALSE,2:FALSE,,1
141,2:FALSE,2:FALSE,,1
142,2:FALSE,1:TRUE,+,1
143,1:TRUE,1:TRUE,,1
144,1:TRUE,1:TRUE,,1
145,2:FALSE,2:FALSE,,1
