inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,1
2,1:TRUE,1:TRUE,,0.89
3,2:FALSE,2:FALSE,,0.98
4,2:FALSE,1:TRUE,+,0.5
5,2:FALSE,2:FALSE,,1
6,2:FALSE,2:FALSE,,1
7,2:FALSE,2:FALSE,,1
8,2:FALSE,1:TRUE,+,0.5
9,2:FALSE,2:FALSE,,1
10,2:FALSE,2:FALSE,,1
11,2:FALSE,2:FALSE,,1
12,2:FALSE,2:FALSE,,1
13,2:FALSE,2:FALSE,,1
14,2:FALSE,2:FALSE,,0.988
15,2:FALSE,2:FALSE,,1
16,2:FALSE,1:TRUE,+,0.75
17,1:TRUE,1:TRUE,,0.88
18,2:FALSE,2:FALSE,,1
19,2:FALSE,1:TRUE,+,0.62
20,2:FALSE,2:FALSE,,1
21,2:FALSE,2:FALSE,,0.996
22,2:FALSE,2:FALSE,,1
23,2:FALSE,2:FALSE,,0.62
24,1:TRUE,1:TRUE,,0.51
25,1:TRUE,1:TRUE,,0.57
26,1:TRUE,1:TRUE,,0.83
27,1:TRUE,1:TRUE,,0.78
28,1:TRUE,1:TRUE,,0.62
29,2:FALSE,1:TRUE,+,0.61
30,1:TRUE,1:TRUE,,0.96
31,2:FALSE,1:TRUE,+,0.62
32,1:TRUE,1:TRUE,,0.6
33,1:TRUE,1:TRUE,,0.95
34,1:TRUE,1:TRUE,,0.94
35,2:FALSE,1:TRUE,+,0.62
36,1:TRUE,1:TRUE,,0.68
37,1:TRUE,1:TRUE,,0.96
38,2:FALSE,1:TRUE,+,0.68
39,2:FALSE,1:TRUE,+,0.98
40,1:TRUE,1:TRUE,,0.81
41,2:FALSE,2:FALSE,,0.99
42,1:TRUE,1:TRUE,,0.56
43,1:TRUE,1:TRUE,,0.72
44,2:FALSE,1:TRUE,+,0.66
45,1:TRUE,1:TRUE,,0.7
46,2:FALSE,1:TRUE,+,0.85
47,1:TRUE,2:FALSE,+,0.59
48,1:TRUE,1:TRUE,,0.53
49,1:TRUE,1:TRUE,,0.83
50,2:FALSE,1:TRUE,+,0.84
51,1:TRUE,1:TRUE,,0.57
52,2:FALSE,1:TRUE,+,0.75
53,1:TRUE,2:FALSE,+,0.74
54,2:FALSE,2:FALSE,,0.74
55,2:FALSE,2:FALSE,,0.54
56,1:TRUE,1:TRUE,,0.51
57,1:TRUE,2:FALSE,+,0.56
58,2:FALSE,2:FALSE,,0.64
59,2:FALSE,2:FALSE,,0.79
60,2:FALSE,2:FALSE,,0.86
61,2:FALSE,1:TRUE,+,0.55
62,1:TRUE,2:FALSE,+,0.97
63,2:FALSE,2:FALSE,,0.73
64,1:TRUE,2:FALSE,+,0.86
65,1:TRUE,2:FALSE,+,0.72
66,1:TRUE,2:FALSE,+,0.77
67,2:FALSE,2:FALSE,,0.98
68,2:FALSE,2:FALSE,,0.76
69,2:FALSE,1:TRUE,+,0.59
70,2:FALSE,2:FALSE,,0.9
71,1:TRUE,1:TRUE,,0.96
72,1:TRUE,1:TRUE,,0.95
73,2:FALSE,1:TRUE,+,0.6
74,2:FALSE,2:FALSE,,0.94
75,2:FALSE,2:FALSE,,0.73
76,1:TRUE,1:TRUE,,0.66
77,1:TRUE,1:TRUE,,0.98
78,2:FALSE,2:FALSE,,0.75
79,2:FALSE,1:TRUE,+,0.62
80,2:FALSE,2:FALSE,,0.61
81,1:TRUE,1:TRUE,,0.61
82,1:TRUE,2:FALSE,+,0.66
83,2:FALSE,2:FALSE,,1
84,1:TRUE,1:TRUE,,0.88
85,2:FALSE,1:TRUE,+,0.57
86,2:FALSE,2:FALSE,,0.76
87,2:FALSE,2:FALSE,,0.69
88,1:TRUE,1:TRUE,,0.52
89,1:TRUE,2:FALSE,+,0.7
90,2:FALSE,1:TRUE,+,0.87
91,1:TRUE,2:FALSE,+,0.51
92,1:TRUE,1:TRUE,,0.92
93,2:FALSE,2:FALSE,,0.57
94,2:FALSE,2:FALSE,,0.99
95,2:FALSE,2:FALSE,,0.81
96,1:TRUE,1:TRUE,,0.73
97,2:FALSE,1:TRUE,+,0.55
98,1:TRUE,1:TRUE,,0.75
99,1:TRUE,1:TRUE,,0.57
100,1:TRUE,1:TRUE,,0.54
101,2:FALSE,2:FALSE,,0.88
102,1:TRUE,1:TRUE,,0.89
103,1:TRUE,1:TRUE,,0.58
104,1:TRUE,1:TRUE,,0.99
105,2:FALSE,2:FALSE,,0.66
106,1:TRUE,1:TRUE,,0.82
107,2:FALSE,2:FALSE,,0.88
108,2:FALSE,2:FALSE,,0.8
109,2:FALSE,1:TRUE,+,0.72
110,1:TRUE,2:FALSE,+,0.54
111,2:FALSE,2:FALSE,,0.88
112,2:FALSE,2:FALSE,,0.97
113,1:TRUE,2:FALSE,+,0.56
114,2:FALSE,1:TRUE,+,0.58
115,2:FALSE,2:FALSE,,0.73
116,1:TRUE,2:FALSE,+,0.55
117,1:TRUE,1:TRUE,,0.74
118,1:TRUE,1:TRUE,,0.56
