inst#,actual,predicted,error,prediction
1,1:TRUE,1:TRUE,,0.83
2,1:TRUE,1:TRUE,,0.66
3,2:FALSE,2:FALSE,,0.88
4,1:TRUE,2:FALSE,+,0.77
5,2:FALSE,2:FALSE,,0.81
6,1:TRUE,1:TRUE,,0.83
7,2:FALSE,2:FALSE,,0.7
8,2:FALSE,2:FALSE,,0.94
9,1:TRUE,2:FALSE,+,0.61
10,1:TRUE,1:TRUE,,0.68
11,2:FALSE,2:FALSE,,0.82
12,1:TRUE,1:TRUE,,0.5
13,2:FALSE,2:FALSE,,0.98
14,1:TRUE,1:TRUE,,0.86
15,2:FALSE,1:TRUE,+,0.68
16,2:FALSE,1:TRUE,+,0.54
17,1:TRUE,1:TRUE,,0.82
18,2:FALSE,2:FALSE,,0.56
19,1:TRUE,1:TRUE,,0.79
20,2:FALSE,1:TRUE,+,0.96
21,1:TRUE,1:TRUE,,0.52
22,1:TRUE,1:TRUE,,1
23,1:TRUE,1:TRUE,,0.83
24,2:FALSE,1:TRUE,+,0.8
25,2:FALSE,1:TRUE,+,0.84
26,1:TRUE,1:TRUE,,0.75
27,1:TRUE,2:FALSE,+,0.67
28,2:FALSE,2:FALSE,,0.77
29,1:TRUE,1:TRUE,,0.93
30,1:TRUE,1:TRUE,,0.88
31,1:TRUE,1:TRUE,,0.56
32,2:FALSE,2:FALSE,,0.62
33,1:TRUE,2:FALSE,+,0.84
34,1:TRUE,1:TRUE,,0.91
35,1:TRUE,2:FALSE,+,0.58
36,1:TRUE,1:TRUE,,0.85
37,1:TRUE,1:TRUE,,0.66
38,1:TRUE,2:FALSE,+,0.7
39,1:TRUE,1:TRUE,,0.54
40,1:TRUE,1:TRUE,,0.61
41,2:FALSE,1:TRUE,+,0.92
42,1:TRUE,1:TRUE,,0.62
43,1:TRUE,1:TRUE,,0.8
44,2:FALSE,1:TRUE,+,0.96
45,1:TRUE,1:TRUE,,0.93
46,1:TRUE,1:TRUE,,0.77
47,1:TRUE,1:TRUE,,0.91
48,2:FALSE,2:FALSE,,0.64
49,2:FALSE,1:TRUE,+,0.74
50,1:TRUE,1:TRUE,,0.63
51,1:TRUE,2:FALSE,+,0.53
52,2:FALSE,2:FALSE,,0.71
53,1:TRUE,2:FALSE,+,0.74
54,2:FALSE,1:TRUE,+,0.56
55,2:FALSE,2:FALSE,,0.55
56,2:FALSE,1:TRUE,+,0.72
57,2:FALSE,2:FALSE,,0.94
58,1:TRUE,2:FALSE,+,0.51
59,1:TRUE,2:FALSE,+,0.6
60,1:TRUE,2:FALSE,+,0.69
61,2:FALSE,2:FALSE,,0.7
62,2:FALSE,2:FALSE,,0.95
63,1:TRUE,1:TRUE,,0.69
64,1:TRUE,1:TRUE,,1
65,1:TRUE,2:FALSE,+,0.73
66,2:FALSE,2:FALSE,,0.86
67,1:TRUE,1:TRUE,,0.86
68,1:TRUE,1:TRUE,,0.5
69,2:FALSE,1:TRUE,+,0.56
70,2:FALSE,2:FALSE,,0.82
71,2:FALSE,2:FALSE,,0.52
72,1:TRUE,2:FALSE,+,0.61
73,1:TRUE,1:TRUE,,0.64
74,1:TRUE,1:TRUE,,0.72
75,2:FALSE,2:FALSE,,0.71
76,1:TRUE,1:TRUE,,0.57
77,2:FALSE,2:FALSE,,0.93
78,1:TRUE,1:TRUE,,0.98
79,2:FALSE,1:TRUE,+,0.84
80,1:TRUE,2:FALSE,+,0.57
81,1:TRUE,1:TRUE,,0.7
82,2:FALSE,2:FALSE,,0.77
83,2:FALSE,2:FALSE,,0.56
84,2:FALSE,1:TRUE,+,0.52
85,2:FALSE,2:FALSE,,0.67
86,2:FALSE,2:FALSE,,0.88
87,1:TRUE,2:FALSE,+,0.63
88,2:FALSE,2:FALSE,,0.96
89,1:TRUE,2:FALSE,+,0.59
90,2:FALSE,2:FALSE,,0.63
91,2:FALSE,2:FALSE,,0.99
92,1:TRUE,1:TRUE,,0.68
93,2:FALSE,1:TRUE,+,0.67
94,2:FALSE,2:FALSE,,0.82
95,2:FALSE,2:FALSE,,1
96,2:FALSE,2:FALSE,,1
97,2:FALSE,2:FALSE,,1
98,1:TRUE,1:TRUE,,0.93
99,1:TRUE,1:TRUE,,0.82
