inst#,actual,predicted,error,prediction
1,1:TRUE,1:TRUE,,0.99
2,1:TRUE,1:TRUE,,0.84
3,2:FALSE,2:FALSE,,0.63
4,1:TRUE,2:FALSE,+,0.67
5,2:FALSE,2:FALSE,,0.62
6,1:TRUE,1:TRUE,,1
7,2:FALSE,2:FALSE,,0.53
8,2:FALSE,2:FALSE,,0.94
9,1:TRUE,1:TRUE,,0.53
10,1:TRUE,1:TRUE,,0.81
11,2:FALSE,2:FALSE,,0.7
12,1:TRUE,1:TRUE,,0.54
13,2:FALSE,2:FALSE,,0.94
14,1:TRUE,1:TRUE,,0.95
15,2:FALSE,1:TRUE,+,0.91
16,2:FALSE,1:TRUE,+,0.55
17,1:TRUE,1:TRUE,,0.9
18,2:FALSE,1:TRUE,+,0.65
19,1:TRUE,1:TRUE,,0.95
20,2:FALSE,1:TRUE,+,0.99
21,1:TRUE,1:TRUE,,0.67
22,1:TRUE,1:TRUE,,0.98
23,1:TRUE,1:TRUE,,0.92
24,2:FALSE,1:TRUE,+,0.95
25,2:FALSE,1:TRUE,+,0.87
26,1:TRUE,1:TRUE,,0.79
27,1:TRUE,1:TRUE,,0.56
28,2:FALSE,2:FALSE,,0.55
29,1:TRUE,1:TRUE,,0.83
30,1:TRUE,1:TRUE,,0.92
31,1:TRUE,1:TRUE,,0.65
32,2:FALSE,1:TRUE,+,0.57
33,1:TRUE,2:FALSE,+,0.56
34,1:TRUE,1:TRUE,,0.84
35,1:TRUE,1:TRUE,,0.69
36,1:TRUE,1:TRUE,,0.89
37,1:TRUE,1:TRUE,,0.85
38,1:TRUE,2:FALSE,+,0.52
39,1:TRUE,1:TRUE,,0.6
40,1:TRUE,1:TRUE,,0.69
41,2:FALSE,1:TRUE,+,0.86
42,1:TRUE,1:TRUE,,0.82
43,1:TRUE,1:TRUE,,0.94
44,2:FALSE,1:TRUE,+,0.95
45,1:TRUE,1:TRUE,,0.98
46,1:TRUE,1:TRUE,,0.85
47,1:TRUE,1:TRUE,,0.91
48,2:FALSE,1:TRUE,+,0.75
49,2:FALSE,1:TRUE,+,0.85
50,1:TRUE,1:TRUE,,0.81
51,1:TRUE,1:TRUE,,0.7
52,2:FALSE,1:TRUE,+,0.5
53,1:TRUE,2:FALSE,+,0.51
54,2:FALSE,1:TRUE,+,0.72
55,2:FALSE,1:TRUE,+,0.61
56,2:FALSE,1:TRUE,+,0.89
57,2:FALSE,2:FALSE,,0.87
58,1:TRUE,1:TRUE,,0.62
59,1:TRUE,1:TRUE,,0.63
60,1:TRUE,1:TRUE,,0.54
61,2:FALSE,1:TRUE,+,0.51
62,2:FALSE,2:FALSE,,0.76
63,1:TRUE,1:TRUE,,0.85
64,1:TRUE,1:TRUE,,1
65,1:TRUE,2:FALSE,+,0.68
66,2:FALSE,2:FALSE,,0.75
67,1:TRUE,1:TRUE,,0.95
68,1:TRUE,1:TRUE,,0.78
69,2:FALSE,1:TRUE,+,0.76
70,2:FALSE,2:FALSE,,0.6
71,2:FALSE,1:TRUE,+,0.62
72,1:TRUE,2:FALSE,+,0.51
73,1:TRUE,1:TRUE,,0.65
74,1:TRUE,1:TRUE,,0.9
75,2:FALSE,1:TRUE,+,0.6
76,1:TRUE,1:TRUE,,0.59
77,2:FALSE,2:FALSE,,0.9
78,1:TRUE,1:TRUE,,1
79,2:FALSE,1:TRUE,+,0.84
80,1:TRUE,1:TRUE,,0.84
81,1:TRUE,1:TRUE,,0.89
82,2:FALSE,2:FALSE,,0.59
83,2:FALSE,1:TRUE,+,0.69
84,2:FALSE,1:TRUE,+,0.81
85,2:FALSE,1:TRUE,+,0.62
86,2:FALSE,2:FALSE,,0.67
87,1:TRUE,1:TRUE,,0.51
88,2:FALSE,2:FALSE,,0.8
89,1:TRUE,1:TRUE,,0.68
90,2:FALSE,1:TRUE,+,0.69
91,2:FALSE,2:FALSE,,0.995
92,1:TRUE,1:TRUE,,0.85
93,2:FALSE,1:TRUE,+,0.94
94,2:FALSE,2:FALSE,,0.53
95,2:FALSE,2:FALSE,,1
96,2:FALSE,2:FALSE,,1
97,2:FALSE,2:FALSE,,1
98,1:TRUE,1:TRUE,,0.97
99,1:TRUE,1:TRUE,,0.97
100,2:FALSE,2:FALSE,,0.67
101,2:FALSE,2:FALSE,,0.65
102,2:FALSE,1:TRUE,+,0.8
103,2:FALSE,1:TRUE,+,0.53
104,2:FALSE,1:TRUE,+,0.77
105,1:TRUE,2:FALSE,+,0.55
106,2:FALSE,2:FALSE,,1
107,2:FALSE,2:FALSE,,0.55
108,2:FALSE,1:TRUE,+,0.69
109,2:FALSE,2:FALSE,,1
110,2:FALSE,1:TRUE,+,0.66
111,1:TRUE,1:TRUE,,0.88
112,1:TRUE,1:TRUE,,0.94
113,2:FALSE,1:TRUE,+,0.63
114,1:TRUE,1:TRUE,,0.92
115,2:FALSE,1:TRUE,+,0.73
116,1:TRUE,1:TRUE,,0.86
117,1:TRUE,1:TRUE,,0.59
118,1:TRUE,1:TRUE,,0.76
119,2:FALSE,1:TRUE,+,0.86
120,2:FALSE,2:FALSE,,0.54
121,2:FALSE,1:TRUE,+,0.86
122,1:TRUE,1:TRUE,,0.75
123,1:TRUE,1:TRUE,,0.96
124,1:TRUE,1:TRUE,,0.99
125,1:TRUE,1:TRUE,,0.6
126,1:TRUE,1:TRUE,,0.99
127,2:FALSE,1:TRUE,+,0.61
128,2:FALSE,2:FALSE,,0.91
129,1:TRUE,1:TRUE,,0.9
130,1:TRUE,1:TRUE,,0.66
131,2:FALSE,1:TRUE,+,0.83
132,2:FALSE,1:TRUE,+,0.8
133,1:TRUE,1:TRUE,,0.96
134,2:FALSE,1:TRUE,+,0.88
135,2:FALSE,2:FALSE,,0.7
136,1:TRUE,1:TRUE,,0.68
137,1:TRUE,2:FALSE,+,0.53
138,2:FALSE,2:FALSE,,0.65
139,1:TRUE,1:TRUE,,0.94
140,1:TRUE,1:TRUE,,0.93
141,1:TRUE,1:TRUE,,0.91
142,2:FALSE,2:FALSE,,0.58
143,1:TRUE,1:TRUE,,0.99
144,2:FALSE,1:TRUE,+,0.91
145,2:FALSE,1:TRUE,+,0.78
146,2:FALSE,1:TRUE,+,0.95
147,2:FALSE,1:TRUE,+,0.53
148,1:TRUE,1:TRUE,,1
149,2:FALSE,1:TRUE,+,0.57
150,1:TRUE,1:TRUE,,0.99
151,1:TRUE,1:TRUE,,1
152,1:TRUE,1:TRUE,,0.93
153,1:TRUE,1:TRUE,,0.89
154,2:FALSE,1:TRUE,+,0.66
155,1:TRUE,1:TRUE,,0.71
156,1:TRUE,1:TRUE,,0.99
157,2:FALSE,1:TRUE,+,0.98
158,2:FALSE,1:TRUE,+,0.55
159,1:TRUE,1:TRUE,,0.93
160,1:TRUE,1:TRUE,,0.88
161,2:FALSE,1:TRUE,+,0.86
162,1:TRUE,1:TRUE,,1
163,2:FALSE,1:TRUE,+,0.78
164,1:TRUE,1:TRUE,,0.95
165,2:FALSE,2:FALSE,,0.99
166,1:TRUE,1:TRUE,,0.65
167,2:FALSE,2:FALSE,,0.75
168,2:FALSE,1:TRUE,+,0.61
169,1:TRUE,1:TRUE,,0.7
170,2:FALSE,1:TRUE,+,0.76
171,1:TRUE,1:TRUE,,0.87
172,1:TRUE,1:TRUE,,0.74
173,1:TRUE,1:TRUE,,0.88
174,1:TRUE,1:TRUE,,0.95
175,2:FALSE,2:FALSE,,0.59
176,1:TRUE,1:TRUE,,0.57
177,1:TRUE,1:TRUE,,0.85
178,2:FALSE,2:FALSE,,0.65
179,1:TRUE,1:TRUE,,0.82
180,2:FALSE,1:TRUE,+,0.75
181,2:FALSE,2:FALSE,,0.53
182,1:TRUE,1:TRUE,,0.97
183,2:FALSE,1:TRUE,+,0.79
184,2:FALSE,2:FALSE,,0.75
185,2:FALSE,1:TRUE,+,0.62
186,2:FALSE,1:TRUE,+,0.83
187,2:FALSE,2:FALSE,,0.99
188,2:FALSE,2:FALSE,,0.984
189,2:FALSE,2:FALSE,,0.99
190,2:FALSE,2:FALSE,,1
191,2:FALSE,2:FALSE,,1
192,1:TRUE,1:TRUE,,0.95
193,2:FALSE,2:FALSE,,0.99
194,2:FALSE,2:FALSE,,1
195,2:FALSE,2:FALSE,,0.998
196,2:FALSE,2:FALSE,,1
197,1:TRUE,1:TRUE,,1
198,2:FALSE,2:FALSE,,1
199,1:TRUE,1:TRUE,,0.91
200,2:FALSE,2:FALSE,,1
201,2:FALSE,2:FALSE,,0.71
202,2:FALSE,1:TRUE,+,0.51
203,2:FALSE,1:TRUE,+,0.6
204,2:FALSE,2:FALSE,,0.6
205,2:FALSE,2:FALSE,,0.59
206,1:TRUE,2:FALSE,+,0.64
207,2:FALSE,1:TRUE,+,0.75
208,1:TRUE,1:TRUE,,1
209,1:TRUE,1:TRUE,,0.81
210,1:TRUE,1:TRUE,,0.94
211,1:TRUE,1:TRUE,,0.89
212,1:TRUE,1:TRUE,,0.99
213,2:FALSE,1:TRUE,+,0.74
214,2:FALSE,1:TRUE,+,0.87
215,2:FALSE,2:FALSE,,0.59
216,1:TRUE,1:TRUE,,1
217,2:FALSE,1:TRUE,+,0.97
218,2:FALSE,1:TRUE,+,0.8
219,2:FALSE,1:TRUE,+,0.63
220,1:TRUE,2:FALSE,+,0.82
221,2:FALSE,1:TRUE,+,0.78
222,1:TRUE,1:TRUE,,0.93
223,2:FALSE,1:TRUE,+,0.77
224,2:FALSE,2:FALSE,,0.99
225,2:FALSE,2:FALSE,,0.994
226,2:FALSE,2:FALSE,,0.74
227,1:TRUE,1:TRUE,,0.78
228,2:FALSE,2:FALSE,,0.985
229,1:TRUE,2:FALSE,+,0.66
230,2:FALSE,1:TRUE,+,0.96
231,2:FALSE,1:TRUE,+,0.8
232,1:TRUE,1:TRUE,,0.96
233,1:TRUE,1:TRUE,,0.54
234,2:FALSE,1:TRUE,+,0.53
235,2:FALSE,2:FALSE,,0.74
236,1:TRUE,1:TRUE,,0.95
237,2:FALSE,1:TRUE,+,0.88
238,1:TRUE,1:TRUE,,0.86
239,1:TRUE,1:TRUE,,0.98
240,2:FALSE,1:TRUE,+,0.92
241,1:TRUE,1:TRUE,,0.53
242,2:FALSE,2:FALSE,,0.68
243,2:FALSE,2:FALSE,,0.72
244,2:FALSE,2:FALSE,,0.74
245,1:TRUE,2:FALSE,+,0.52
246,2:FALSE,1:TRUE,+,0.62
247,2:FALSE,1:TRUE,+,0.69
248,1:TRUE,1:TRUE,,0.62
249,1:TRUE,1:TRUE,,0.68
250,2:FALSE,2:FALSE,,0.57
251,1:TRUE,1:TRUE,,0.94
252,2:FALSE,1:TRUE,+,0.52
253,2:FALSE,1:TRUE,+,0.84
254,2:FALSE,1:TRUE,+,0.69
255,2:FALSE,1:TRUE,+,0.68
256,2:FALSE,1:TRUE,+,0.64
257,1:TRUE,1:TRUE,,0.94
258,2:FALSE,1:TRUE,+,0.62
259,1:TRUE,1:TRUE,,1
260,1:TRUE,1:TRUE,,0.83
261,2:FALSE,1:TRUE,+,0.74
262,1:TRUE,1:TRUE,,0.96
263,2:FALSE,1:TRUE,+,0.82
264,1:TRUE,1:TRUE,,1
265,2:FALSE,2:FALSE,,0.98
266,2:FALSE,2:FALSE,,0.81
267,2:FALSE,2:FALSE,,1
268,1:TRUE,1:TRUE,,1
269,1:TRUE,1:TRUE,,0.89
270,1:TRUE,2:FALSE,+,0.52
271,1:TRUE,1:TRUE,,0.84
272,2:FALSE,1:TRUE,+,0.65
273,1:TRUE,1:TRUE,,0.56
274,2:FALSE,1:TRUE,+,0.73
275,1:TRUE,1:TRUE,,0.93
276,2:FALSE,1:TRUE,+,0.95
277,2:FALSE,1:TRUE,+,0.69
278,2:FALSE,2:FALSE,,0.55
279,1:TRUE,1:TRUE,,0.87
280,1:TRUE,1:TRUE,,0.81
281,2:FALSE,1:TRUE,+,0.54
282,2:FALSE,1:TRUE,+,0.64
