inst#,actual,predicted,error,prediction
1,1:TRUE,1:TRUE,,1
2,1:TRUE,1:TRUE,,1
3,1:TRUE,1:TRUE,,1
4,2:FALSE,2:FALSE,,1
5,2:FALSE,2:FALSE,,1
6,2:FALSE,1:TRUE,+,1
7,1:TRUE,1:TRUE,,1
8,1:TRUE,1:TRUE,,1
9,2:FALSE,1:TRUE,+,1
10,1:TRUE,1:TRUE,,1
11,2:FALSE,1:TRUE,+,1
12,1:TRUE,1:TRUE,,1
13,2:FALSE,2:FALSE,,1
14,2:FALSE,1:TRUE,+,1
15,1:TRUE,1:TRUE,,1
16,2:FALSE,1:TRUE,+,1
17,2:FALSE,2:FALSE,,1
18,2:FALSE,2:FALSE,,1
19,2:FALSE,2:FALSE,,1
20,2:FALSE,1:TRUE,+,1
21,2:FALSE,2:FALSE,,1
22,2:FALSE,2:FALSE,,1
23,2:FALSE,1:TRUE,+,1
24,2:FALSE,2:FALSE,,1
25,2:FALSE,2:FALSE,,1
26,2:FALSE,1:TRUE,+,1
27,2:FALSE,1:TRUE,+,1
28,2:FALSE,2:FALSE,,1
29,2:FALSE,2:FALSE,,1
30,2:FALSE,2:FALSE,,1
31,2:FALSE,2:FALSE,,1
32,2:FALSE,2:FALSE,,1
33,2:FALSE,2:FALSE,,1
34,2:FALSE,2:FALSE,,1
35,2:FALSE,2:FALSE,,1
36,2:FALSE,2:FALSE,,1
37,2:FALSE,2:FALSE,,1
38,2:FALSE,2:FALSE,,1
39,2:FALSE,2:FALSE,,1
40,1:TRUE,1:TRUE,,1
41,2:FALSE,2:FALSE,,1
42,2:FALSE,2:FALSE,,1
43,2:FALSE,2:FALSE,,1
44,2:FALSE,2:FALSE,,1
45,2:FALSE,2:FALSE,,1
46,2:FALSE,2:FALSE,,1
47,1:TRUE,1:TRUE,,1
48,2:FALSE,2:FALSE,,1
49,2:FALSE,2:FALSE,,1
50,2:FALSE,2:FALSE,,1
51,1:TRUE,1:TRUE,,1
52,2:FALSE,2:FALSE,,1
53,1:TRUE,1:TRUE,,1
54,2:FALSE,1:TRUE,+,1
55,2:FALSE,1:TRUE,+,1
56,1:TRUE,1:TRUE,,1
57,2:FALSE,1:TRUE,+,1
58,2:FALSE,1:TRUE,+,1
59,1:TRUE,1:TRUE,,1
60,2:FALSE,2:FALSE,,1
61,1:TRUE,1:TRUE,,1
