inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,1
2,1:TRUE,1:TRUE,,0.93
3,2:FALSE,2:FALSE,,0.78
4,2:FALSE,2:FALSE,,1
5,1:TRUE,1:TRUE,,0.66
6,1:TRUE,1:TRUE,,0.92
7,1:TRUE,2:FALSE,+,0.73
8,2:FALSE,2:FALSE,,1
9,2:FALSE,2:FALSE,,0.98
10,2:FALSE,2:FALSE,,1
11,1:TRUE,1:TRUE,,0.88
12,1:TRUE,1:TRUE,,0.97
13,2:FALSE,2:FALSE,,0.79
14,1:TRUE,1:TRUE,,0.83
15,1:TRUE,1:TRUE,,0.72
16,1:TRUE,1:TRUE,,0.79
17,1:TRUE,1:TRUE,,0.91
18,2:FALSE,1:TRUE,+,0.63
19,1:TRUE,1:TRUE,,0.69
20,1:TRUE,1:TRUE,,0.98
21,1:TRUE,2:FALSE,+,0.67
22,1:TRUE,1:TRUE,,0.84
23,2:FALSE,2:FALSE,,0.54
24,1:TRUE,1:TRUE,,0.98
25,2:FALSE,2:FALSE,,0.57
26,1:TRUE,1:TRUE,,0.82
27,1:TRUE,1:TRUE,,0.85
28,2:FALSE,2:FALSE,,0.53
29,1:TRUE,1:TRUE,,0.64
30,2:FALSE,1:TRUE,+,0.68
31,2:FALSE,2:FALSE,,0.52
32,2:FALSE,1:TRUE,+,0.53
33,2:FALSE,2:FALSE,,0.79
34,1:TRUE,2:FALSE,+,0.51
35,1:TRUE,1:TRUE,,0.84
36,1:TRUE,1:TRUE,,0.84
37,1:TRUE,1:TRUE,,0.71
38,2:FALSE,1:TRUE,+,0.5
39,1:TRUE,1:TRUE,,0.87
40,1:TRUE,2:FALSE,+,0.52
41,2:FALSE,2:FALSE,,0.94
42,1:TRUE,1:TRUE,,0.51
43,2:FALSE,1:TRUE,+,0.72
44,2:FALSE,2:FALSE,,0.51
45,1:TRUE,2:FALSE,+,0.83
46,2:FALSE,2:FALSE,,0.61
47,1:TRUE,2:FALSE,+,0.68
48,2:FALSE,1:TRUE,+,0.62
49,1:TRUE,1:TRUE,,0.91
50,2:FALSE,1:TRUE,+,0.78
51,2:FALSE,1:TRUE,+,0.74
52,2:FALSE,2:FALSE,,0.96
53,2:FALSE,1:TRUE,+,0.79
54,2:FALSE,1:TRUE,+,0.7
55,2:FALSE,1:TRUE,+,0.82
56,1:TRUE,2:FALSE,+,0.73
57,2:FALSE,2:FALSE,,0.71
58,2:FALSE,2:FALSE,,0.56
59,2:FALSE,1:TRUE,+,0.5
60,2:FALSE,2:FALSE,,0.56
61,1:TRUE,1:TRUE,,0.92
62,2:FALSE,2:FALSE,,0.72
63,2:FALSE,2:FALSE,,0.7
64,2:FALSE,1:TRUE,+,0.55
65,2:FALSE,2:FALSE,,0.57
66,2:FALSE,2:FALSE,,0.7
67,2:FALSE,2:FALSE,,0.92
68,1:TRUE,2:FALSE,+,0.59
69,2:FALSE,1:TRUE,+,0.58
70,1:TRUE,1:TRUE,,0.68
71,1:TRUE,1:TRUE,,0.86
72,2:FALSE,2:FALSE,,1
73,2:FALSE,2:FALSE,,0.54
74,2:FALSE,2:FALSE,,0.63
75,1:TRUE,2:FALSE,+,0.54
76,1:TRUE,2:FALSE,+,0.52
77,2:FALSE,1:TRUE,+,0.52
78,2:FALSE,2:FALSE,,1
79,2:FALSE,2:FALSE,,1
80,1:TRUE,1:TRUE,,0.82
81,1:TRUE,1:TRUE,,0.9
82,2:FALSE,2:FALSE,,0.58
83,2:FALSE,1:TRUE,+,0.65
84,1:TRUE,1:TRUE,,0.7
85,2:FALSE,1:TRUE,+,0.69
86,1:TRUE,1:TRUE,,0.89
87,1:TRUE,1:TRUE,,0.67
88,1:TRUE,1:TRUE,,0.56
89,1:TRUE,1:TRUE,,0.96
90,2:FALSE,2:FALSE,,0.85
91,2:FALSE,2:FALSE,,0.72
92,2:FALSE,1:TRUE,+,0.69
93,2:FALSE,2:FALSE,,1
94,1:TRUE,1:TRUE,,0.9
95,1:TRUE,1:TRUE,,0.52
96,1:TRUE,1:TRUE,,0.99
97,2:FALSE,1:TRUE,+,0.76
98,1:TRUE,1:TRUE,,0.71
99,1:TRUE,1:TRUE,,0.95
100,1:TRUE,1:TRUE,,0.93
101,2:FALSE,1:TRUE,+,0.76
102,1:TRUE,1:TRUE,,0.99
103,1:TRUE,2:FALSE,+,0.6
104,1:TRUE,1:TRUE,,0.65
105,1:TRUE,1:TRUE,,0.78
106,2:FALSE,2:FALSE,,0.71
107,1:TRUE,1:TRUE,,0.63
108,1:TRUE,1:TRUE,,0.7
109,1:TRUE,1:TRUE,,0.61
110,1:TRUE,1:TRUE,,0.59
111,1:TRUE,1:TRUE,,0.78
112,2:FALSE,1:TRUE,+,0.55
113,2:FALSE,1:TRUE,+,0.59
114,1:TRUE,1:TRUE,,0.78
115,2:FALSE,2:FALSE,,0.68
116,2:FALSE,2:FALSE,,0.56
117,2:FALSE,1:TRUE,+,0.63
118,2:FALSE,2:FALSE,,1
119,1:TRUE,1:TRUE,,0.83
120,1:TRUE,1:TRUE,,0.53
121,2:FALSE,2:FALSE,,1
122,2:FALSE,2:FALSE,,1
123,1:TRUE,1:TRUE,,0.64
124,1:TRUE,1:TRUE,,0.75
125,1:TRUE,1:TRUE,,0.96
126,1:TRUE,1:TRUE,,0.97
127,1:TRUE,1:TRUE,,0.81
128,2:FALSE,1:TRUE,+,0.79
129,2:FALSE,2:FALSE,,1
130,1:TRUE,2:FALSE,+,0.64
131,2:FALSE,2:FALSE,,1
132,1:TRUE,1:TRUE,,0.69
133,2:FALSE,2:FALSE,,1
134,2:FALSE,2:FALSE,,0.66
135,1:TRUE,1:TRUE,,0.79
136,2:FALSE,2:FALSE,,1
137,1:TRUE,1:TRUE,,0.82
138,1:TRUE,1:TRUE,,0.59
139,2:FALSE,1:TRUE,+,0.88
140,1:TRUE,1:TRUE,,0.9
141,1:TRUE,2:FALSE,+,0.53
142,1:TRUE,1:TRUE,,0.82
143,1:TRUE,1:TRUE,,0.76
144,2:FALSE,2:FALSE,,0.78
145,2:FALSE,2:FALSE,,0.83
146,1:TRUE,2:FALSE,+,0.81
147,1:TRUE,1:TRUE,,0.77
148,1:TRUE,1:TRUE,,0.74
149,1:TRUE,1:TRUE,,0.88
150,2:FALSE,2:FALSE,,0.64
151,2:FALSE,2:FALSE,,1
152,2:FALSE,2:FALSE,,1
153,1:TRUE,1:TRUE,,0.94
154,2:FALSE,2:FALSE,,1
155,2:FALSE,2:FALSE,,1
156,2:FALSE,2:FALSE,,1
157,2:FALSE,2:FALSE,,1
158,2:FALSE,2:FALSE,,1
159,2:FALSE,2:FALSE,,1
160,1:TRUE,1:TRUE,,0.56
161,1:TRUE,1:TRUE,,0.94
162,1:TRUE,1:TRUE,,0.93
163,1:TRUE,1:TRUE,,0.67
164,1:TRUE,1:TRUE,,0.62
165,1:TRUE,1:TRUE,,0.91
166,1:TRUE,1:TRUE,,0.58
167,2:FALSE,2:FALSE,,1
168,1:TRUE,1:TRUE,,1
169,1:TRUE,1:TRUE,,1
170,2:FALSE,2:FALSE,,1
171,1:TRUE,1:TRUE,,0.67
172,2:FALSE,2:FALSE,,0.99
173,2:FALSE,2:FALSE,,1
174,2:FALSE,2:FALSE,,0.54
175,2:FALSE,2:FALSE,,1
176,1:TRUE,1:TRUE,,0.72
177,2:FALSE,2:FALSE,,1
178,2:FALSE,2:FALSE,,1
179,2:FALSE,2:FALSE,,1
180,1:TRUE,1:TRUE,,0.82
181,1:TRUE,1:TRUE,,0.54
182,1:TRUE,1:TRUE,,1
183,1:TRUE,1:TRUE,,1
184,1:TRUE,1:TRUE,,0.58
185,1:TRUE,1:TRUE,,0.71
186,2:FALSE,2:FALSE,,0.78
187,2:FALSE,1:TRUE,+,0.51
188,1:TRUE,1:TRUE,,0.99
189,2:FALSE,2:FALSE,,0.65
190,1:TRUE,2:FALSE,+,0.77
191,2:FALSE,2:FALSE,,0.57
192,2:FALSE,1:TRUE,+,0.7
193,1:TRUE,1:TRUE,,0.97
194,1:TRUE,2:FALSE,+,0.65
195,2:FALSE,2:FALSE,,0.64
196,1:TRUE,1:TRUE,,0.5
197,1:TRUE,1:TRUE,,0.54
198,1:TRUE,1:TRUE,,0.61
199,1:TRUE,1:TRUE,,0.53
200,1:TRUE,1:TRUE,,0.62
201,1:TRUE,1:TRUE,,0.53
202,2:FALSE,2:FALSE,,0.72
203,2:FALSE,1:TRUE,+,0.66
204,2:FALSE,1:TRUE,+,0.79
205,2:FALSE,2:FALSE,,0.86
206,1:TRUE,2:FALSE,+,0.61
207,2:FALSE,2:FALSE,,1
208,2:FALSE,2:FALSE,,1
209,1:TRUE,1:TRUE,,0.73
210,2:FALSE,2:FALSE,,1
211,2:FALSE,2:FALSE,,0.89
212,2:FALSE,2:FALSE,,0.61
213,1:TRUE,1:TRUE,,0.74
214,2:FALSE,2:FALSE,,1
215,1:TRUE,1:TRUE,,0.57
216,1:TRUE,1:TRUE,,0.51
217,2:FALSE,2:FALSE,,0.63
218,1:TRUE,1:TRUE,,0.99
219,1:TRUE,1:TRUE,,0.6
220,1:TRUE,1:TRUE,,0.97
221,2:FALSE,2:FALSE,,0.69
222,2:FALSE,1:TRUE,+,0.58
223,2:FALSE,1:TRUE,+,0.62
224,1:TRUE,1:TRUE,,0.95
225,1:TRUE,1:TRUE,,0.63
226,1:TRUE,2:FALSE,+,0.51
227,2:FALSE,1:TRUE,+,0.53
228,2:FALSE,2:FALSE,,1
229,1:TRUE,1:TRUE,,0.67
230,1:TRUE,1:TRUE,,0.52
231,2:FALSE,1:TRUE,+,0.62
232,1:TRUE,1:TRUE,,0.84
233,2:FALSE,2:FALSE,,0.84
234,2:FALSE,2:FALSE,,0.79
235,1:TRUE,1:TRUE,,0.55
236,1:TRUE,2:FALSE,+,0.72
237,2:FALSE,2:FALSE,,0.68
238,2:FALSE,2:FALSE,,0.89
239,2:FALSE,1:TRUE,+,0.71
240,1:TRUE,1:TRUE,,0.79
241,2:FALSE,2:FALSE,,0.85
242,1:TRUE,1:TRUE,,0.64
243,2:FALSE,1:TRUE,+,0.72
244,2:FALSE,2:FALSE,,1
245,2:FALSE,2:FALSE,,1
246,2:FALSE,2:FALSE,,1
247,1:TRUE,2:FALSE,+,0.69
248,2:FALSE,2:FALSE,,0.64
249,2:FALSE,2:FALSE,,0.65
250,1:TRUE,1:TRUE,,0.87
251,2:FALSE,2:FALSE,,0.55
252,1:TRUE,1:TRUE,,0.78
253,1:TRUE,1:TRUE,,0.87
254,1:TRUE,1:TRUE,,0.96
255,2:FALSE,2:FALSE,,0.8
256,1:TRUE,1:TRUE,,0.83
257,2:FALSE,2:FALSE,,0.76
258,1:TRUE,2:FALSE,+,0.65
259,1:TRUE,2:FALSE,+,0.58
260,2:FALSE,1:TRUE,+,0.85
261,2:FALSE,2:FALSE,,0.58
262,2:FALSE,2:FALSE,,1
263,2:FALSE,2:FALSE,,0.98
264,1:TRUE,2:FALSE,+,0.79
265,1:TRUE,1:TRUE,,0.89
266,1:TRUE,1:TRUE,,0.58
267,1:TRUE,1:TRUE,,0.94
268,1:TRUE,1:TRUE,,0.63
269,2:FALSE,2:FALSE,,0.91
270,2:FALSE,2:FALSE,,0.55
271,1:TRUE,1:TRUE,,0.84
272,1:TRUE,1:TRUE,,0.82
273,1:TRUE,1:TRUE,,0.84
274,1:TRUE,1:TRUE,,0.97
275,2:FALSE,1:TRUE,+,0.65
276,1:TRUE,1:TRUE,,0.97
277,1:TRUE,1:TRUE,,0.65
278,2:FALSE,2:FALSE,,0.51
279,1:TRUE,1:TRUE,,0.55
280,1:TRUE,2:FALSE,+,0.7
281,1:TRUE,1:TRUE,,0.87
282,2:FALSE,2:FALSE,,0.67
283,2:FALSE,1:TRUE,+,0.63
284,1:TRUE,1:TRUE,,0.7
285,2:FALSE,2:FALSE,,1
286,2:FALSE,2:FALSE,,1
287,2:FALSE,2:FALSE,,0.68
288,2:FALSE,2:FALSE,,0.99
289,2:FALSE,2:FALSE,,1
290,2:FALSE,2:FALSE,,1
291,2:FALSE,2:FALSE,,1
292,2:FALSE,2:FALSE,,1
293,1:TRUE,1:TRUE,,0.55
294,1:TRUE,1:TRUE,,0.89
295,1:TRUE,2:FALSE,+,0.63
296,2:FALSE,2:FALSE,,1
297,2:FALSE,2:FALSE,,1
298,2:FALSE,2:FALSE,,1
299,2:FALSE,2:FALSE,,1
300,1:TRUE,1:TRUE,,0.87
301,1:TRUE,2:FALSE,+,0.59
302,1:TRUE,1:TRUE,,0.57
303,1:TRUE,1:TRUE,,0.8
304,2:FALSE,2:FALSE,,0.72
305,1:TRUE,1:TRUE,,0.99
306,2:FALSE,1:TRUE,+,0.85
307,1:TRUE,1:TRUE,,0.99
308,1:TRUE,1:TRUE,,0.74
309,1:TRUE,1:TRUE,,0.55
310,1:TRUE,1:TRUE,,0.96
311,2:FALSE,1:TRUE,+,0.8
312,1:TRUE,1:TRUE,,0.76
313,1:TRUE,1:TRUE,,0.83
314,2:FALSE,2:FALSE,,0.71
315,2:FALSE,1:TRUE,+,0.77
316,1:TRUE,1:TRUE,,0.88
317,2:FALSE,1:TRUE,+,0.67
318,1:TRUE,1:TRUE,,0.59
319,2:FALSE,2:FALSE,,0.83
320,2:FALSE,2:FALSE,,0.95
321,1:TRUE,1:TRUE,,0.93
322,1:TRUE,2:FALSE,+,0.66
323,1:TRUE,1:TRUE,,0.86
324,1:TRUE,1:TRUE,,0.75
325,2:FALSE,2:FALSE,,0.9
326,2:FALSE,2:FALSE,,0.6
327,1:TRUE,1:TRUE,,0.89
328,2:FALSE,2:FALSE,,0.95
329,2:FALSE,2:FALSE,,0.79
330,2:FALSE,2:FALSE,,0.51
331,2:FALSE,2:FALSE,,0.53
332,2:FALSE,1:TRUE,+,0.83
333,2:FALSE,1:TRUE,+,0.78
334,1:TRUE,1:TRUE,,0.71
335,1:TRUE,1:TRUE,,0.73
336,2:FALSE,2:FALSE,,0.82
337,1:TRUE,1:TRUE,,0.82
338,1:TRUE,2:FALSE,+,0.68
339,1:TRUE,2:FALSE,+,0.83
340,1:TRUE,1:TRUE,,0.91
341,1:TRUE,1:TRUE,,0.75
342,2:FALSE,1:TRUE,+,0.53
343,1:TRUE,1:TRUE,,0.54
344,1:TRUE,1:TRUE,,0.86
345,1:TRUE,1:TRUE,,0.59
346,2:FALSE,1:TRUE,+,0.51
