inst#,actual,predicted,error,prediction
1,2:FALSE,2:FALSE,,1
2,2:FALSE,2:FALSE,,1
3,2:FALSE,2:FALSE,,1
4,2:FALSE,2:FALSE,,1
5,2:FALSE,2:FALSE,,1
6,2:FALSE,2:FALSE,,1
7,2:FALSE,2:FALSE,,0.99
8,2:FALSE,2:FALSE,,1
9,2:FALSE,2:FALSE,,1
10,2:FALSE,2:FALSE,,1
11,2:FALSE,2:FALSE,,0.99
12,2:FALSE,2:FALSE,,1
13,2:FALSE,2:FALSE,,1
14,2:FALSE,2:FALSE,,1
15,2:FALSE,2:FALSE,,1
16,1:TRUE,1:TRUE,,0.85
17,1:TRUE,1:TRUE,,0.76
18,1:TRUE,1:TRUE,,1
19,1:TRUE,1:TRUE,,0.86
20,2:FALSE,2:FALSE,,0.68
21,1:TRUE,1:TRUE,,0.58
22,1:TRUE,1:TRUE,,0.95
23,2:FALSE,1:TRUE,+,0.89
24,1:TRUE,1:TRUE,,0.65
25,1:TRUE,1:TRUE,,0.91
26,1:TRUE,1:TRUE,,1
27,1:TRUE,1:TRUE,,0.82
28,1:TRUE,1:TRUE,,0.94
29,1:TRUE,1:TRUE,,0.63
30,1:TRUE,1:TRUE,,0.71
31,2:FALSE,2:FALSE,,0.52
32,1:TRUE,1:TRUE,,0.79
33,1:TRUE,1:TRUE,,0.66
34,1:TRUE,1:TRUE,,0.92
35,1:TRUE,1:TRUE,,0.91
36,1:TRUE,1:TRUE,,0.78
37,1:TRUE,1:TRUE,,0.75
38,2:FALSE,1:TRUE,+,0.71
39,1:TRUE,1:TRUE,,0.67
40,2:FALSE,2:FALSE,,0.61
41,2:FALSE,2:FALSE,,0.55
42,2:FALSE,2:FALSE,,0.62
43,2:FALSE,2:FALSE,,0.79
44,2:FALSE,1:TRUE,+,0.62
45,1:TRUE,1:TRUE,,0.9
46,1:TRUE,1:TRUE,,0.99
47,1:TRUE,1:TRUE,,0.94
48,1:TRUE,1:TRUE,,0.96
49,1:TRUE,1:TRUE,,0.71
50,2:FALSE,1:TRUE,+,0.96
51,1:TRUE,1:TRUE,,0.77
52,1:TRUE,1:TRUE,,0.99
53,1:TRUE,1:TRUE,,0.84
54,1:TRUE,1:TRUE,,0.9
55,1:TRUE,1:TRUE,,0.83
56,1:TRUE,1:TRUE,,0.87
57,2:FALSE,1:TRUE,+,0.81
58,1:TRUE,1:TRUE,,0.97
59,1:TRUE,1:TRUE,,0.75
60,1:TRUE,1:TRUE,,0.99
61,1:TRUE,1:TRUE,,0.92
62,1:TRUE,1:TRUE,,0.9
63,1:TRUE,1:TRUE,,0.94
64,1:TRUE,1:TRUE,,0.95
65,1:TRUE,1:TRUE,,0.94
66,1:TRUE,1:TRUE,,1
67,1:TRUE,1:TRUE,,1
68,1:TRUE,1:TRUE,,0.84
69,1:TRUE,1:TRUE,,0.83
70,1:TRUE,1:TRUE,,1
71,1:TRUE,1:TRUE,,1
72,1:TRUE,1:TRUE,,0.86
73,1:TRUE,1:TRUE,,0.59
74,1:TRUE,1:TRUE,,0.7
75,1:TRUE,1:TRUE,,0.87
76,1:TRUE,2:FALSE,+,0.52
77,1:TRUE,1:TRUE,,0.67
78,2:FALSE,1:TRUE,+,0.58
79,1:TRUE,1:TRUE,,0.9
80,1:TRUE,1:TRUE,,0.97
81,1:TRUE,1:TRUE,,0.9
82,1:TRUE,1:TRUE,,0.72
83,1:TRUE,1:TRUE,,1
84,1:TRUE,1:TRUE,,0.69
85,2:FALSE,1:TRUE,+,0.86
86,2:FALSE,2:FALSE,,1
87,2:FALSE,2:FALSE,,1
88,1:TRUE,1:TRUE,,0.5
89,1:TRUE,1:TRUE,,0.84
90,2:FALSE,2:FALSE,,1
91,1:TRUE,1:TRUE,,0.95
92,1:TRUE,1:TRUE,,0.91
93,1:TRUE,1:TRUE,,0.77
94,2:FALSE,2:FALSE,,0.54
95,1:TRUE,1:TRUE,,0.91
96,1:TRUE,1:TRUE,,0.95
97,2:FALSE,2:FALSE,,0.53
98,1:TRUE,1:TRUE,,0.89
99,2:FALSE,1:TRUE,+,0.69
100,1:TRUE,1:TRUE,,0.95
101,1:TRUE,1:TRUE,,1
102,2:FALSE,2:FALSE,,1
103,2:FALSE,2:FALSE,,0.98
104,2:FALSE,2:FALSE,,1
105,2:FALSE,2:FALSE,,0.99
106,2:FALSE,2:FALSE,,1
107,2:FALSE,2:FALSE,,0.61
108,2:FALSE,2:FALSE,,1
109,1:TRUE,1:TRUE,,0.89
110,2:FALSE,2:FALSE,,1
111,2:FALSE,1:TRUE,+,0.93
112,2:FALSE,2:FALSE,,0.99
113,2:FALSE,2:FALSE,,1
