inst#,actual,predicted,error,prediction
1,1:TRUE,1:TRUE,,0.91
2,1:TRUE,1:TRUE,,0.81
3,2:FALSE,1:TRUE,+,0.71
4,1:TRUE,1:TRUE,,1
5,2:FALSE,1:TRUE,+,0.63
6,1:TRUE,1:TRUE,,0.93
7,2:FALSE,1:TRUE,+,0.68
8,2:FALSE,1:TRUE,+,0.72
9,2:FALSE,1:TRUE,+,0.64
10,2:FALSE,1:TRUE,+,0.64
11,1:TRUE,1:TRUE,,0.7
12,1:TRUE,1:TRUE,,0.85
13,2:FALSE,1:TRUE,+,0.63
14,1:TRUE,1:TRUE,,0.76
15,1:TRUE,1:TRUE,,0.96
16,1:TRUE,1:TRUE,,0.88
17,1:TRUE,1:TRUE,,0.88
18,1:TRUE,1:TRUE,,0.86
19,2:FALSE,2:FALSE,,0.75
20,1:TRUE,2:FALSE,+,0.6
21,2:FALSE,1:TRUE,+,0.86
22,1:TRUE,1:TRUE,,0.82
23,2:FALSE,1:TRUE,+,0.62
24,2:FALSE,2:FALSE,,0.85
25,2:FALSE,2:FALSE,,0.78
26,2:FALSE,2:FALSE,,0.67
27,2:FALSE,2:FALSE,,0.72
28,1:TRUE,1:TRUE,,0.96
29,2:FALSE,1:TRUE,+,0.68
30,2:FALSE,2:FALSE,,0.54
31,2:FALSE,1:TRUE,+,0.69
32,2:FALSE,1:TRUE,+,0.64
33,1:TRUE,1:TRUE,,1
34,1:TRUE,1:TRUE,,1
35,2:FALSE,1:TRUE,+,0.83
36,2:FALSE,2:FALSE,,0.9
37,2:FALSE,2:FALSE,,0.77
38,2:FALSE,1:TRUE,+,0.62
39,2:FALSE,2:FALSE,,0.55
40,1:TRUE,2:FALSE,+,0.81
41,2:FALSE,2:FALSE,,0.73
42,1:TRUE,1:TRUE,,0.7
43,2:FALSE,2:FALSE,,0.56
44,1:TRUE,2:FALSE,+,0.53
45,1:TRUE,1:TRUE,,0.74
46,2:FALSE,2:FALSE,,0.87
47,2:FALSE,1:TRUE,+,0.65
48,2:FALSE,2:FALSE,,0.88
49,1:TRUE,2:FALSE,+,0.53
50,2:FALSE,2:FALSE,,0.61
51,1:TRUE,1:TRUE,,0.85
52,1:TRUE,1:TRUE,,0.54
53,2:FALSE,2:FALSE,,0.53
54,2:FALSE,2:FALSE,,0.57
55,2:FALSE,2:FALSE,,0.77
56,1:TRUE,1:TRUE,,0.8
57,2:FALSE,2:FALSE,,0.75
58,1:TRUE,2:FALSE,+,0.65
59,2:FALSE,1:TRUE,+,0.694
60,2:FALSE,1:TRUE,+,0.569
61,1:TRUE,1:TRUE,,0.866
62,1:TRUE,1:TRUE,,0.812
63,2:FALSE,1:TRUE,+,0.586
64,2:FALSE,2:FALSE,,0.607
65,1:TRUE,1:TRUE,,0.692
66,2:FALSE,1:TRUE,+,0.802
67,2:FALSE,2:FALSE,,0.868
68,1:TRUE,1:TRUE,,0.597
69,1:TRUE,1:TRUE,,0.728
70,1:TRUE,1:TRUE,,0.681
71,2:FALSE,2:FALSE,,0.533
72,2:FALSE,1:TRUE,+,0.502
73,2:FALSE,1:TRUE,+,0.765
74,2:FALSE,2:FALSE,,0.55
75,1:TRUE,1:TRUE,,0.55
76,2:FALSE,2:FALSE,,0.78
77,2:FALSE,2:FALSE,,0.62
78,2:FALSE,1:TRUE,+,0.7
79,2:FALSE,2:FALSE,,0.78
80,2:FALSE,1:TRUE,+,0.6
81,2:FALSE,1:TRUE,+,0.95
82,2:FALSE,1:TRUE,+,0.73
83,2:FALSE,2:FALSE,,0.89
84,1:TRUE,1:TRUE,,0.83
85,1:TRUE,1:TRUE,,0.7
86,2:FALSE,1:TRUE,+,0.82
87,2:FALSE,2:FALSE,,0.91
88,2:FALSE,2:FALSE,,0.67
89,2:FALSE,2:FALSE,,0.84
90,1:TRUE,2:FALSE,+,0.86
91,2:FALSE,1:TRUE,+,0.83
92,2:FALSE,2:FALSE,,0.77
93,1:TRUE,2:FALSE,+,0.85
94,2:FALSE,2:FALSE,,0.82
95,2:FALSE,2:FALSE,,0.69
96,2:FALSE,2:FALSE,,0.83
97,1:TRUE,1:TRUE,,0.64
98,2:FALSE,1:TRUE,+,0.72
99,1:TRUE,2:FALSE,+,0.65
100,1:TRUE,1:TRUE,,0.77
101,1:TRUE,1:TRUE,,0.97
102,2:FALSE,1:TRUE,+,0.7
103,1:TRUE,1:TRUE,,0.88
104,1:TRUE,2:FALSE,+,0.81
105,1:TRUE,1:TRUE,,0.86
106,1:TRUE,2:FALSE,+,0.93
107,2:FALSE,2:FALSE,,0.71
108,2:FALSE,1:TRUE,+,0.86
109,2:FALSE,1:TRUE,+,0.68
110,2:FALSE,1:TRUE,+,0.63
111,2:FALSE,2:FALSE,,0.83
112,1:TRUE,1:TRUE,,0.78
113,2:FALSE,2:FALSE,,0.94
114,1:TRUE,1:TRUE,,0.73
115,1:TRUE,1:TRUE,,0.9
116,1:TRUE,1:TRUE,,0.99
117,1:TRUE,1:TRUE,,0.93
118,2:FALSE,2:FALSE,,0.67
119,2:FALSE,1:TRUE,+,0.52
120,2:FALSE,1:TRUE,+,0.54
121,1:TRUE,1:TRUE,,0.99
122,1:TRUE,1:TRUE,,0.94
123,1:TRUE,1:TRUE,,0.93
124,1:TRUE,1:TRUE,,0.63
125,1:TRUE,1:TRUE,,0.66
126,2:FALSE,1:TRUE,+,0.88
127,2:FALSE,1:TRUE,+,0.62
128,2:FALSE,1:TRUE,+,0.78
129,1:TRUE,1:TRUE,,0.88
130,2:FALSE,1:TRUE,+,0.85
131,2:FALSE,1:TRUE,+,0.76
132,2:FALSE,1:TRUE,+,0.55
133,1:TRUE,1:TRUE,,0.99
134,1:TRUE,1:TRUE,,0.9
135,1:TRUE,1:TRUE,,0.97
136,2:FALSE,1:TRUE,+,0.72
137,1:TRUE,1:TRUE,,0.69
138,2:FALSE,1:TRUE,+,0.74
139,2:FALSE,2:FALSE,,0.96
140,1:TRUE,2:FALSE,+,0.7
141,1:TRUE,1:TRUE,,0.93
142,2:FALSE,2:FALSE,,0.84
143,2:FALSE,2:FALSE,,0.57
144,1:TRUE,1:TRUE,,0.81
145,2:FALSE,2:FALSE,,0.59
146,2:FALSE,1:TRUE,+,0.64
147,2:FALSE,2:FALSE,,0.54
148,2:FALSE,2:FALSE,,0.8
149,1:TRUE,1:TRUE,,0.82
150,1:TRUE,1:TRUE,,0.62
151,2:FALSE,2:FALSE,,1
152,2:FALSE,2:FALSE,,0.98
153,2:FALSE,2:FALSE,,0.8
154,2:FALSE,2:FALSE,,0.67
155,2:FALSE,2:FALSE,,0.64
156,2:FALSE,2:FALSE,,1
157,2:FALSE,2:FALSE,,0.91
158,2:FALSE,2:FALSE,,1
159,2:FALSE,2:FALSE,,0.93
160,1:TRUE,1:TRUE,,0.86
161,2:FALSE,1:TRUE,+,0.59
162,2:FALSE,2:FALSE,,1
163,2:FALSE,2:FALSE,,0.56
164,2:FALSE,1:TRUE,+,0.71
165,2:FALSE,1:TRUE,+,0.76
166,1:TRUE,1:TRUE,,0.53
167,1:TRUE,1:TRUE,,0.96
168,2:FALSE,1:TRUE,+,0.63
169,2:FALSE,2:FALSE,,0.56
170,2:FALSE,1:TRUE,+,0.72
171,2:FALSE,2:FALSE,,0.65
172,1:TRUE,2:FALSE,+,0.69
173,2:FALSE,2:FALSE,,0.58
174,2:FALSE,1:TRUE,+,0.55
175,2:FALSE,1:TRUE,+,0.54
176,2:FALSE,2:FALSE,,0.95
177,1:TRUE,2:FALSE,+,0.96
178,1:TRUE,1:TRUE,,0.66
179,2:FALSE,2:FALSE,,1
180,2:FALSE,2:FALSE,,0.997
181,2:FALSE,2:FALSE,,0.9
182,2:FALSE,1:TRUE,+,0.5
183,1:TRUE,1:TRUE,,0.78
184,2:FALSE,2:FALSE,,0.72
185,2:FALSE,2:FALSE,,0.75
186,2:FALSE,2:FALSE,,0.95
187,2:FALSE,2:FALSE,,0.64
188,2:FALSE,2:FALSE,,0.99
189,2:FALSE,2:FALSE,,1
190,2:FALSE,2:FALSE,,1
191,2:FALSE,2:FALSE,,1
192,2:FALSE,2:FALSE,,0.98
193,2:FALSE,2:FALSE,,1
194,2:FALSE,2:FALSE,,1
195,2:FALSE,2:FALSE,,1
196,2:FALSE,2:FALSE,,1
197,2:FALSE,2:FALSE,,1
198,2:FALSE,2:FALSE,,0.99
199,2:FALSE,2:FALSE,,0.995
200,2:FALSE,2:FALSE,,1
201,2:FALSE,2:FALSE,,1
202,2:FALSE,2:FALSE,,0.98
203,2:FALSE,2:FALSE,,0.89
204,2:FALSE,2:FALSE,,0.999
205,2:FALSE,2:FALSE,,1
206,2:FALSE,2:FALSE,,1
207,2:FALSE,2:FALSE,,0.993
208,2:FALSE,2:FALSE,,0.99
209,2:FALSE,2:FALSE,,1
210,2:FALSE,2:FALSE,,1
211,2:FALSE,2:FALSE,,1
212,2:FALSE,2:FALSE,,1
213,2:FALSE,2:FALSE,,1
214,2:FALSE,2:FALSE,,0.999
215,1:TRUE,1:TRUE,,0.75
216,1:TRUE,1:TRUE,,0.96
217,2:FALSE,1:TRUE,+,0.64
218,1:TRUE,1:TRUE,,0.91
219,1:TRUE,1:TRUE,,0.68
220,1:TRUE,1:TRUE,,0.88
221,2:FALSE,2:FALSE,,0.68
222,2:FALSE,2:FALSE,,0.56
223,1:TRUE,1:TRUE,,0.89
224,1:TRUE,1:TRUE,,0.79
225,2:FALSE,2:FALSE,,1
226,2:FALSE,2:FALSE,,1
227,2:FALSE,1:TRUE,+,0.7
228,2:FALSE,1:TRUE,+,0.7
229,1:TRUE,1:TRUE,,0.86
230,2:FALSE,1:TRUE,+,0.58
231,1:TRUE,1:TRUE,,0.72
232,2:FALSE,1:TRUE,+,0.66
233,1:TRUE,1:TRUE,,0.57
234,2:FALSE,2:FALSE,,0.56
235,2:FALSE,1:TRUE,+,0.53
236,2:FALSE,2:FALSE,,0.96
237,1:TRUE,1:TRUE,,0.99
238,2:FALSE,2:FALSE,,0.88
239,2:FALSE,2:FALSE,,0.96
240,2:FALSE,2:FALSE,,0.53
241,1:TRUE,1:TRUE,,0.9
242,2:FALSE,1:TRUE,+,0.88
243,2:FALSE,2:FALSE,,1
244,1:TRUE,1:TRUE,,0.86
245,1:TRUE,1:TRUE,,0.67
