inst#,actual,predicted,error,prediction
1,2:FALSE,1:TRUE,+,0.64
2,2:FALSE,1:TRUE,+,0.69
3,2:FALSE,1:TRUE,+,0.88
4,2:FALSE,2:FALSE,,0.9
5,1:TRUE,1:TRUE,,0.97
6,2:FALSE,2:FALSE,,0.78
7,2:FALSE,2:FALSE,,0.51
8,1:TRUE,1:TRUE,,0.7
9,2:FALSE,2:FALSE,,0.91
10,2:FALSE,2:FALSE,,0.82
11,2:FALSE,2:FALSE,,0.58
12,2:FALSE,1:TRUE,+,0.9
13,2:FALSE,1:TRUE,+,0.68
14,2:FALSE,2:FALSE,,0.94
15,2:FALSE,2:FALSE,,0.82
16,1:TRUE,1:TRUE,,0.76
17,2:FALSE,2:FALSE,,0.53
18,2:FALSE,2:FALSE,,0.9
19,1:TRUE,1:TRUE,,0.59
20,1:TRUE,1:TRUE,,0.59
21,2:FALSE,2:FALSE,,0.92
22,2:FALSE,1:TRUE,+,0.65
23,1:TRUE,1:TRUE,,0.91
24,2:FALSE,1:TRUE,+,0.52
25,1:TRUE,1:TRUE,,0.96
26,1:TRUE,2:FALSE,+,0.52
27,2:FALSE,1:TRUE,+,0.65
28,1:TRUE,2:FALSE,+,0.64
29,2:FALSE,1:TRUE,+,0.62
30,1:TRUE,1:TRUE,,0.95
31,1:TRUE,2:FALSE,+,0.81
32,2:FALSE,2:FALSE,,0.805
33,2:FALSE,2:FALSE,,0.792
34,1:TRUE,1:TRUE,,0.88
35,2:FALSE,2:FALSE,,0.86
36,2:FALSE,1:TRUE,+,0.83
37,2:FALSE,2:FALSE,,0.91
38,1:TRUE,1:TRUE,,0.89
39,1:TRUE,1:TRUE,,0.82
40,2:FALSE,2:FALSE,,0.85
41,1:TRUE,1:TRUE,,0.876
42,2:FALSE,1:TRUE,+,0.52
43,2:FALSE,2:FALSE,,0.795
44,2:FALSE,2:FALSE,,0.95
45,2:FALSE,2:FALSE,,0.79
46,2:FALSE,1:TRUE,+,0.89
47,2:FALSE,2:FALSE,,1
48,2:FALSE,1:TRUE,+,0.56
49,1:TRUE,1:TRUE,,0.95
50,1:TRUE,1:TRUE,,0.94
51,1:TRUE,1:TRUE,,0.76
52,1:TRUE,1:TRUE,,0.95
53,1:TRUE,1:TRUE,,0.77
54,2:FALSE,1:TRUE,+,0.76
55,1:TRUE,1:TRUE,,0.87
56,2:FALSE,1:TRUE,+,0.76
57,2:FALSE,2:FALSE,,0.88
58,2:FALSE,1:TRUE,+,0.65
59,1:TRUE,1:TRUE,,0.86
60,2:FALSE,2:FALSE,,0.74
61,2:FALSE,1:TRUE,+,0.78
62,2:FALSE,1:TRUE,+,0.88
63,2:FALSE,2:FALSE,,0.75
64,2:FALSE,1:TRUE,+,0.95
65,2:FALSE,1:TRUE,+,0.66
66,2:FALSE,2:FALSE,,0.693
67,2:FALSE,1:TRUE,+,0.83
68,2:FALSE,2:FALSE,,0.55
69,2:FALSE,1:TRUE,+,0.92
70,2:FALSE,2:FALSE,,0.91
71,2:FALSE,2:FALSE,,0.67
72,2:FALSE,2:FALSE,,0.88
73,2:FALSE,2:FALSE,,0.63
74,2:FALSE,1:TRUE,+,0.58
75,2:FALSE,2:FALSE,,0.78
76,2:FALSE,2:FALSE,,0.75
77,1:TRUE,2:FALSE,+,0.79
78,2:FALSE,2:FALSE,,0.63
79,1:TRUE,1:TRUE,,0.58
80,1:TRUE,1:TRUE,,0.89
81,2:FALSE,2:FALSE,,0.58
82,2:FALSE,1:TRUE,+,0.66
83,2:FALSE,1:TRUE,+,0.88
84,2:FALSE,2:FALSE,,0.72
85,2:FALSE,2:FALSE,,0.7
86,2:FALSE,2:FALSE,,0.83
87,1:TRUE,1:TRUE,,1
88,1:TRUE,1:TRUE,,0.8
89,1:TRUE,2:FALSE,+,0.55
90,2:FALSE,2:FALSE,,0.64
91,2:FALSE,2:FALSE,,0.79
92,2:FALSE,1:TRUE,+,0.57
93,2:FALSE,1:TRUE,+,0.62
94,2:FALSE,1:TRUE,+,0.5
95,2:FALSE,1:TRUE,+,0.77
96,1:TRUE,1:TRUE,,0.54
97,2:FALSE,1:TRUE,+,0.82
98,2:FALSE,2:FALSE,,0.74
99,2:FALSE,2:FALSE,,0.96
100,2:FALSE,2:FALSE,,0.92
101,1:TRUE,1:TRUE,,0.73
102,2:FALSE,2:FALSE,,0.54
103,2:FALSE,1:TRUE,+,0.54
104,2:FALSE,1:TRUE,+,0.92
105,2:FALSE,1:TRUE,+,0.96
106,1:TRUE,1:TRUE,,0.56
107,2:FALSE,1:TRUE,+,0.75
108,2:FALSE,2:FALSE,,0.94
109,2:FALSE,2:FALSE,,0.92
110,2:FALSE,2:FALSE,,0.73
111,1:TRUE,1:TRUE,,0.92
112,1:TRUE,1:TRUE,,0.52
113,2:FALSE,1:TRUE,+,0.53
114,2:FALSE,1:TRUE,+,0.54
115,2:FALSE,2:FALSE,,0.87
116,2:FALSE,1:TRUE,+,0.95
117,2:FALSE,2:FALSE,,0.67
118,2:FALSE,1:TRUE,+,0.6
119,1:TRUE,1:TRUE,,0.9
120,2:FALSE,1:TRUE,+,0.82
121,2:FALSE,1:TRUE,+,0.76
122,2:FALSE,1:TRUE,+,0.56
123,2:FALSE,2:FALSE,,0.68
124,1:TRUE,1:TRUE,,0.97
125,2:FALSE,1:TRUE,+,0.88
126,2:FALSE,2:FALSE,,0.55
127,1:TRUE,1:TRUE,,0.83
128,2:FALSE,1:TRUE,+,0.82
129,2:FALSE,1:TRUE,+,0.87
130,1:TRUE,1:TRUE,,0.73
131,1:TRUE,2:FALSE,+,0.9
132,1:TRUE,2:FALSE,+,0.7
133,2:FALSE,1:TRUE,+,0.61
134,1:TRUE,1:TRUE,,0.91
135,2:FALSE,1:TRUE,+,0.85
136,1:TRUE,1:TRUE,,0.86
137,1:TRUE,1:TRUE,,0.58
138,2:FALSE,1:TRUE,+,0.72
139,2:FALSE,1:TRUE,+,0.7
140,2:FALSE,2:FALSE,,0.99
141,2:FALSE,2:FALSE,,0.52
142,2:FALSE,1:TRUE,+,0.59
143,2:FALSE,1:TRUE,+,0.53
144,2:FALSE,1:TRUE,+,0.73
145,2:FALSE,1:TRUE,+,0.55
146,2:FALSE,1:TRUE,+,0.78
147,2:FALSE,2:FALSE,,0.81
148,1:TRUE,1:TRUE,,0.96
149,1:TRUE,1:TRUE,,0.96
150,2:FALSE,2:FALSE,,0.77
151,1:TRUE,1:TRUE,,0.53
152,2:FALSE,2:FALSE,,0.84
153,2:FALSE,1:TRUE,+,0.54
154,2:FALSE,2:FALSE,,0.92
