inst#,actual,predicted,error,prediction
1,1:TRUE,1:TRUE,,1
2,2:FALSE,1:TRUE,+,1
3,1:TRUE,1:TRUE,,1
4,2:FALSE,1:TRUE,+,1
5,2:FALSE,1:TRUE,+,1
6,2:FALSE,1:TRUE,+,1
7,2:FALSE,1:TRUE,+,1
8,2:FALSE,1:TRUE,+,1
9,2:FALSE,1:TRUE,+,1
10,2:FALSE,1:TRUE,+,1
11,2:FALSE,1:TRUE,+,1
12,2:FALSE,1:TRUE,+,1
13,2:FALSE,1:TRUE,+,1
14,2:FALSE,2:FALSE,,1
15,2:FALSE,1:TRUE,+,1
16,1:TRUE,1:TRUE,,1
17,2:FALSE,1:TRUE,+,1
18,2:FALSE,1:TRUE,+,1
19,2:FALSE,1:TRUE,+,1
20,2:FALSE,1:TRUE,+,1
21,1:TRUE,1:TRUE,,1
22,1:TRUE,1:TRUE,,1
23,2:FALSE,1:TRUE,+,1
24,1:TRUE,1:TRUE,,1
25,1:TRUE,1:TRUE,,1
26,2:FALSE,1:TRUE,+,1
27,1:TRUE,1:TRUE,,1
28,1:TRUE,1:TRUE,,1
29,1:TRUE,1:TRUE,,1
30,2:FALSE,1:TRUE,+,1
31,1:TRUE,1:TRUE,,1
32,2:FALSE,1:TRUE,+,1
33,1:TRUE,1:TRUE,,1
34,1:TRUE,1:TRUE,,1
35,2:FALSE,1:TRUE,+,1
36,2:FALSE,1:TRUE,+,1
37,2:FALSE,2:FALSE,,1
38,2:FALSE,1:TRUE,+,1
39,2:FALSE,1:TRUE,+,1
40,2:FALSE,1:TRUE,+,1
41,2:FALSE,1:TRUE,+,1
42,2:FALSE,1:TRUE,+,1
43,2:FALSE,1:TRUE,+,1
44,2:FALSE,1:TRUE,+,1
45,1:TRUE,1:TRUE,,1
46,1:TRUE,1:TRUE,,1
47,2:FALSE,1:TRUE,+,1
48,1:TRUE,1:TRUE,,1
49,2:FALSE,1:TRUE,+,1
50,2:FALSE,1:TRUE,+,1
51,2:FALSE,1:TRUE,+,1
52,2:FALSE,1:TRUE,+,1
53,2:FALSE,2:FALSE,,1
54,2:FALSE,1:TRUE,+,1
55,2:FALSE,2:FALSE,,1
56,2:FALSE,1:TRUE,+,1
57,2:FALSE,1:TRUE,+,1
58,2:FALSE,1:TRUE,+,1
59,2:FALSE,1:TRUE,+,1
60,1:TRUE,1:TRUE,,1
61,1:TRUE,1:TRUE,,1
