inst#,actual,predicted,error,prediction
1,2:FALSE,1:TRUE,+,0.94
2,1:TRUE,1:TRUE,,0.63
3,2:FALSE,2:FALSE,,0.55
4,2:FALSE,1:TRUE,+,0.76
5,2:FALSE,1:TRUE,+,0.79
6,2:FALSE,2:FALSE,,0.68
7,1:TRUE,1:TRUE,,0.55
8,2:FALSE,2:FALSE,,0.51
9,1:TRUE,1:TRUE,,0.62
10,1:TRUE,1:TRUE,,0.84
11,1:TRUE,1:TRUE,,0.81
12,2:FALSE,2:FALSE,,0.89
13,1:TRUE,2:FALSE,+,0.53
14,2:FALSE,2:FALSE,,0.61
15,1:TRUE,1:TRUE,,0.98
16,2:FALSE,1:TRUE,+,0.8
17,1:TRUE,1:TRUE,,0.99
18,1:TRUE,1:TRUE,,0.97
19,2:FALSE,2:FALSE,,0.97
20,1:TRUE,1:TRUE,,0.77
21,1:TRUE,1:TRUE,,0.97
22,1:TRUE,1:TRUE,,0.99
23,1:TRUE,1:TRUE,,0.65
24,2:FALSE,2:FALSE,,0.82
25,2:FALSE,1:TRUE,+,0.64
26,1:TRUE,2:FALSE,+,0.71
27,2:FALSE,2:FALSE,,1
28,2:FALSE,2:FALSE,,0.78
29,2:FALSE,2:FALSE,,0.995
30,2:FALSE,1:TRUE,+,0.65
31,2:FALSE,2:FALSE,,1
32,2:FALSE,2:FALSE,,1
33,2:FALSE,2:FALSE,,1
34,2:FALSE,2:FALSE,,1
35,2:FALSE,2:FALSE,,0.59
36,2:FALSE,2:FALSE,,0.95
37,2:FALSE,2:FALSE,,1
38,2:FALSE,2:FALSE,,1
39,2:FALSE,2:FALSE,,1
40,1:TRUE,1:TRUE,,0.65
41,2:FALSE,2:FALSE,,1
42,1:TRUE,1:TRUE,,0.95
43,1:TRUE,1:TRUE,,0.98
44,2:FALSE,2:FALSE,,0.998
45,2:FALSE,2:FALSE,,1
46,2:FALSE,2:FALSE,,1
47,2:FALSE,2:FALSE,,0.998
48,2:FALSE,2:FALSE,,0.996
49,2:FALSE,2:FALSE,,1
50,1:TRUE,2:FALSE,+,0.66
51,2:FALSE,1:TRUE,+,0.53
52,1:TRUE,1:TRUE,,0.81
53,2:FALSE,2:FALSE,,0.73
54,1:TRUE,2:FALSE,+,0.84
55,2:FALSE,2:FALSE,,0.61
56,1:TRUE,1:TRUE,,0.73
57,2:FALSE,2:FALSE,,0.82
58,2:FALSE,1:TRUE,+,0.86
59,1:TRUE,1:TRUE,,0.92
60,2:FALSE,2:FALSE,,0.64
61,1:TRUE,1:TRUE,,0.76
62,2:FALSE,2:FALSE,,0.81
63,2:FALSE,2:FALSE,,0.91
64,2:FALSE,1:TRUE,+,0.59
65,2:FALSE,1:TRUE,+,0.56
66,2:FALSE,2:FALSE,,0.95
67,2:FALSE,2:FALSE,,0.71
68,1:TRUE,1:TRUE,,0.85
69,2:FALSE,2:FALSE,,0.78
70,2:FALSE,2:FALSE,,0.65
71,2:FALSE,2:FALSE,,0.502
72,2:FALSE,2:FALSE,,0.97
73,1:TRUE,2:FALSE,+,0.85
74,2:FALSE,1:TRUE,+,0.5
75,2:FALSE,2:FALSE,,0.54
76,1:TRUE,2:FALSE,+,0.81
77,2:FALSE,2:FALSE,,0.72
78,2:FALSE,2:FALSE,,0.84
79,1:TRUE,1:TRUE,,0.95
80,2:FALSE,2:FALSE,,0.63
81,1:TRUE,1:TRUE,,0.73
82,2:FALSE,2:FALSE,,1
83,2:FALSE,2:FALSE,,1
84,2:FALSE,2:FALSE,,0.99
85,2:FALSE,2:FALSE,,1
86,2:FALSE,2:FALSE,,1
87,1:TRUE,1:TRUE,,0.583
88,2:FALSE,2:FALSE,,1
89,2:FALSE,2:FALSE,,1
90,2:FALSE,2:FALSE,,1
91,2:FALSE,2:FALSE,,0.99
92,2:FALSE,2:FALSE,,1
93,2:FALSE,2:FALSE,,1
94,2:FALSE,2:FALSE,,1
95,2:FALSE,2:FALSE,,1
96,1:TRUE,1:TRUE,,0.57
97,1:TRUE,1:TRUE,,0.72
98,1:TRUE,1:TRUE,,0.78
99,1:TRUE,1:TRUE,,0.68
100,1:TRUE,1:TRUE,,0.84
101,1:TRUE,1:TRUE,,0.91
102,1:TRUE,2:FALSE,+,0.93
103,2:FALSE,1:TRUE,+,0.89
104,2:FALSE,2:FALSE,,0.58
105,2:FALSE,2:FALSE,,0.82
106,2:FALSE,1:TRUE,+,0.67
107,1:TRUE,2:FALSE,+,0.79
108,2:FALSE,2:FALSE,,0.76
109,1:TRUE,1:TRUE,,0.96
110,1:TRUE,1:TRUE,,0.93
111,2:FALSE,1:TRUE,+,0.78
112,2:FALSE,1:TRUE,+,0.82
113,2:FALSE,2:FALSE,,0.53
114,2:FALSE,2:FALSE,,0.55
115,1:TRUE,1:TRUE,,0.87
116,1:TRUE,1:TRUE,,0.77
117,2:FALSE,2:FALSE,,0.91
118,2:FALSE,2:FALSE,,0.57
119,2:FALSE,2:FALSE,,0.84
120,1:TRUE,2:FALSE,+,0.91
121,1:TRUE,2:FALSE,+,0.64
122,1:TRUE,1:TRUE,,0.97
123,2:FALSE,2:FALSE,,0.68
124,2:FALSE,2:FALSE,,0.87
125,2:FALSE,1:TRUE,+,0.94
126,2:FALSE,1:TRUE,+,0.95
127,2:FALSE,1:TRUE,+,0.93
128,1:TRUE,1:TRUE,,1
129,1:TRUE,1:TRUE,,0.98
130,1:TRUE,1:TRUE,,0.99
131,2:FALSE,1:TRUE,+,0.72
132,1:TRUE,1:TRUE,,0.91
133,1:TRUE,1:TRUE,,0.7
134,2:FALSE,1:TRUE,+,0.82
135,2:FALSE,1:TRUE,+,0.68
136,1:TRUE,1:TRUE,,0.81
137,2:FALSE,1:TRUE,+,0.63
138,2:FALSE,1:TRUE,+,0.57
139,1:TRUE,1:TRUE,,0.61
140,1:TRUE,1:TRUE,,0.8
141,2:FALSE,1:TRUE,+,0.72
142,1:TRUE,1:TRUE,,0.62
143,2:FALSE,1:TRUE,+,0.62
144,2:FALSE,2:FALSE,,0.53
145,2:FALSE,1:TRUE,+,0.83
146,1:TRUE,2:FALSE,+,0.93
147,2:FALSE,2:FALSE,,1
148,2:FALSE,1:TRUE,+,0.61
149,1:TRUE,1:TRUE,,0.7
150,2:FALSE,2:FALSE,,0.54
151,1:TRUE,1:TRUE,,0.95
152,1:TRUE,2:FALSE,+,0.69
153,2:FALSE,2:FALSE,,0.94
154,1:TRUE,2:FALSE,+,0.81
155,2:FALSE,1:TRUE,+,0.65
156,2:FALSE,2:FALSE,,0.76
157,2:FALSE,1:TRUE,+,0.55
158,2:FALSE,2:FALSE,,0.86
159,2:FALSE,2:FALSE,,0.74
160,2:FALSE,2:FALSE,,0.62
161,2:FALSE,2:FALSE,,0.67
162,2:FALSE,2:FALSE,,0.66
163,2:FALSE,2:FALSE,,0.94
164,2:FALSE,2:FALSE,,0.7
