inst#,actual,predicted,error,prediction
1,1:TRUE,1:TRUE,,0.97
2,2:FALSE,2:FALSE,,1
3,2:FALSE,2:FALSE,,1
4,2:FALSE,2:FALSE,,1
5,2:FALSE,2:FALSE,,1
6,2:FALSE,2:FALSE,,1
7,2:FALSE,2:FALSE,,1
8,2:FALSE,2:FALSE,,1
9,1:TRUE,1:TRUE,,0.92
10,2:FALSE,2:FALSE,,1
11,2:FALSE,2:FALSE,,1
12,2:FALSE,2:FALSE,,1
13,2:FALSE,2:FALSE,,1
14,2:FALSE,2:FALSE,,0.96
15,2:FALSE,2:FALSE,,1
16,2:FALSE,2:FALSE,,1
17,2:FALSE,1:TRUE,+,0.74
18,2:FALSE,2:FALSE,,0.985
19,2:FALSE,2:FALSE,,0.98
20,2:FALSE,1:TRUE,+,0.662
21,1:TRUE,1:TRUE,,0.859
22,2:FALSE,2:FALSE,,1
23,2:FALSE,2:FALSE,,0.99
24,2:FALSE,2:FALSE,,0.98
25,1:TRUE,1:TRUE,,0.732
26,2:FALSE,2:FALSE,,1
27,2:FALSE,2:FALSE,,0.972
28,1:TRUE,1:TRUE,,1
29,1:TRUE,1:TRUE,,0.88
30,2:FALSE,2:FALSE,,0.85
31,2:FALSE,2:FALSE,,0.77
32,2:FALSE,2:FALSE,,0.88
33,2:FALSE,2:FALSE,,0.74
34,1:TRUE,1:TRUE,,0.98
35,2:FALSE,1:TRUE,+,0.74
36,2:FALSE,1:TRUE,+,0.63
37,1:TRUE,1:TRUE,,0.99
38,1:TRUE,2:FALSE,+,0.52
39,1:TRUE,1:TRUE,,0.88
40,1:TRUE,1:TRUE,,0.98
41,1:TRUE,1:TRUE,,0.97
42,1:TRUE,1:TRUE,,0.76
43,2:FALSE,1:TRUE,+,0.89
44,1:TRUE,2:FALSE,+,0.52
45,2:FALSE,2:FALSE,,0.72
46,2:FALSE,1:TRUE,+,0.86
47,1:TRUE,1:TRUE,,0.99
48,2:FALSE,1:TRUE,+,0.75
49,2:FALSE,1:TRUE,+,0.74
50,1:TRUE,1:TRUE,,0.87
51,1:TRUE,1:TRUE,,0.86
52,2:FALSE,1:TRUE,+,0.88
53,2:FALSE,2:FALSE,,0.58
54,1:TRUE,1:TRUE,,0.99
55,2:FALSE,2:FALSE,,0.58
56,2:FALSE,1:TRUE,+,0.52
57,1:TRUE,1:TRUE,,0.92
58,2:FALSE,1:TRUE,+,0.63
59,2:FALSE,2:FALSE,,1
60,2:FALSE,1:TRUE,+,0.94
61,2:FALSE,2:FALSE,,1
62,2:FALSE,2:FALSE,,0.61
63,2:FALSE,1:TRUE,+,0.76
64,2:FALSE,2:FALSE,,0.7
65,2:FALSE,2:FALSE,,0.982
66,2:FALSE,2:FALSE,,0.99
67,2:FALSE,1:TRUE,+,0.59
68,1:TRUE,1:TRUE,,0.91
69,2:FALSE,2:FALSE,,1
70,1:TRUE,2:FALSE,+,0.87
71,1:TRUE,1:TRUE,,0.75
72,1:TRUE,1:TRUE,,0.94
73,2:FALSE,1:TRUE,+,0.59
74,2:FALSE,1:TRUE,+,0.67
75,2:FALSE,1:TRUE,+,0.78
76,1:TRUE,1:TRUE,,0.89
77,2:FALSE,1:TRUE,+,0.56
78,1:TRUE,1:TRUE,,0.95
79,2:FALSE,1:TRUE,+,0.73
80,1:TRUE,1:TRUE,,1
81,2:FALSE,1:TRUE,+,0.62
82,1:TRUE,1:TRUE,,0.97
83,2:FALSE,2:FALSE,,0.71
84,2:FALSE,1:TRUE,+,0.86
85,2:FALSE,1:TRUE,+,0.96
86,1:TRUE,1:TRUE,,0.97
87,2:FALSE,2:FALSE,,0.67
88,2:FALSE,1:TRUE,+,0.92
89,1:TRUE,1:TRUE,,0.89
90,2:FALSE,1:TRUE,+,0.9
