inst#,actual,predicted,error,prediction
1,1:TRUE,1:TRUE,,0.9
2,1:TRUE,1:TRUE,,0.68
3,1:TRUE,1:TRUE,,0.9
4,1:TRUE,1:TRUE,,0.81
5,2:FALSE,1:TRUE,+,0.5
6,1:TRUE,1:TRUE,,0.65
7,1:TRUE,2:FALSE,+,0.55
8,1:TRUE,1:TRUE,,0.82
9,2:FALSE,1:TRUE,+,0.85
10,1:TRUE,1:TRUE,,0.68
11,2:FALSE,1:TRUE,+,0.74
12,1:TRUE,1:TRUE,,0.75
13,1:TRUE,2:FALSE,+,0.68
14,2:FALSE,1:TRUE,+,0.84
15,1:TRUE,1:TRUE,,0.9
16,1:TRUE,1:TRUE,,0.9
17,1:TRUE,2:FALSE,+,0.72
18,2:FALSE,2:FALSE,,1
19,1:TRUE,2:FALSE,+,0.6
20,2:FALSE,1:TRUE,+,0.81
21,1:TRUE,2:FALSE,+,0.74
22,1:TRUE,2:FALSE,+,0.68
23,1:TRUE,1:TRUE,,0.63
24,1:TRUE,1:TRUE,,0.94
25,1:TRUE,2:FALSE,+,0.57
26,1:TRUE,1:TRUE,,0.75
27,2:FALSE,2:FALSE,,0.68
28,2:FALSE,1:TRUE,+,0.73
29,1:TRUE,2:FALSE,+,0.77
30,1:TRUE,1:TRUE,,1
31,1:TRUE,1:TRUE,,0.96
32,1:TRUE,1:TRUE,,0.65
33,1:TRUE,1:TRUE,,0.96
34,1:TRUE,1:TRUE,,0.9
35,1:TRUE,1:TRUE,,0.93
36,2:FALSE,2:FALSE,,1
37,1:TRUE,2:FALSE,+,0.7
38,1:TRUE,1:TRUE,,0.95
39,1:TRUE,1:TRUE,,0.53
40,2:FALSE,1:TRUE,+,0.67
41,1:TRUE,1:TRUE,,0.68
42,1:TRUE,1:TRUE,,0.67
43,1:TRUE,1:TRUE,,0.93
44,2:FALSE,1:TRUE,+,0.62
45,2:FALSE,1:TRUE,+,0.83
46,1:TRUE,1:TRUE,,0.96
47,1:TRUE,2:FALSE,+,0.53
48,1:TRUE,1:TRUE,,0.93
49,2:FALSE,1:TRUE,+,0.62
50,2:FALSE,2:FALSE,,1
51,1:TRUE,1:TRUE,,0.8
52,2:FALSE,2:FALSE,,0.51
53,1:TRUE,1:TRUE,,0.92
54,1:TRUE,1:TRUE,,0.59
55,1:TRUE,1:TRUE,,0.96
56,1:TRUE,1:TRUE,,0.64
57,1:TRUE,1:TRUE,,0.98
58,1:TRUE,1:TRUE,,0.98
59,1:TRUE,1:TRUE,,0.88
60,1:TRUE,2:FALSE,+,0.53
61,1:TRUE,2:FALSE,+,0.53
62,1:TRUE,1:TRUE,,0.98
63,2:FALSE,2:FALSE,,0.55
64,1:TRUE,1:TRUE,,0.81
65,1:TRUE,1:TRUE,,0.85
66,2:FALSE,2:FALSE,,0.66
67,1:TRUE,1:TRUE,,0.99
68,2:FALSE,2:FALSE,,0.54
69,2:FALSE,2:FALSE,,0.83
70,1:TRUE,2:FALSE,+,0.66
71,2:FALSE,1:TRUE,+,0.5
72,1:TRUE,1:TRUE,,0.83
73,1:TRUE,1:TRUE,,0.72
74,1:TRUE,1:TRUE,,0.69
75,1:TRUE,1:TRUE,,0.75
76,2:FALSE,2:FALSE,,0.61
77,2:FALSE,1:TRUE,+,0.55
78,1:TRUE,1:TRUE,,0.8
79,2:FALSE,1:TRUE,+,0.65
80,2:FALSE,1:TRUE,+,0.78
81,1:TRUE,1:TRUE,,0.7
82,1:TRUE,1:TRUE,,0.63
83,2:FALSE,2:FALSE,,1
84,1:TRUE,1:TRUE,,0.65
85,2:FALSE,2:FALSE,,1
86,2:FALSE,1:TRUE,+,0.59
87,1:TRUE,1:TRUE,,0.61
88,1:TRUE,1:TRUE,,0.67
89,2:FALSE,1:TRUE,+,0.89
90,2:FALSE,1:TRUE,+,0.81
91,2:FALSE,1:TRUE,+,0.51
92,2:FALSE,1:TRUE,+,0.9
93,1:TRUE,2:FALSE,+,0.52
94,1:TRUE,2:FALSE,+,0.62
95,1:TRUE,1:TRUE,,0.85
96,1:TRUE,1:TRUE,,0.89
97,2:FALSE,1:TRUE,+,0.81
98,1:TRUE,2:FALSE,+,0.72
99,2:FALSE,2:FALSE,,0.95
100,2:FALSE,2:FALSE,,0.54
101,2:FALSE,2:FALSE,,0.75
102,2:FALSE,2:FALSE,,0.84
103,1:TRUE,1:TRUE,,0.81
104,2:FALSE,2:FALSE,,0.79
105,1:TRUE,1:TRUE,,0.95
106,2:FALSE,1:TRUE,+,0.63
107,2:FALSE,2:FALSE,,0.53
108,2:FALSE,2:FALSE,,0.76
109,2:FALSE,2:FALSE,,0.75
110,1:TRUE,1:TRUE,,0.87
111,2:FALSE,2:FALSE,,0.78
112,1:TRUE,1:TRUE,,0.58
113,1:TRUE,1:TRUE,,0.95
114,2:FALSE,2:FALSE,,0.52
115,1:TRUE,1:TRUE,,0.55
116,2:FALSE,2:FALSE,,1
117,2:FALSE,1:TRUE,+,0.82
118,2:FALSE,2:FALSE,,0.62
119,2:FALSE,2:FALSE,,1
120,1:TRUE,1:TRUE,,0.58
121,1:TRUE,1:TRUE,,0.77
122,2:FALSE,1:TRUE,+,0.52
123,1:TRUE,2:FALSE,+,0.62
124,2:FALSE,2:FALSE,,0.54
125,2:FALSE,1:TRUE,+,0.62
126,2:FALSE,2:FALSE,,0.55
127,1:TRUE,2:FALSE,+,0.81
128,2:FALSE,1:TRUE,+,0.81
129,1:TRUE,1:TRUE,,0.92
