inst#,actual,predicted,error,prediction
1,1:TRUE,1:TRUE,,1
2,1:TRUE,1:TRUE,,1
3,1:TRUE,1:TRUE,,1
4,1:TRUE,1:TRUE,,1
5,1:TRUE,1:TRUE,,1
6,2:FALSE,2:FALSE,,0.986
7,1:TRUE,1:TRUE,,1
8,2:FALSE,2:FALSE,,0.969
9,1:TRUE,1:TRUE,,0.94
10,2:FALSE,2:FALSE,,0.969
11,2:FALSE,2:FALSE,,0.981
12,2:FALSE,2:FALSE,,0.979
13,1:TRUE,1:TRUE,,0.94
14,2:FALSE,2:FALSE,,0.996
15,2:FALSE,2:FALSE,,0.904
16,2:FALSE,2:FALSE,,0.85
17,2:FALSE,1:TRUE,+,0.54
18,1:TRUE,1:TRUE,,0.86
19,2:FALSE,1:TRUE,+,0.69
20,1:TRUE,1:TRUE,,0.79
21,2:FALSE,2:FALSE,,0.67
22,2:FALSE,2:FALSE,,0.79
23,2:FALSE,1:TRUE,+,0.5
24,1:TRUE,2:FALSE,+,0.68
25,2:FALSE,1:TRUE,+,0.52
26,1:TRUE,2:FALSE,+,0.68
27,2:FALSE,2:FALSE,,0.68
28,2:FALSE,2:FALSE,,0.67
29,2:FALSE,2:FALSE,,0.78
30,1:TRUE,1:TRUE,,0.59
31,2:FALSE,2:FALSE,,0.83
32,2:FALSE,1:TRUE,+,0.86
33,2:FALSE,2:FALSE,,0.51
34,2:FALSE,2:FALSE,,0.64
35,1:TRUE,1:TRUE,,0.69
36,2:FALSE,2:FALSE,,0.81
37,2:FALSE,1:TRUE,+,0.5
38,2:FALSE,2:FALSE,,0.64
39,2:FALSE,2:FALSE,,0.83
40,1:TRUE,1:TRUE,,0.54
41,1:TRUE,1:TRUE,,0.94
42,2:FALSE,2:FALSE,,0.976
43,2:FALSE,2:FALSE,,0.99
44,2:FALSE,2:FALSE,,0.998
45,2:FALSE,2:FALSE,,0.998
46,2:FALSE,2:FALSE,,1
47,2:FALSE,2:FALSE,,0.982
48,2:FALSE,2:FALSE,,1
49,1:TRUE,1:TRUE,,0.96
50,2:FALSE,1:TRUE,+,0.91
51,2:FALSE,2:FALSE,,0.55
52,2:FALSE,2:FALSE,,0.91
53,2:FALSE,1:TRUE,+,0.76
54,2:FALSE,1:TRUE,+,0.81
55,2:FALSE,1:TRUE,+,0.84
56,2:FALSE,2:FALSE,,0.61
